Date,Nickname,State,Location,Max.Temperature (C),isFire
8/1/44,1944 Victorian bushfires,Victoria,Beaumaris,39.2,F
9/1/44,1944 Victorian bushfires,Victoria,Beaumaris,23.5,F
10/1/44,1944 Victorian bushfires,Victoria,Beaumaris,26.9,F
11/1/44,1944 Victorian bushfires,Victoria,Beaumaris,20.5,F
12/1/44,1944 Victorian bushfires,Victoria,Beaumaris,21,F
13/1/44,1944 Victorian bushfires,Victoria,Beaumaris,33.1,F
14/1/44,1944 Victorian bushfires,Victoria,Beaumaris,39.5,T
15/1/44,1944 Victorian bushfires,Victoria,Beaumaris,24.3,F
16/1/44,1944 Victorian bushfires,Victoria,Beaumaris,21.4,F
17/1/44,1944 Victorian bushfires,Victoria,Beaumaris,23.9,F
18/1/44,1944 Victorian bushfires,Victoria,Beaumaris,19.5,F
19/1/44,1944 Victorian bushfires,Victoria,Beaumaris,20.5,F
20/1/44,1944 Victorian bushfires,Victoria,Beaumaris,33.7,F
9/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,35.5,F
10/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,34.4,F
11/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,35.5,F
12/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,35.8,F
13/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,35.8,F
14/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,37.8,F
15/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,36.2,T
16/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,34.2,F
17/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,35.6,F
18/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,37.3,F
19/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,33.9,F
20/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,29.6,F
21/2/51,"1951 Charleville Region, Qld: Bushfires",Queensland,Charleville Region,30.5,F
25/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,24.8,F
26/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,21.3,F
27/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,15.3,F
28/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,17.1,F
29/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,20.1,F
30/11/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,19.4,F
1/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,23.4,T
2/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,28.3,F
3/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,29.4,F
4/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,30.9,F
5/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,32.9,F
6/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,37.2,F
7/12/51,"1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra,22.7,F
27/12/54,1955 Black Sunday bushfires,South Australia,Adelaide Hills,22.6,F
28/12/54,1955 Black Sunday bushfires,South Australia,Adelaide Hills,22.7,F
29/12/54,1955 Black Sunday bushfires,South Australia,Adelaide Hills,25.8,F
30/12/54,1955 Black Sunday bushfires,South Australia,Adelaide Hills,35.9,F
31/12/54,1955 Black Sunday bushfires,South Australia,Adelaide Hills,28.9,F
1/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,34.7,F
2/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,42.8,T
3/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,21,F
4/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,23.9,F
5/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,24.5,F
6/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,23.3,F
7/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,27.7,F
8/1/55,1955 Black Sunday bushfires,South Australia,Adelaide Hills,22.5,F
24/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,32.8,F
25/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,26.7,F
26/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,18.9,F
27/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,19.4,F
28/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,23.3,F
29/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,30,F
30/11/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,30.6,T
1/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,26.1,F
2/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,34.4,F
3/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,33.9,F
4/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,26.1,F
5/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,22.8,F
6/12/57,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,30,F
26/11/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,18.9,F
27/11/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,19.4,F
28/11/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,23.3,F
29/11/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,30,F
30/11/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,30.6,F
1/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,26.1,F
2/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,34.4,T
3/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,33.9,F
4/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,26.1,F
5/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,22.8,F
6/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,30,F
7/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,32.2,F
8/12/57,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,24.4,F
9/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,28.9,F
10/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,33.3,F
11/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,35.6,F
12/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,29.4,F
13/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,36.1,F
14/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,35.6,F
15/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,36.1,T
16/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,25,F
17/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,25,F
18/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,21.1,F
19/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,22.2,F
20/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,20.6,F
21/2/61,1961 Western Australian bushfires,Western Australia,Pemberton,18.3,F
10/1/62,1962 Victorian bushfires,Victoria,The Basin,25.4,F
11/1/62,1962 Victorian bushfires,Victoria,The Basin,22.1,F
12/1/62,1962 Victorian bushfires,Victoria,The Basin,22.1,F
13/1/62,1962 Victorian bushfires,Victoria,The Basin,26.7,F
14/1/62,1962 Victorian bushfires,Victoria,The Basin,37.8,F
15/1/62,1962 Victorian bushfires,Victoria,The Basin,35.7,F
16/1/62,1962 Victorian bushfires,Victoria,The Basin,40,T
17/1/62,1962 Victorian bushfires,Victoria,The Basin,31.6,F
18/1/62,1962 Victorian bushfires,Victoria,The Basin,26.2,F
19/1/62,1962 Victorian bushfires,Victoria,The Basin,24.7,F
20/1/62,1962 Victorian bushfires,Victoria,The Basin,18.5,F
21/1/62,1962 Victorian bushfires,Victoria,The Basin,20.3,F
22/1/62,1962 Victorian bushfires,Victoria,The Basin,20.5,F
10/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,25.4,F
11/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,22.1,F
12/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,22.1,F
13/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,26.7,F
14/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,37.8,F
15/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,35.7,F
16/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,40,T
17/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,31.6,F
18/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,26.2,F
19/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,24.7,F
20/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,18.5,F
21/1/62,1962 Victorian bushfires,Victoria,Christmas Hills,20.3,F
