Date,Nickname,State,Location,Max.Temperature,Average.Temperature.in.the.Previous.5.Days,Rainfall.mm,Sum.of.Rainfall.in.the.Previous.5.Days,Wind.Speed,Relative.Humidity,isBushfire
24/12/80,1980 Victoria bushfire,Victoria,Sunset Country,39.02,35.32,0,0,2.786881324,0.242554911,FALSE
25/12/80,1980 Victoria bushfire,Victoria,Sunset Country,37.45,37.14,0,0,3.543370455,0.206557843,FALSE
26/12/80,1980 Victoria bushfire,Victoria,Sunset Country,36.11,37.74,0,0,2.910110203,0.324834816,FALSE
27/12/80,1980 Victoria bushfire,Victoria,Sunset Country,41.73,38.37,0,0,2.237707188,0.215715973,FALSE
28/12/80,1980 Victoria bushfire,Victoria,Sunset Country,35.91,37.72,1.46,1.46,3.892296954,0.282480756,TRUE
24/12/80,1980 Victoria bushfire,Victoria,Big Desert,36.99,33.76,0,0.01,3.273348461,0.309549917,FALSE
25/12/80,1980 Victoria bushfire,Victoria,Big Desert,34.53,35.35,0,0.01,3.941762378,0.303557122,FALSE
26/12/80,1980 Victoria bushfire,Victoria,Big Desert,34,35.88,0,0.07,3.029406721,0.43605933,FALSE
27/12/80,1980 Victoria bushfire,Victoria,Big Desert,40.34,36.4,0.09,0.16,2.833463805,0.289345738,FALSE
28/12/80,1980 Victoria bushfire,Victoria,Big Desert,31.68,35.22,0.96,1.12,4.236286675,0.31141171,TRUE
30/10/80,1980 Waterfall bushfire,New South Wales,Waterfall,24.8,22.31,0,12,3.053017129,0.38688763,FALSE
31/10/80,1980 Waterfall bushfire,New South Wales,Waterfall,23.7,23.34,0,7.5,2.555949528,0.460230102,FALSE
1/11/80,1980 Waterfall bushfire,New South Wales,Waterfall,25.3,24.46,0,0.5,3.398080589,0.450562612,FALSE
2/11/80,1980 Waterfall bushfire,New South Wales,Waterfall,25.2,24.7,0,0.5,2.1803639,0.455110237,FALSE
3/11/80,1980 Waterfall bushfire,New South Wales,Waterfall,18.5,22.91,0,0.5,5.057607922,0.419658164,TRUE
5/1/83,Grays Point bushfire,New South Wales,Grays Point,32.9,27.47,0,19.6,2.81390809,0.601711697,FALSE
6/1/83,Grays Point bushfire,New South Wales,Grays Point,24.9,26.66,0,19.6,2.249479315,0.660445776,FALSE
7/1/83,Grays Point bushfire,New South Wales,Grays Point,26.3,26.67,0,18.8,2.603649855,0.810155691,FALSE
8/1/83,Grays Point bushfire,New South Wales,Grays Point,42.2,28.64,0,17.2,3.030529473,0.50056685,FALSE
9/1/83,Grays Point bushfire,New South Wales,Grays Point,41.4,30.76,0,17.2,4.881634886,0.226394994,TRUE
27/1/83,1983 Cann River bushfire,Victoria,Cann River,19,22.57,6.2,6.2,3.050344792,0.682931384,FALSE
28/1/83,1983 Cann River bushfire,Victoria,Cann River,21.3,22.47,0,6.2,2.031965532,0.745936684,FALSE
29/1/83,1983 Cann River bushfire,Victoria,Cann River,23.8,22.73,0,6.2,1.581445595,0.756253853,FALSE
30/1/83,1983 Cann River bushfire,Victoria,Cann River,21.7,22.53,0,6.2,1.850374811,0.744578949,FALSE
31/1/83,1983 Cann River bushfire,Victoria,Cann River,32.6,24.33,0,6.2,2.178905204,0.561087913,TRUE
28/1/83,1983 Victoria bushfire,Victoria,Mt Macedon,26.24,26,0,4.5,1.800573521,0.612239576,FALSE
29/1/83,1983 Victoria bushfire,Victoria,Mt Macedon,33.53,25.82,0,4.5,1.494169976,0.516315767,FALSE
30/1/83,1983 Victoria bushfire,Victoria,Mt Macedon,36.39,27.77,0,4.5,1.737801362,0.426545727,FALSE
31/1/83,1983 Victoria bushfire,Victoria,Mt Macedon,37.31,30.14,0,3,2.013468864,0.337848775,FALSE
1/2/83,1983 Victoria bushfire,Victoria,Mt Macedon,39.01,31.17,0,3,3.904278216,0.301834964,TRUE
12/2/83,Ash Wednesday bushfires,Victoria,Branxholme,21.05,29.86,0,1.56,2.086725389,0.627724874,FALSE
13/2/83,Ash Wednesday bushfires,Victoria,Branxholme,24.96,28.43,0,1.56,1.922246013,0.64391425,FALSE
14/2/83,Ash Wednesday bushfires,Victoria,Branxholme,32.06,27.24,0,1.56,1.413752032,0.544536128,FALSE
15/2/83,Ash Wednesday bushfires,Victoria,Branxholme,30.96,26.33,0,0.72,2.02969187,0.361518941,FALSE
16/2/83,Ash Wednesday bushfires,Victoria,Branxholme,44.04,28.77,0.19,0.91,4.736372051,0.294787635,TRUE
