"Date","Nickname","State","Location","Max.Temperature..C.","isFire"
"14/1/44","1944 Victorian bushfires","Victoria","Beaumaris",39.5,TRUE
"15/2/51","1951 Charleville Region, Qld: Bushfires","Queensland","Charleville Region",36.2,TRUE
"1/12/51","1951 Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire","Australian Capital Territory","Canberra",23.4,TRUE
"2/1/55","1955 Black Sunday bushfires","South Australia","Adelaide Hills",42.8,TRUE
"30/11/57","1957 Grose Valley bushfire, Blue Mountains","New South Wales","Blue Mountains",30.6,TRUE
"2/12/57","1957 Leura bushfire, Blue Mountains","New South Wales","Leura",34.4,TRUE
"15/2/61","1961 Western Australian bushfires","Western Australia","Pemberton",36.1,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","The Basin",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","Christmas Hills",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","Kinglake",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","St Andrews",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","Hurstbridge",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","Warrandyte",40,TRUE
"16/1/62","1962 Victorian bushfires","Victoria","Mitcham",40,TRUE
"17/1/65","1965 Longwood bushfire","Victoria","Longwood",40.6,TRUE
"13/3/65","1965 Gippsland bushfires","Victoria","Bruthen",35.6,TRUE
"13/3/65","1965 Gippsland bushfires","Victoria","Tambo Crossing",35.6,TRUE
"14/3/65","1965 Southern Highlands bushfires","New South Wales","Chatsbury",17.2,TRUE
"14/3/65","1965 Southern Highlands bushfires","New South Wales","Bungonia",19.4,TRUE
"7/2/67","1967 Black Tuesday bushfires","Tasmania","Hobart",39.3,TRUE
"19/2/68","1968 Dandenong Ranges, The Basin, Upwey bushfire","Victoria","The Basin",32.4,TRUE
"19/2/68","1968 Dandenong Ranges, The Basin, Upwey bushfire","Victoria","Upwey",35.4,TRUE
"29/11/68","1968 Blue Mountains Bushfire","New South Wales","Blue Mountains",29.6,TRUE
"8/1/69","1969 bushfires","Victoria","Lara",38.9,TRUE
"8/1/69","1969 bushfires","Victoria","Daylesford",35.6,TRUE
"8/1/69","1969 bushfires","Victoria","Yea",37.1,TRUE
"8/1/69","1969 bushfires","Victoria","Kangaroo Flat",37.8,TRUE
"8/1/69","1969 bushfires","Victoria","Korong Vale",39.2,TRUE
"14/12/72","1972 VIC bushfire","Victoria","Mount Buffalo",27.6,TRUE
"1/11/74","1974 Thargomindah, Bulloo Shire, Boulia Urandangie, McKinlay Shire","Queensland","Thargomindah",26.2,TRUE
"1/11/74","1974 Thargomindah, Bulloo Shire, Boulia Urandangie, McKinlay Shire","Queensland","Boulia Urandangie",29,TRUE
"25/5/76","1976 Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood","Queensland","Julia Creek",28.5,TRUE
"25/5/76","1976 Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood","Queensland","Hughenden",28.3,TRUE
"25/5/76","1976 Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood","Queensland","South Burnett",19.8,TRUE
"25/5/76","1976 Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood","Queensland","Nanango",21,TRUE
"25/5/76","1976 Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood","Queensland","Inglewood",18,TRUE
"12/2/77","1977 Western Districts bushfires","Victoria","Streatham",37,TRUE
"17/12/77","1977 Blue Mountains Fires 1977","New South Wales","Blue Mountains",28.7,TRUE
"1/1/78","1978 Western Australia bushfire","Western Australia","Wanneroo",26.4,TRUE
"1/1/78","1978 Western Australia bushfire","Western Australia","Pemberton",24.5,TRUE
"15/1/78","1978 Bairnsdale bushfire","Victoria","Bairnsdale",41.9,TRUE
"4/4/78","1978 Western Australian bushfires","Western Australia","Manjimup",30.2,TRUE
"4/4/78","1978 Western Australian bushfires","Western Australia","Blackwood Valley",34,TRUE
