Date,Nickname,State,Location,Max Temperature (C),"Average Temperature in the Previous 7 Days (Inclusive, C)",Rainfall (mm),"Sum of Rainfall in the Previous 7 Days (Inclusive, mm)",Wind Speed (m/s),Relative Humidity
06/02/1851,Black Thursday,Victoria,Portland,NA,NA,NA,NA,NA,NA
06/02/1851,Black Thursday,Victoria,Plenty Ranges,NA,NA,NA,NA,NA,NA
06/02/1851,Black Thursday,Victoria,Westernport,NA,NA,NA,NA,NA,NA
06/02/1851,Black Thursday,Victoria,Wimmera,NA,NA,NA,NA,NA,NA
06/02/1851,Black Thursday,Victoria,Dandenong,NA,NA,NA,NA,NA,NA
27/02/1865,Black Monday,Victoria,Geelong,NA,NA,NA,NA,NA,NA
27/02/1865,Black Monday,Victoria,Ballarat,NA,NA,0.5,0.5,NA,NA
09/09/1895,Upper Blue Mountains fires,New South Wales,Newnes,NA,NA,0,2.5,NA,NA
01/02/1898,Red Tuesday,Victoria,South Gippsland,NA,NA,0,0.3,NA,NA
14/02/1926,Black Sunday,Victoria,Warburton,NA,NA,0,6.6,NA,NA
13/01/1939,Black Friday,Victoria,Narbethong,NA,NA,0,0,NA,NA
03/03/1942,"1942 Hamilton, South Gippsland bushfire",Victoria,Hamilton,NA,NA,0,0,NA,NA
22/12/1943,1943 Wangaratta bushfire,Victoria,Wangaratta,NA,NA,0,0,NA,NA
14/01/1944,1944 Victorian bushfires,Victoria,Beaumaris,39.5,29.1,0,0,NA,NA
14/01/1944 - 14/02/1944,1944 Victorian bushfires,Victoria,Hamilton,NA,NA,0.47 (Averaged),15 (Sum of 30 days),NA,NA
14/01/1944 - 14/02/1944,1944 Victorian bushfires,Victoria,Dunkeld,NA,NA,0.72 (Averaged),22.9 (Sum of 30 days),NA,NA
14/01/1944 - 14/02/1944,1944 Victorian bushfires,Victoria,Skipton,NA,NA,1 (Averaged),32.2 (Sum of 30 days),NA,NA
14/01/1944 - 14/02/1944,1944 Victorian bushfires,Victoria,Lake Bolac,NA,NA,0.72 (Averaged),22.9 (Sum of 30 days),NA,NA
18/11/1944,1944 Blue Mountains bushfire,New South Wales,Blue Mountains,NA,NA,0,0,NA,NA
15/02/1951,"Charleville Region, Qld: Bushfires",Queensland,Charleville Region,36.2,35.86,0,6.6,NA,NA
