"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","138.75","-34.8134994506836","272","30.58","17.428","0","6.02320452471656","0.442358517487962",
"1/2/1979","138.75","-34.8134994506836","272","25.975","15.216","0","4.99377905688659","0.574933953128864",
"1/3/1979","138.75","-34.8134994506836","272","32.065","15.056","0","3.29155129813657","0.416658090261164",
"1/4/1979","138.75","-34.8134994506836","272","38.439","21.507","0","4.85727069850518","0.275055411804694",
"1/5/1979","138.75","-34.8134994506836","272","31.711","18.281","0","4.57233099397251","0.590831708170487",
"1/6/1979","138.75","-34.8134994506836","272","28.259","15.875","0","3.67122634065417","0.526296894948668",
"1/7/1979","138.75","-34.8134994506836","272","29.651","18.24","0","4.33340990327662","0.455028091934924",
"1/8/1979","138.75","-34.8134994506836","272","33.432","15.129","0","3.1909887672357","0.559701144467373",
"1/9/1979","138.75","-34.8134994506836","272","27.125","17.761","0.0240326064","4.12724434446159","0.605622120488605",
"1/10/1979","138.75","-34.8134994506836","272","25.728","15.609","0","3.72849302965226","0.625336450407005",
"1/11/1979","138.75","-34.8134994506836","272","26.602","13.27","0","3.74939194742628","0.606949947126009",
"1/12/1979","138.75","-34.8134994506836","272","28.757","15.008","0","3.5649796515363","0.50942419154999",
"1/13/1979","138.75","-34.8134994506836","272","34.755","15.669","0","3.39996873138414","0.370835574912557",
"1/14/1979","138.75","-34.8134994506836","272","33.459","19.597","0","5.66811677985297","0.333948422156915",
"1/15/1979","138.75","-34.8134994506836","272","31.093","15.926","0","3.53513633449901","0.539956324194556",
"1/16/1979","138.75","-34.8134994506836","272","36.17","21.63","0.302124312","5.20747391632286","0.37742485823165",
"1/17/1979","138.75","-34.8134994506836","272","23.729","16.232","0.396537804","5.01431778865299","0.626628924506312",
"1/18/1979","138.75","-34.8134994506836","272","31.26","14.761","0","3.14848947251126","0.490819045052499",
"1/19/1979","138.75","-34.8134994506836","272","32.961","21.009","1.021385232","2.77612792968304","0.467896512793039",
"1/20/1979","138.75","-34.8134994506836","272","25.05","16.729","11.173441068","5.36727763129436","0.767437526865094",
"1/21/1979","138.75","-34.8134994506836","272","21.886","15.525","0","6.2868667067179","0.624128275346555",
"1/22/1979","138.75","-34.8134994506836","272","25.097","13.877","0","4.71069644921054","0.618563873337011",
"1/23/1979","138.75","-34.8134994506836","272","31.757","18.096","0","2.57404644273095","0.506948444679879",
"1/24/1979","138.75","-34.8134994506836","272","33.769","22.288","0","2.46731072649236","0.41177247238679",
"1/25/1979","138.75","-34.8134994506836","272","25.366","16.466","0","4.88745463654421","0.608945277754932",
"1/26/1979","138.75","-34.8134994506836","272","22.062","15.052","0","5.00744361483775","0.668998882919626",
"1/27/1979","138.75","-34.8134994506836","272","25.41","15.378","0","5.08041876695806","0.628560947614574",
"1/28/1979","138.75","-34.8134994506836","272","28.836","16.448","0","3.27766414238993","0.477542109845566",
"1/29/1979","138.75","-34.8134994506836","272","31.694","16.808","0","3.61227874153873","0.531413180680769",
"1/30/1979","138.75","-34.8134994506836","272","26.428","15.898","0","4.55772675046408","0.644333466873324",
"1/31/1979","138.75","-34.8134994506836","272","29.473","15.621","0","3.54270605126613","0.656825638660491",
"2/1/1979","138.75","-34.8134994506836","272","33.879","14.165","0","2.21678205408982","0.493848994100076",
"2/2/1979","138.75","-34.8134994506836","272","35.074","25.648","0","4.04005031152254","0.270985416040182",
"2/3/1979","138.75","-34.8134994506836","272","25.07","15.471","1.1836048968","7.16644291952021","0.591112428833003",
"2/4/1979","138.75","-34.8134994506836","272","17.24","15.263","2.789497224","4.65838927935684","0.752884112138435",
"2/5/1979","138.75","-34.8134994506836","272","23.622","14.546","0.0137329056","4.17995835473421","0.672916331221218",
"2/6/1979","138.75","-34.8134994506836","272","26.449","15.033","0","4.38331507481199","0.669471309654227",
"2/7/1979","138.75","-34.8134994506836","272","28.505","15.75","0","4.17085330103037","0.610214286244426",
"2/8/1979","138.75","-34.8134994506836","272","30.79","17.158","0","3.66488344840923","0.552513806895464",
"2/9/1979","138.75","-34.8134994506836","272","33.463","20.274","0","3.25369809430994","0.391497415371624",
"2/10/1979","138.75","-34.8134994506836","272","33.894","21.916","0","2.86276096650226","0.358093892289506",
"2/11/1979","138.75","-34.8134994506836","272","35.247","20.249","0","3.52841043210547","0.37208920834532",
"2/12/1979","138.75","-34.8134994506836","272","35.254","17.287","0","3.15118000842929","0.486522816605403",
"2/13/1979","138.75","-34.8134994506836","272","27.728","19.476","0","3.86537986376365","0.565906971461898",
"2/14/1979","138.75","-34.8134994506836","272","19.278","14.884","6.9076557","3.0794026989511","0.790904928086289",
"2/15/1979","138.75","-34.8134994506836","272","21.929","13.392","0.0034332264","4.4754278099438","0.695693769627134",
"2/16/1979","138.75","-34.8134994506836","272","18.915","13.689","0.6042480048","4.96310335035561","0.662619263145406",
"2/17/1979","138.75","-34.8134994506836","272","22.215","11.72","0","4.02042624945126","0.557146227787759",
"2/18/1979","138.75","-34.8134994506836","272","23.385","14.727","0","4.63056543988177","0.587870847701004",
"2/19/1979","138.75","-34.8134994506836","272","28.543","15.454","0","4.01834232243618","0.53416658901355",
"2/20/1979","138.75","-34.8134994506836","272","30.936","20.972","0","3.38338940062142","0.450273413882192",
"2/21/1979","138.75","-34.8134994506836","272","29.769","20.286","3.057288732","3.74036227389972","0.555973510221816",
"2/22/1979","138.75","-34.8134994506836","272","27.872","20.988","0.691795548","3.21388430825581","0.627032069387575",
"2/23/1979","138.75","-34.8134994506836","272","23.131","16.555","11.570837544","4.57575306417007","0.76684712666373",
"2/24/1979","138.75","-34.8134994506836","272","19.703","14.92","8.747861832","4.46248250381271","0.811233066037381",
"2/25/1979","138.75","-34.8134994506836","272","21.268","14.214","0","4.4996161241977","0.627992978147311",
"2/26/1979","138.75","-34.8134994506836","272","22.498","13.552","0","2.61345167151197","0.708862185075617",
"2/27/1979","138.75","-34.8134994506836","272","25.241","14.963","0","3.61411805637631","0.703566530220088",
"2/28/1979","138.75","-34.8134994506836","272","27.536","16.16","0","3.31649970983931","0.614746065968619",
"3/1/1979","138.75","-34.8134994506836","272","25.642","19.948","1.19133","3.70504381200147","0.543559352323043",
"3/2/1979","138.75","-34.8134994506836","272","22.452","16.603","0.0343323","4.09426155762274","0.73726235439011",
"3/3/1979","138.75","-34.8134994506836","272","20.545","15.219","0.1476287784","5.82875767479475","0.695564098136459",
"3/4/1979","138.75","-34.8134994506836","272","23.103","12.135","0","4.7768374686683","0.655662079807351",
"3/5/1979","138.75","-34.8134994506836","272","20.965","13.844","0","4.23914172388586","0.744600586970477",
"3/6/1979","138.75","-34.8134994506836","272","17.359","13.961","0.940704624","4.58876204737825","0.732329205112535",
"3/7/1979","138.75","-34.8134994506836","272","22.495","12.174","0","3.41984317023537","0.580304516794337",
"3/8/1979","138.75","-34.8134994506836","272","27.202","16.565","0","3.25753936924328","0.423657367634553",
"3/9/1979","138.75","-34.8134994506836","272","24.114","15.257","0","4.1189039623486","0.636081035331289",
"3/10/1979","138.75","-34.8134994506836","272","25.882","13.248","0","3.33535099617104","0.679981754938524",
"3/11/1979","138.75","-34.8134994506836","272","28.821","15.375","0","2.95040085032847","0.610756284246585",
"3/12/1979","138.75","-34.8134994506836","272","27.256","15.37","0","3.8813420529929","0.685595619585732",
"3/13/1979","138.75","-34.8134994506836","272","24.883","15.459","0.0240326064","3.18787280414416","0.748535971095703",
"3/14/1979","138.75","-34.8134994506836","272","18.892","16.068","1.023102","3.39454267127134","0.823043342846931",
"3/15/1979","138.75","-34.8134994506836","272","21.461","14.382","0.0446319864","4.75990632373384","0.722084823058915",
"3/16/1979","138.75","-34.8134994506836","272","24.729","15.095","0","2.87641089268277","0.66508591163876",
"3/17/1979","138.75","-34.8134994506836","272","20.219","16.286","2.1938324184","3.64582315402879","0.767437447225708",
"3/18/1979","138.75","-34.8134994506836","272","20.442","13.809","0.542450304","4.14587659398615","0.69903204929302",
"3/19/1979","138.75","-34.8134994506836","272","26.692","12.561","0","1.93276543381234","0.591968353193152",
"3/20/1979","138.75","-34.8134994506836","272","29.281","16.159","0.109863288","3.76169963324779","0.425815580563421",
"3/21/1979","138.75","-34.8134994506836","272","20.661","13.827","0.123596316","4.66252077586086","0.615897186984212",
"3/22/1979","138.75","-34.8134994506836","272","21.167","10.765","0","3.26237441769765","0.626192325315967",
"3/23/1979","138.75","-34.8134994506836","272","18.8","13.35","3.683852316","4.75769747401671","0.713313523426082",
"3/24/1979","138.75","-34.8134994506836","272","21.12","11.101","0","2.3438517001101","0.597617614421078",
"3/25/1979","138.75","-34.8134994506836","272","25.33","12.075","0","2.86901095775066","0.523548936660034",
"3/26/1979","138.75","-34.8134994506836","272","30.5","18.542","0","4.28679892909208","0.323722343928469",
"3/27/1979","138.75","-34.8134994506836","272","24.598","14.895","1.874542464","5.36650368063108","0.752535973257574",
"3/28/1979","138.75","-34.8134994506836","272","20.607","11.443","0","3.37205767940658","0.61597437712126",
"3/29/1979","138.75","-34.8134994506836","272","26.596","12.777","0","1.93507064481419","0.53486969167288",
"3/30/1979","138.75","-34.8134994506836","272","28.805","16.059","0","1.98202980508638","0.41075692900809",
"3/31/1979","138.75","-34.8134994506836","272","23.565","16.199","0.20256048","4.22861421600271","0.570693842293406",
"4/1/1979","138.75","-34.8134994506836","272","19.149","13.334","0","3.6542720851686","0.589538906223297",
"4/2/1979","138.75","-34.8134994506836","272","22.74","10.094","0","2.91594335532542","0.521298485725992",
"4/3/1979","138.75","-34.8134994506836","272","18.641","14.339","4.29496902","7.28929694475352","0.631711860056986",
"4/4/1979","138.75","-34.8134994506836","272","20.797","13.444","0","4.4722164839686","0.655395481221059",
"4/5/1979","138.75","-34.8134994506836","272","17.801","15.817","1.689148116","6.19280230992879","0.72457298578017",
"4/6/1979","138.75","-34.8134994506836","272","19.2","12.369","0.04806522","2.63129065054235","0.703688482486566",
"4/7/1979","138.75","-34.8134994506836","272","17.033","10.561","0.02746584","2.75920905911221","0.753140485535599",
"4/8/1979","138.75","-34.8134994506836","272","17.557","11.841","0.226592964","4.43273400451406","0.694145869909905",
"4/9/1979","138.75","-34.8134994506836","272","14.948","8.50900000000001","0.0686644992","3.95605833015671","0.618031927124598",
"4/10/1979","138.75","-34.8134994506836","272","14.452","11.159","0.3433228056","3.02038902819845","0.73064427379187",
"4/11/1979","138.75","-34.8134994506836","272","17.257","9.25400000000002","0.0034332264","3.22383476998294","0.607053561336126",
"4/12/1979","138.75","-34.8134994506836","272","20.366","9.85700000000003","0","2.70825489146121","0.517480583236606",
"4/13/1979","138.75","-34.8134994506836","272","22.494","11.775","0","1.94690815400681","0.468318793947202",
"4/14/1979","138.75","-34.8134994506836","272","24.511","13.375","0","2.53535056786876","0.430187838187453",
"4/15/1979","138.75","-34.8134994506836","272","25.366","14.437","0","2.37528231501357","0.398801064135752",
"4/16/1979","138.75","-34.8134994506836","272","24.893","15.313","7.62176556","6.62269859465058","0.513593918131217",
"4/17/1979","138.75","-34.8134994506836","272","16.323","13.484","10.320273684","5.7696581162074","0.793687449431858",
"4/18/1979","138.75","-34.8134994506836","272","15","13.512","2.530287972","3.94406499083969","0.826894183289794",
"4/19/1979","138.75","-34.8134994506836","272","17.353","13.981","1.2050629704","3.4627209640112","0.759512509049461",
"4/20/1979","138.75","-34.8134994506836","272","22.981","12.947","3.12080418","4.20776709799636","0.733656961498873",
"4/21/1979","138.75","-34.8134994506836","272","18.912","14.441","4.8820489704","5.68157991277533","0.782377979102942",
"4/22/1979","138.75","-34.8134994506836","272","15.2","12.069","0.0137329056","4.07632878425414","0.651612358838238",
"4/23/1979","138.75","-34.8134994506836","272","16.812","11.194","0","2.74705814633137","0.665053681847167",
"4/24/1979","138.75","-34.8134994506836","272","18.715","9.12599999999998","1.09176786","2.37184964969783","0.672237220601157",
"4/25/1979","138.75","-34.8134994506836","272","17.015","13.572","4.291535664","3.33486879470564","0.830385317372171",
"4/26/1979","138.75","-34.8134994506836","272","17.846","13.458","1.10893428","3.30837974457831","0.854944734951956",
"4/27/1979","138.75","-34.8134994506836","272","15.451","9.24900000000002","0.78964236","3.31723232838243","0.714690850353387",
"4/28/1979","138.75","-34.8134994506836","272","16.232","8.26499999999999","0","2.47255111599907","0.691747563345016",
"4/29/1979","138.75","-34.8134994506836","272","17.051","8.99000000000001","0","3.0772592113778","0.67815413444802",
"4/30/1979","138.75","-34.8134994506836","272","20.516","10.013","0","4.09157749509959","0.632637898602188",
"5/1/1979","138.75","-34.8134994506836","272","19.716","13.916","0.3810882672","4.24522239804179","0.655736809141334",
"5/2/1979","138.75","-34.8134994506836","272","19.866","15.235","4.930115112","3.47929637790057","0.810527148266728",
"5/3/1979","138.75","-34.8134994506836","272","16.257","12.524","0.65231316","4.54286477193235","0.716715611676641",
"5/4/1979","138.75","-34.8134994506836","272","15.677","10.548","0.0549316296","4.12931145063191","0.696007333205057",
"5/5/1979","138.75","-34.8134994506836","272","14.285","9.60500000000002","0","4.0955841493806","0.668986981702483",
"5/6/1979","138.75","-34.8134994506836","272","14.873","9.72800000000001","0.1167297408","2.69893964562044","0.771449808278623",
"5/7/1979","138.75","-34.8134994506836","272","17.036","11.464","0.109863288","3.1814420716732","0.768553453347686",
"5/8/1979","138.75","-34.8134994506836","272","13.955","10.318","0.0137329056","2.41690761319413","0.771674031473238",
"5/9/1979","138.75","-34.8134994506836","272","14.373","9.71199999999999","0.3330232632","1.80312015811494","0.765159078548853",
"5/10/1979","138.75","-34.8134994506836","272","15.265","9.65800000000002","1.023101856","3.63407740644618","0.794526046185138",
"5/11/1979","138.75","-34.8134994506836","272","13.746","11.33","1.338957684","3.94167915899212","0.736358993161554",
"5/12/1979","138.75","-34.8134994506836","272","13.177","11.057","1.0299679704","3.34225708558679","0.806654288884184",
"5/13/1979","138.75","-34.8134994506836","272","12.667","9.54300000000001","1.2702939408","2.73132756999059","0.847886741051445",
"5/14/1979","138.75","-34.8134994506836","272","13.29","7.30000000000001","0","3.45569158915977","0.727142326607836",
"5/15/1979","138.75","-34.8134994506836","272","12.443","6.37099999999998","0","2.81370778689693","0.714993018579317",
"5/16/1979","138.75","-34.8134994506836","272","13.048","5.12799999999999","0","2.26636251140954","0.716895501080429",
"5/17/1979","138.75","-34.8134994506836","272","15.601","5.92599999999999","0","3.01436213177864","0.582877666973038",
"5/18/1979","138.75","-34.8134994506836","272","16.128","7.89299999999997","0","2.6896637553048","0.533962300282757",
"5/19/1979","138.75","-34.8134994506836","272","16.674","7.43299999999999","0","2.6597882500103","0.576205528517758",
"5/20/1979","138.75","-34.8134994506836","272","16.987","8.81299999999999","0","4.68917566689947","0.595210642710178",
"5/21/1979","138.75","-34.8134994506836","272","18.777","12.735","0","5.63061548335856","0.535993263641922",
"5/22/1979","138.75","-34.8134994506836","272","17.192","13.382","6.59865816","8.59132539414518","0.665619662490528",
"5/23/1979","138.75","-34.8134994506836","272","16.89","10.12","0","4.86506354050949","0.596857327265877",
"5/24/1979","138.75","-34.8134994506836","272","16.572","9.31200000000001","0","2.25105308942932","0.535987066377227",
"5/25/1979","138.75","-34.8134994506836","272","14.773","9.80900000000003","18.07250076","5.93734784770146","0.830053338963112",
"5/26/1979","138.75","-34.8134994506836","272","15.727","13.875","23.139991512","5.89035695357871","0.862766842889006",
"5/27/1979","138.75","-34.8134994506836","272","14.228","12.09","3.100204476","5.67465201147281","0.845723001231851",
"5/28/1979","138.75","-34.8134994506836","272","14.504","11.969","0.466918956","5.16455380770802","0.815084246204887",
"5/29/1979","138.75","-34.8134994506836","272","13.155","11.448","2.5199892864","5.8126731580778","0.776153089034844",
"5/30/1979","138.75","-34.8134994506836","272","12.373","10.991","1.131247908","3.5418845790748","0.782943634430575",
"5/31/1979","138.75","-34.8134994506836","272","14.507","10.962","0.745010532","2.45125154445124","0.884936731595867",
"6/1/1979","138.75","-34.8134994506836","272","15.915","9.04899999999998","0","2.51195616290986","0.804347179720308",
"6/2/1979","138.75","-34.8134994506836","272","15.775","9.26499999999999","0","3.34181926950342","0.812352610293024",
"6/3/1979","138.75","-34.8134994506836","272","16.521","10.58","0","4.99587336669945","0.727246916559734",
"6/4/1979","138.75","-34.8134994506836","272","17.828","9.88600000000002","0","5.45434044036489","0.635900003279068",
"6/5/1979","138.75","-34.8134994506836","272","18.891","13.293","1.4299393896","4.76615215762379","0.690217139663547",
"6/6/1979","138.75","-34.8134994506836","272","16.84","11.227","0","3.76562640720097","0.696735087912617",
"6/7/1979","138.75","-34.8134994506836","272","13.896","11.248","0.8342743176","4.32770973957235","0.754088158551272",
