"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","143.75","-37.6236000061035","395","34.045","13.982","0","3.74628234124302","0.382551179517697",
"1/2/1979","143.75","-37.6236000061035","395","21.629","9.58199999999999","0","2.93844493714194","0.639957022497342",
"1/3/1979","143.75","-37.6236000061035","395","26.165","8.12799999999999","0.0102996792","2.65798790163571","0.643156392276836",
"1/4/1979","143.75","-37.6236000061035","395","37.427","12.268","0","1.92308418233004","0.450524304789753",
"1/5/1979","143.75","-37.6236000061035","395","41.12","11.27","0.111579984","2.88290239235331","0.434325296677764",
"1/6/1979","143.75","-37.6236000061035","395","32.89","14.084","0","1.73479784964776","0.561065158996467",
"1/7/1979","143.75","-37.6236000061035","395","37.212","12.902","0.0034332264","2.88328608701717","0.478538173702322",
"1/8/1979","143.75","-37.6236000061035","395","31.734","10.408","0.0549316368","2.48848328641042","0.555135575237965",
"1/9/1979","143.75","-37.6236000061035","395","33.08","12.979","0.2351763144","1.74081031226617","0.490395118178749",
"1/10/1979","143.75","-37.6236000061035","395","26.173","8.63999999999999","0","1.89283658046375","0.582981899954752",
"1/11/1979","143.75","-37.6236000061035","395","27.419","7.17099999999999","0","2.07592369356577","0.590299769482017",
"1/12/1979","143.75","-37.6236000061035","395","25.577","2.81700000000001","0","2.17103577608394","0.619158457666768",
"1/13/1979","143.75","-37.6236000061035","395","28.84","7.47199999999998","0.098705304","1.69961552406046","0.61202026833901",
"1/14/1979","143.75","-37.6236000061035","395","36.817","13.583","0","4.08800320179889","0.319787634868169",
"1/15/1979","143.75","-37.6236000061035","395","26.432","12.251","0.151061976","2.86059570090078","0.560520625973905",
"1/16/1979","143.75","-37.6236000061035","395","37.036","11.092","0.6317124192","2.66510678250256","0.436627782467867",
"1/17/1979","143.75","-37.6236000061035","395","22.742","10.755","2.102852376","2.32049328262093","0.70420393603021",
"1/18/1979","143.75","-37.6236000061035","395","29.463","6.71699999999998","0","2.00558046239268","0.569272628420781",
"1/19/1979","143.75","-37.6236000061035","395","34.383","13.156","0","3.14406581922936","0.483860553173484",
"1/20/1979","143.75","-37.6236000061035","395","26.494","13.882","41.727421044","3.62351397183351","0.714754728625985",
