"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","116.25","-32.6278991699219","302","33.659","20.764","0","2.63105427621332","0.335496609144039",
"1/2/1979","116.25","-32.6278991699219","302","33.317","15.673","0","3.57390599164326","0.528890915139827",
"1/3/1979","116.25","-32.6278991699219","302","23.893","13.112","0.0738143784","3.73232747533589","0.697527546897195",
"1/4/1979","116.25","-32.6278991699219","302","25.297","10.028","0.0068664528","3.48158013133594","0.56538544456528",
"1/5/1979","116.25","-32.6278991699219","302","28.037","10.764","0","3.32675901107113","0.504915373458018",
"1/6/1979","116.25","-32.6278991699219","302","28.357","11.526","0","3.69324704635957","0.534601665369302",
"1/7/1979","116.25","-32.6278991699219","302","27.616","11.29","0","3.76074008824627","0.524945775440303",
"1/8/1979","116.25","-32.6278991699219","302","24.567","7.40699999999998","0","3.64557441684823","0.601337469722896",
"1/9/1979","116.25","-32.6278991699219","302","26.196","7.86500000000001","0","3.03220788417219","0.555327660852752",
"1/10/1979","116.25","-32.6278991699219","302","33.913","11.694","0","3.34001975899473","0.398721119107198",
"1/11/1979","116.25","-32.6278991699219","302","39.878","17.89","0.02059938","3.80167904166975","0.369672192325434",
"1/12/1979","116.25","-32.6278991699219","302","32.738","18.555","0.2265931584","3.35992641305705","0.470750992384445",
"1/13/1979","116.25","-32.6278991699219","302","29.1","18.677","1.470280284","2.10763787906567","0.715436231701263",
"1/14/1979","116.25","-32.6278991699219","302","38.335","18.05","0","2.94753844010826","0.558764271644066",
"1/15/1979","116.25","-32.6278991699219","302","26.807","12.935","0","4.30346297580597","0.609435776431239",
"1/16/1979","116.25","-32.6278991699219","302","25.115","11.445","0","3.38020060621474","0.543369153989608",
"1/17/1979","116.25","-32.6278991699219","302","31.01","11.026","0","3.19365187721147","0.535351516112303",
"1/18/1979","116.25","-32.6278991699219","302","19.611","10.491","1.7286294024","3.48421138675845","0.810672331432259",
"1/19/1979","116.25","-32.6278991699219","302","22.819","11.21","0.844574544","4.20256402608913","0.693279511340542",
"1/20/1979","116.25","-32.6278991699219","302","30.279","13","0.027465804","2.40019573946185","0.451258252589434",
"1/21/1979","116.25","-32.6278991699219","302","37.854","15.152","0","3.03124335726315","0.375722660236679",
"1/22/1979","116.25","-32.6278991699219","302","36.082","19.254","0","3.97130845310261","0.307107215922722",
"1/23/1979","116.25","-32.6278991699219","302","27.312","14.848","0.0171661464","3.77533808777909","0.627407758970247",
"1/24/1979","116.25","-32.6278991699219","302","29.294","13.322","0","3.19612421327968","0.499377258753865",
"1/25/1979","116.25","-32.6278991699219","302","35.046","12.61","0","3.72745307371964","0.355482334311212",
"1/26/1979","116.25","-32.6278991699219","302","36.626","17.211","0","5.17179920801356","0.312873714322574",
"1/27/1979","116.25","-32.6278991699219","302","42.373","21.286","0","3.84489356937257","0.217746266609631",
"1/28/1979","116.25","-32.6278991699219","302","37.077","16.475","0","3.77822087507066","0.417448230161677",
"1/29/1979","116.25","-32.6278991699219","302","32.211","16.822","0","4.5237359292796","0.503285644554559",
"1/30/1979","116.25","-32.6278991699219","302","38.822","14.068","0","3.32069619292562","0.510632129814322",
"1/31/1979","116.25","-32.6278991699219","302","34.8","17.271","0","3.92396032094344","0.541778173974634",
"2/1/1979","116.25","-32.6278991699219","302","24.508","11.243","0.1407623184","4.94130835523753","0.546000729323742",
"2/2/1979","116.25","-32.6278991699219","302","24.318","8.35000000000002","0","4.1017750283772","0.466197105861865",
"2/3/1979","116.25","-32.6278991699219","302","29.088","8.93400000000003","0","3.89844691958899","0.413566031834233",
"2/4/1979","116.25","-32.6278991699219","302","34.629","12.245","0","2.91748768929713","0.428272089029026",
"2/5/1979","116.25","-32.6278991699219","302","37.57","16.097","0","3.48147454011963","0.298001865277695",
"2/6/1979","116.25","-32.6278991699219","302","40.253","16.812","0","2.84399647283164","0.265724720433735",
"2/7/1979","116.25","-32.6278991699219","302","38.001","18.17","0","3.43303767109802","0.219427010500006",
"2/8/1979","116.25","-32.6278991699219","302","36.304","12.558","0","3.50911119027983","0.398603326419019",
"2/9/1979","116.25","-32.6278991699219","302","39.695","16.027","0","2.9691039256358","0.467273188491724",
"2/10/1979","116.25","-32.6278991699219","302","36.11","16.224","0","3.4770610159126","0.510854151402918",
"2/11/1979","116.25","-32.6278991699219","302","34.002","18.768","3.804015852","4.48957433451884","0.51362861385191",
"2/12/1979","116.25","-32.6278991699219","302","32.604","18.519","2.2401828","4.02667796783124","0.572458158582171",
"2/13/1979","116.25","-32.6278991699219","302","28.885","17.659","0","5.41427901291517","0.575957915626103",
"2/14/1979","116.25","-32.6278991699219","302","23.199","16.846","0.2403258048","5.04315615592827","0.700151973372771",
"2/15/1979","116.25","-32.6278991699219","302","36.556","18.434","1.6908644592","2.96294661319618","0.67852702198437",
"2/16/1979","116.25","-32.6278991699219","302","21.975","15.165","1.6170498144","1.97719852734632","0.927093632835862",
"2/17/1979","116.25","-32.6278991699219","302","33.705","16.271","0.4523281704","1.73191261267285","0.588606274227852",
"2/18/1979","116.25","-32.6278991699219","302","34.391","13.142","0","2.69877181277136","0.434603288394894",
"2/19/1979","116.25","-32.6278991699219","302","28.298","17.285","0.0137329056","3.2823958745994","0.583947329027702",
"2/20/1979","116.25","-32.6278991699219","302","31.541","16.148","0.6729122592","2.38629762122919","0.654983473753439",
"2/21/1979","116.25","-32.6278991699219","302","28.971","16.234","0.19397772","3.50427631997833","0.634173365852674",
"2/22/1979","116.25","-32.6278991699219","302","27.515","14.275","0","4.00032529956225","0.496368114040163",
"2/23/1979","116.25","-32.6278991699219","302","28.904","14.122","0","4.32100879459007","0.453068782528039",
"2/24/1979","116.25","-32.6278991699219","302","35.76","16.183","0","3.45297244248968","0.454118665658651",
"2/25/1979","116.25","-32.6278991699219","302","21.568","14.09","0.3004072344","4.66894601767127","0.675084325713331",
"2/26/1979","116.25","-32.6278991699219","302","21.765","12.882","0.8325583992","4.83581731524778","0.680186134196279",
"2/27/1979","116.25","-32.6278991699219","302","25.215","16.078","0.2454760368","4.24868985571332","0.589864091216765",
"2/28/1979","116.25","-32.6278991699219","302","30.528","14.016","0.0102996792","2.7056460364442","0.547875632377952",
"3/1/1979","116.25","-32.6278991699219","302","35.998","15.538","0","2.87153663263399","0.499293534615063",
"3/2/1979","116.25","-32.6278991699219","302","34.963","17.147","0","3.31865617590469","0.434061052020159",
"3/3/1979","116.25","-32.6278991699219","302","37.094","17.686","0","3.69035826332125","0.348452547498643",
"3/4/1979","116.25","-32.6278991699219","302","36.499","17.008","0","3.40296427524087","0.335191140486101",
"3/5/1979","116.25","-32.6278991699219","302","35.942","19.09","0","4.16204542184927","0.390752729029672",
"3/6/1979","116.25","-32.6278991699219","302","41.159","19.059","0","3.56701006637303","0.420480013140656",
"3/7/1979","116.25","-32.6278991699219","302","36.407","18.644","0","3.5623460837716","0.376242069041594",
"3/8/1979","116.25","-32.6278991699219","302","32.922","14.142","0","4.16875636921138","0.483619382289826",
"3/9/1979","116.25","-32.6278991699219","302","36.957","14.414","0","3.0837947794741","0.554375817383443",
"3/10/1979","116.25","-32.6278991699219","302","32.82","13.293","0","3.17140444481819","0.594904598861171",
"3/11/1979","116.25","-32.6278991699219","302","28.728","16.18","0","4.33802897428618","0.616482077152623",
"3/12/1979","116.25","-32.6278991699219","302","29.483","16.863","0.0377655048","4.67118973147895","0.593511427489987",
"3/13/1979","116.25","-32.6278991699219","302","37.959","17.586","1.81274508","3.47323310891477","0.576735910035785",
"3/14/1979","116.25","-32.6278991699219","302","25.193","17.853","19.87323732","4.04523299003363","0.892281710633607",
"3/15/1979","116.25","-32.6278991699219","302","18.714","16.047","4.0615092","3.79669387669611","0.863447131216254",
"3/16/1979","116.25","-32.6278991699219","302","23.932","13.549","0.226593","2.21389198651416","0.751754013205015",
"3/17/1979","116.25","-32.6278991699219","302","26.839","12.398","0","2.72580332376964","0.627188756538091",
"3/18/1979","116.25","-32.6278991699219","302","29.667","13.889","0","2.69697351453087","0.562463821201326",
"3/19/1979","116.25","-32.6278991699219","302","24.025","13.576","0.00686646","3.56473747058887","0.647028423088037",
"3/20/1979","116.25","-32.6278991699219","302","20.663","10.192","0.02059938","3.00809792627416","0.642142706825657",
"3/21/1979","116.25","-32.6278991699219","302","25.32","10.032","0.0308990304","2.27952890334148","0.738875498168523",
"3/22/1979","116.25","-32.6278991699219","302","21.555","11.574","0.3141402264","2.76907796118686","0.705824975791018",
"3/23/1979","116.25","-32.6278991699219","302","25.934","8.786","0","2.09278803603882","0.650492083440165",
"3/24/1979","116.25","-32.6278991699219","302","28.251","10.603","0","2.84326153922606","0.594912351364052",
"3/25/1979","116.25","-32.6278991699219","302","23.73","11.843","0.1167297048","2.64799124300353","0.758971576845323",
"3/26/1979","116.25","-32.6278991699219","302","21.023","11.495","0.2712249648","2.21335036689603","0.772479871360883",
"3/27/1979","116.25","-32.6278991699219","302","29.004","14.187","0","3.28817399951749","0.634211622226536",
"3/28/1979","116.25","-32.6278991699219","302","23.931","8.036","0","2.28449094503738","0.738491381259697",
"3/29/1979","116.25","-32.6278991699219","302","20.791","9.54300000000001","0.635146632","3.67182530600302","0.776047458033268",
"3/30/1979","116.25","-32.6278991699219","302","19.833","12.495","1.1037825144","3.20568764104035","0.727008193201933",
"3/31/1979","116.25","-32.6278991699219","302","23.545","9.18000000000001","0","2.76822482490533","0.577577871303826",
"4/1/1979","116.25","-32.6278991699219","302","25.488","8.44799999999998","0","2.94668309706293","0.555576295848707",
"4/2/1979","116.25","-32.6278991699219","302","20.157","9.077","0.00686646","3.23467210117256","0.685975838244807",
"4/3/1979","116.25","-32.6278991699219","302","20.884","7.83300000000003","0.137329164","2.47340266830426","0.79550594025737",
"4/4/1979","116.25","-32.6278991699219","302","21.624","10.72","0.442886076","1.83056524302605","0.741766278712695",
"4/5/1979","116.25","-32.6278991699219","302","28.164","9.31999999999999","0","2.28399432682894","0.611291269292263",
"4/6/1979","116.25","-32.6278991699219","302","27.647","11.233","0","3.02899024901848","0.569256205169341",
"4/7/1979","116.25","-32.6278991699219","302","23.802","13.56","0.0171661392","4.66309294277356","0.634685543955892",
"4/8/1979","116.25","-32.6278991699219","302","28.791","13.506","0","4.37357216599123","0.530607166190631",
"4/9/1979","116.25","-32.6278991699219","302","25.319","14.617","0.04119876","3.82433461402509","0.587122684231676",
"4/10/1979","116.25","-32.6278991699219","302","23.484","10.911","0.3158568288","2.75567155021388","0.763863245983731",
"4/11/1979","116.25","-32.6278991699219","302","22.918","8.89400000000001","0.0308990592","2.12103055806419","0.742284530004961",
"4/12/1979","116.25","-32.6278991699219","302","24.712","9.06700000000001","0","2.45849527783183","0.605160167454897",
"4/13/1979","116.25","-32.6278991699219","302","27.081","8.815","0","2.27201932378913","0.509518377702759",
"4/14/1979","116.25","-32.6278991699219","302","24.226","12.238","0.171661392","3.58038785012242","0.588867279745703",
"4/15/1979","116.25","-32.6278991699219","302","20.518","15.703","13.0411058328","3.80359755622043","0.788389172230542",
"4/16/1979","116.25","-32.6278991699219","302","22.763","13.68","0.0343322784","2.88873821201077","0.665026900919799",
"4/17/1979","116.25","-32.6278991699219","302","18.975","15.279","7.278445332","5.24259285991333","0.802864014571208",
"4/18/1979","116.25","-32.6278991699219","302","18.659","16.183","13.13552916","5.43760043723649","0.917573320840598",
"4/19/1979","116.25","-32.6278991699219","302","18.133","14.561","7.896428892","4.29193920186851","0.89914749639518",
"4/20/1979","116.25","-32.6278991699219","302","15.137","9.22800000000001","0.3158569152","3.03544624249357","0.755839357399116",
"4/21/1979","116.25","-32.6278991699219","302","14.643","7.08999999999998","0","2.93104378041435","0.693133148655764",
"4/22/1979","116.25","-32.6278991699219","302","18.057","6.03199999999998","0","2.65800995690137","0.647541461518372",
"4/23/1979","116.25","-32.6278991699219","302","19.347","8.35000000000002","0","2.75543434925209","0.661042546093658",
"4/24/1979","116.25","-32.6278991699219","302","16.209","11.045","1.723480056","2.63310025975194","0.88356210030881",
"4/25/1979","116.25","-32.6278991699219","302","17.27","8.678","0.0961304256","1.85526606760928","0.856606713879913",
"4/26/1979","116.25","-32.6278991699219","302","22.037","7.96499999999998","0","2.0181333249873","0.699135909810616",
"4/27/1979","116.25","-32.6278991699219","302","24.576","9.80599999999998","0","2.99614026988792","0.545278080446048",
"4/28/1979","116.25","-32.6278991699219","302","26.407","11.55","0","2.16490996594945","0.557510625060156",
"4/29/1979","116.25","-32.6278991699219","302","26.755","12.609","0","2.78120753896282","0.5509309099824",
"4/30/1979","116.25","-32.6278991699219","302","23.916","11.38","2.69165034","3.58926754526894","0.745045977661079",
"5/1/1979","116.25","-32.6278991699219","302","16.458","7.41199999999998","0.017166132","2.88221081870081","0.66615092813439",
"5/2/1979","116.25","-32.6278991699219","302","17.515","2.988","0.0102996792","2.29495532253676","0.760855186550904",
"5/3/1979","116.25","-32.6278991699219","302","20.491","7.15199999999999","0","1.7929882012384","0.710656675456635",
"5/4/1979","116.25","-32.6278991699219","302","20.83","7.31999999999999","0","2.81197897136061","0.690188648562354",
"5/5/1979","116.25","-32.6278991699219","302","22.65","6.029","0","1.67933685050447","0.723043740930262",
"5/6/1979","116.25","-32.6278991699219","302","24.174","7.95400000000001","0","1.40096903003445","0.610276560827634",
"5/7/1979","116.25","-32.6278991699219","302","24.826","12.549","0","2.84400627642423","0.448599148014208",
"5/8/1979","116.25","-32.6278991699219","302","24.735","12.043","0","3.69317201755447","0.478435785595087",
"5/9/1979","116.25","-32.6278991699219","302","17.756","11.982","0","4.61607170184065","0.687434305722343",
"5/10/1979","116.25","-32.6278991699219","302","16.72","10.098","0.0514984392","4.51809835819146","0.623422118224627",
"5/11/1979","116.25","-32.6278991699219","302","18.879","7.12700000000001","0","3.31844887476766","0.665814814543782",
"5/12/1979","116.25","-32.6278991699219","302","19.274","6.25099999999998","0.0274658256","2.59536302013378","0.735337230019816",
"5/13/1979","116.25","-32.6278991699219","302","20.703","6.57299999999998","0","1.92919820592112","0.686062227384473",
"5/14/1979","116.25","-32.6278991699219","302","21.898","9.31599999999997","0","2.98489637063089","0.542389157458096",
"5/15/1979","116.25","-32.6278991699219","302","22.832","10.381","0","3.39040231146319","0.509134951210457",
"5/16/1979","116.25","-32.6278991699219","302","21.882","13.215","0.1304626104","3.74088120331073","0.551814916514161",
"5/17/1979","116.25","-32.6278991699219","302","19.277","7.99099999999999","0.3467564136","2.54050571125465","0.716017152662039",
"5/18/1979","116.25","-32.6278991699219","302","20.336","7.49799999999999","0","2.85532290664753","0.65465962088824",
"5/19/1979","116.25","-32.6278991699219","302","19.72","7.98200000000003","8.140189644","3.38657610055905","0.81710470864082",
"5/20/1979","116.25","-32.6278991699219","302","12.776","4.14600000000002","6.608961144","3.50868988513269","0.925511810812243",
"5/21/1979","116.25","-32.6278991699219","302","12.659","6.10599999999999","5.2665712128","4.24280349776123","0.780257874579216",
"5/22/1979","116.25","-32.6278991699219","302","12.2","5.63200000000001","1.1295316368","2.08855848588825","0.8162548916947",
"5/23/1979","116.25","-32.6278991699219","302","12.762","9.23700000000002","23.49357876","3.26808984706953","0.923591058254568",
"5/24/1979","116.25","-32.6278991699219","302","13.03","6.10000000000002","5.0537130264","3.31567846775585","0.842278312598349",
"5/25/1979","116.25","-32.6278991699219","302","11.5","4.993","0.425720232","1.21748680856116","0.909976381950728",
"5/26/1979","116.25","-32.6278991699219","302","15.621","3.36099999999999","0.09956358","1.79446411245792","0.866238083062522",
"5/27/1979","116.25","-32.6278991699219","302","13.82","11.605","4.466626164","3.75767457149579","0.925161928657063",
"5/28/1979","116.25","-32.6278991699219","302","16.372","8.67000000000002","2.5285709664","1.74351922575932","0.880028293014126",
"5/29/1979","116.25","-32.6278991699219","302","17.806","6.69499999999999","0","2.53702290220371","0.784743654310123",
"5/30/1979","116.25","-32.6278991699219","302","17.586","7.53800000000001","0","3.17221946035213","0.672214726047093",
"5/31/1979","116.25","-32.6278991699219","302","19.162","7.72199999999998","0","3.64126265448188","0.637909573525143",
"6/1/1979","116.25","-32.6278991699219","302","15.702","11.395","7.06557942","4.62118218737254","0.772688342465515",
"6/2/1979","116.25","-32.6278991699219","302","14.704","8.334","8.073230832","2.86913223129136","0.892109194747412",
"6/3/1979","116.25","-32.6278991699219","302","12.253","6.613","8.46805104","4.85795127617697","0.924486711100042",
"6/4/1979","116.25","-32.6278991699219","302","13.481","7.072","0.127029384","2.43777822632196","0.815717030635923",
"6/5/1979","116.25","-32.6278991699219","302","11.992","6.04399999999998","0.690078564","1.51471613372727","0.862496808710835",
"6/6/1979","116.25","-32.6278991699219","302","15.531","5.58999999999998","0.0171661464","2.08554707961736","0.693052679079894",
"6/7/1979","116.25","-32.6278991699219","302","17.347","5.30000000000001","0","2.84183431040675","0.702297738773157",
"6/8/1979","116.25","-32.6278991699219","302","15.918","9.572","5.1481254384","3.21933998001724","0.904384888380535",
