"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","145.938003540039","-37.9357986450195","284","32.453","13.335","0","3.22924895563336","0.475521868530247",
"1/2/1979","145.938003540039","-37.9357986450195","284","19.455","2.18299999999999","0.0274658112","2.10449762743986","0.731950000647798",
"1/3/1979","145.938003540039","-37.9357986450195","284","25.401","1.637","0.0789642504","2.09823316314855","0.667868779834624",
"1/4/1979","145.938003540039","-37.9357986450195","284","34.429","11.001","0","2.1708596710138","0.497041056343734",
"1/5/1979","145.938003540039","-37.9357986450195","284","40.51","18.286","0.11501316","2.94549916560679","0.377885154252905",
"1/6/1979","145.938003540039","-37.9357986450195","284","29.876","15.03","0.30555756","2.11220129361033","0.646059130412936",
"1/7/1979","145.938003540039","-37.9357986450195","284","36.536","11.375","0.099563652","2.75748905353076","0.56762738907501",
"1/8/1979","145.938003540039","-37.9357986450195","284","33.835","10.112","0.62313048","1.97425244914332","0.551834959579181",
"1/9/1979","145.938003540039","-37.9357986450195","284","34.427","15.341","0","3.15551328752705","0.438104543761722",
"1/10/1979","145.938003540039","-37.9357986450195","284","24.302","11.219","0.2231595864","2.08518701642972","0.617098263904558",
"1/11/1979","145.938003540039","-37.9357986450195","284","24.949","3.23200000000003","0","1.95933557411378","0.647537048757701",
"1/12/1979","145.938003540039","-37.9357986450195","284","20.807","2.209","0","1.91962047381414","0.736377468492711",
"1/13/1979","145.938003540039","-37.9357986450195","284","26.598","0.627999999999986","0","1.55869055359199","0.683440902787616",
"1/14/1979","145.938003540039","-37.9357986450195","284","35.778","13.268","0.0034332264","3.59359551633899","0.438839330374386",
"1/15/1979","145.938003540039","-37.9357986450195","284","24.962","13.069","0.235176084","2.10689620014264","0.656839257788917",
"1/16/1979","145.938003540039","-37.9357986450195","284","34.841","12.692","0.1270293984","2.22430785580293","0.539666548290235",
"1/17/1979","145.938003540039","-37.9357986450195","284","21.147","2.53800000000001","1.7028811224","2.36769753497167","0.748366380070129",
"1/18/1979","145.938003540039","-37.9357986450195","284","29.182","3.04000000000002","0","2.06350692994224","0.590087524864002",
"1/19/1979","145.938003540039","-37.9357986450195","284","34.373","12.732","0","1.85250817167002","0.555910291216027",
"1/20/1979","145.938003540039","-37.9357986450195","284","30.083","16.643","9.177017652","3.50965591577742","0.630322321039076",
"1/21/1979","145.938003540039","-37.9357986450195","284","21.268","12.358","7.6578153264","2.44603683650717","0.830946168507012",
"1/22/1979","145.938003540039","-37.9357986450195","284","24.84","11.72","0.212001732","2.97339959381772","0.712660135386549",
"1/23/1979","145.938003540039","-37.9357986450195","284","30.086","11.091","0","1.93095936036637","0.656679529638755",
"1/24/1979","145.938003540039","-37.9357986450195","284","33.411","15.619","0","2.26433666915554","0.503591272474519",
"1/25/1979","145.938003540039","-37.9357986450195","284","31.66","13.722","0.0034332264","4.21258222316959","0.457847985908341",
"1/26/1979","145.938003540039","-37.9357986450195","284","19.982","5.92099999999999","0.1416207384","2.00219809104951","0.756851226957215",
"1/27/1979","145.938003540039","-37.9357986450195","284","21.738","10.236","0.2772333","2.23280155930223","0.693647805907104",
"1/28/1979","145.938003540039","-37.9357986450195","284","29.086","9.565","0","2.33366118780402","0.599974194741245",
"1/29/1979","145.938003540039","-37.9357986450195","284","31.421","13.005","0.0240325992","2.4671169011916","0.505577360222628",
"1/30/1979","145.938003540039","-37.9357986450195","284","27.473","12.151","0","2.25668573483303","0.558956687372802",
"1/31/1979","145.938003540039","-37.9357986450195","284","31.779","13.013","0.1716615","1.74444609634119","0.627106480900139",
"2/1/1979","145.938003540039","-37.9357986450195","284","37.749","12.84","0","2.02260731513124","0.458016665881736",
"2/2/1979","145.938003540039","-37.9357986450195","284","38.351","17.278","0","2.30386101329822","0.358286160258711",
"2/3/1979","145.938003540039","-37.9357986450195","284","33.043","14.407","0.1373292","3.55087501389894","0.331102085100319",
"2/4/1979","145.938003540039","-37.9357986450195","284","14.103","11.459","5.973814908","2.16599790160439","0.878398407349862",
"2/5/1979","145.938003540039","-37.9357986450195","284","22.794","10.236","0.121021272","1.84908201812535","0.699219207144086",
"2/6/1979","145.938003540039","-37.9357986450195","284","27.602","9.41500000000002","0.1776696264","1.88402186643035","0.722083820994009",
"2/7/1979","145.938003540039","-37.9357986450195","284","26.654","5.291","0","1.67612220541768","0.723789549742498",
"2/8/1979","145.938003540039","-37.9357986450195","284","27.187","12.382","0.2042771904","2.04893645440314","0.731389613461104",
"2/9/1979","145.938003540039","-37.9357986450195","284","29.011","13.942","0.241184448","2.26212792875873","0.71146440211035",
"2/10/1979","145.938003540039","-37.9357986450195","284","30.412","8.22300000000001","0","2.64768678867177","0.547428818994574",
"2/11/1979","145.938003540039","-37.9357986450195","284","30.621","5.892","0","1.84816132807435","0.608449872749227",
"2/12/1979","145.938003540039","-37.9357986450195","284","25.384","4.90600000000001","0","1.79786747668474","0.688538620278691",
"2/13/1979","145.938003540039","-37.9357986450195","284","20.087","8.07600000000002","3.4057635192","1.58607566698157","0.769421473407728",
"2/14/1979","145.938003540039","-37.9357986450195","284","19.996","5.368","0.0308990448","1.4947412951684","0.695958430345726",
"2/15/1979","145.938003540039","-37.9357986450195","284","20.675","4.04500000000002","0.6368640264","4.25972338888937","0.669307642896518",
"2/16/1979","145.938003540039","-37.9357986450195","284","10.925","7.161","6.69822696","2.66759883652832","0.93368146156619",
"2/17/1979","145.938003540039","-37.9357986450195","284","18.565","2.94299999999998","1.0025019792","1.62847735638566","0.766300275215556",
"2/18/1979","145.938003540039","-37.9357986450195","284","21.344","4.11200000000002","0","1.79934629658057","0.747739004584008",
"2/19/1979","145.938003540039","-37.9357986450195","284","27.127","8.46899999999999","0.0102996792","2.3343456781407","0.705704438379757",
"2/20/1979","145.938003540039","-37.9357986450195","284","31.763","12.959","0.017166132","2.04117116425431","0.61263128175428",
"2/21/1979","145.938003540039","-37.9357986450195","284","32.667","15.753","0","2.17196736493076","0.482219072875529",
"2/22/1979","145.938003540039","-37.9357986450195","284","32.134","17.234","0","2.1128999001011","0.405951829182779",
"2/23/1979","145.938003540039","-37.9357986450195","284","24.912","17.103","0.30298194","1.73914944635311","0.613650266094111",
"2/24/1979","145.938003540039","-37.9357986450195","284","33.377","17.289","0","3.0669590824953","0.560641245372833",
"2/25/1979","145.938003540039","-37.9357986450195","284","30.951","17.229","0","2.03637212975804","0.536403937182884",
"2/26/1979","145.938003540039","-37.9357986450195","284","24.083","11.071","0","2.43226396736452","0.671415691937274",
"2/27/1979","145.938003540039","-37.9357986450195","284","17.503","1.495","1.3698575784","1.55270687622573","0.887932696813543",
"2/28/1979","145.938003540039","-37.9357986450195","284","25.614","6.15300000000002","0.017166132","1.93572017508877","0.751730400976787",
"3/1/1979","145.938003540039","-37.9357986450195","284","32.914","13.995","0.0969886224","1.57633355851781","0.598679922765239",
"3/2/1979","145.938003540039","-37.9357986450195","284","25.448","14.878","1.5861513744","2.78078496784558","0.623579538997739",
"3/3/1979","145.938003540039","-37.9357986450195","284","14.491","11.784","7.841493504","2.12461490500131","0.964367212301348",
"3/4/1979","145.938003540039","-37.9357986450195","284","17.55","10.41","1.0505671992","2.73832146590823","0.842150173382413",
"3/5/1979","145.938003540039","-37.9357986450195","284","19.132","4.69","0.0686646","1.80088191749671","0.767050579177529",
"3/6/1979","145.938003540039","-37.9357986450195","284","13.467","7.93000000000001","5.6098936008","2.00628408373796","0.924879348943991",
"3/7/1979","145.938003540039","-37.9357986450195","284","21.107","1.243","0.0308990448","1.70640100881441","0.729782361902405",
"3/8/1979","145.938003540039","-37.9357986450195","284","26.297","7.90199999999999","0","2.20219688600349","0.540686330593707",
"3/9/1979","145.938003540039","-37.9357986450195","284","25.632","9.41800000000001","0.01373292","2.10254680402835","0.56417386184498",
"3/10/1979","145.938003540039","-37.9357986450195","284","24.639","10.833","0.1235962008","1.6142728400727","0.697905274007917",
"3/11/1979","145.938003540039","-37.9357986450195","284","30.889","12.284","0.017166132","1.96461549271127","0.549617477899245",
"3/12/1979","145.938003540039","-37.9357986450195","284","30.649","16.875","1.1089340424","1.84513442729437","0.48998208136755",
"3/13/1979","145.938003540039","-37.9357986450195","284","25.371","10.524","9.6748344","1.36180541712022","0.84413529245908",
"3/14/1979","145.938003540039","-37.9357986450195","284","17.431","13.384","7.3642747104","2.20299504042412","0.960137768304964",
"3/15/1979","145.938003540039","-37.9357986450195","284","15.166","11.94","4.459763412","3.10278844900319","0.963837153852522",
"3/16/1979","145.938003540039","-37.9357986450195","284","20.814","11.717","1.088332668","2.87238267684726","0.847137268593823",
"3/17/1979","145.938003540039","-37.9357986450195","284","24.696","12.563","4.2572037096","1.89479627395204","0.843563039997502",
"3/18/1979","145.938003540039","-37.9357986450195","284","15.726","3.23099999999999","0.6591796488","1.29732409662482","0.913667502724895",
"3/19/1979","145.938003540039","-37.9357986450195","284","26.119","7.154","0","1.64132771985124","0.72006816333457",
"3/20/1979","145.938003540039","-37.9357986450195","284","28.713","12.408","0","2.87595635105699","0.522476259922254",
"3/21/1979","145.938003540039","-37.9357986450195","284","22.586","3.30700000000002","1.49688774","2.94336522905784","0.683071849444246",
"3/22/1979","145.938003540039","-37.9357986450195","284","22.96","1.34899999999999","0","1.21601788931434","0.698245514996195",
"3/23/1979","145.938003540039","-37.9357986450195","284","19.788","6.017","0.8445739464","2.43307015087645","0.710506238650111",
"3/24/1979","145.938003540039","-37.9357986450195","284","11.955","7.64400000000001","4.504395384","2.01487189569464","0.885667367036899",
"3/25/1979","145.938003540039","-37.9357986450195","284","21.004","6.99200000000002","0.32272344","1.36319779202953","0.788131653561156",
"3/26/1979","145.938003540039","-37.9357986450195","284","24.788","9.09100000000001","0","2.03351308325361","0.581636452990668",
"3/27/1979","145.938003540039","-37.9357986450195","284","24.627","12.328","5.75065908","3.98088744987199","0.536159271357455",
"3/28/1979","145.938003540039","-37.9357986450195","284","13.045","10.876","4.5799242984","2.42660347082507","0.931299280863686",
"3/29/1979","145.938003540039","-37.9357986450195","284","22.489","9.25299999999999","0","2.10395929969554","0.690519135069341",
"3/30/1979","145.938003540039","-37.9357986450195","284","25.685","11.86","0","1.97999587878651","0.60035955838279",
"3/31/1979","145.938003540039","-37.9357986450195","284","26.637","13.416","0.604247508","2.71220473166307","0.530439234331941",
"4/1/1979","145.938003540039","-37.9357986450195","284","12.931","9.49900000000002","3.8932806384","1.09803233902848","0.830268126054575",
"4/2/1979","145.938003540039","-37.9357986450195","284","18.384","5.72000000000003","1.054000836","1.48703010569771","0.729184388028281",
"4/3/1979","145.938003540039","-37.9357986450195","284","16.416","8.36099999999999","10.46791458","3.7299596300445","0.717409700351694",
"4/4/1979","145.938003540039","-37.9357986450195","284","17.345","7.29000000000002","0.072097812","3.30448033694186","0.622765045504896",
"4/5/1979","145.938003540039","-37.9357986450195","284","17.733","10.24","5.02624674","3.55649372026257","0.689857307074632",
"4/6/1979","145.938003540039","-37.9357986450195","284","11.643","10.34","5.36956794","2.30615056750492","0.985524809681709",
"4/7/1979","145.938003540039","-37.9357986450195","284","15.521","1.62900000000002","0.195693948","1.21102389846823","0.867367257035825",
"4/8/1979","145.938003540039","-37.9357986450195","284","11.059","5.11500000000001","3.2993362872","1.57415433540109","0.910387343943559",
"4/9/1979","145.938003540039","-37.9357986450195","284","13.048","-1.51400000000001","0.120162852","1.76059877861824","0.802620276886708",
"4/10/1979","145.938003540039","-37.9357986450195","284","10.554","7.303","2.293396632","2.0865021504339","0.854024044239792",
"4/11/1979","145.938003540039","-37.9357986450195","284","9.697","7.61500000000001","1.955223684","1.23746536421508","0.966593117739067",
"4/12/1979","145.938003540039","-37.9357986450195","284","14.662","7.44400000000002","0.490951296","1.26666447360997","0.866171491054345",
"4/13/1979","145.938003540039","-37.9357986450195","284","17.838","2.06999999999999","0.255775428","1.25119153080581","0.806820203588358",
"4/14/1979","145.938003540039","-37.9357986450195","284","21.077","4.44799999999998","0","1.72651557928153","0.556791282687079",
"4/15/1979","145.938003540039","-37.9357986450195","284","22.737","8.78300000000002","0","1.66741345720744","0.484316765262198",
"4/16/1979","145.938003540039","-37.9357986450195","284","23.503","9.46699999999998","0","2.28985007769325","0.43923623944828",
"4/17/1979","145.938003540039","-37.9357986450195","284","17.969","8.51799999999997","1.5621165","2.1832125569953","0.670200581811259",
"4/18/1979","145.938003540039","-37.9357986450195","284","11.023","8.99599999999998","4.195406268","1.90919990853639","0.98437886088229",
"4/19/1979","145.938003540039","-37.9357986450195","284","10.25","0.0400000000000205","9.85679496","1.20245548193372","0.988374408787371",
"4/20/1979","145.938003540039","-37.9357986450195","284","12.596","3.67700000000002","1.119232008","2.24354313233781","0.916011431976969",
"4/21/1979","145.938003540039","-37.9357986450195","284","20.01","10.918","2.578355676","3.88112686656515","0.738012684957263",
"4/22/1979","145.938003540039","-37.9357986450195","284","13.25","9.44400000000002","3.814313328","3.67809874963631","0.749344766157858",
"4/23/1979","145.938003540039","-37.9357986450195","284","15.108","8.69799999999998","0.024032592","3.16392791588647","0.72317867355128",
"4/24/1979","145.938003540039","-37.9357986450195","284","12.716","3.13","0.3776544792","2.26848445461029","0.867101274057671",
"4/25/1979","145.938003540039","-37.9357986450195","284","16.827","6.053","0.0789642864","1.60156406991358","0.731664054757677",
"4/26/1979","145.938003540039","-37.9357986450195","284","14.963","8.53399999999999","1.4144892984","2.09100931417585","0.842540253884776",
"4/27/1979","145.938003540039","-37.9357986450195","284","10.68","0.149000000000001","2.214429588","1.19068294136885","0.946137635568696",
"4/28/1979","145.938003540039","-37.9357986450195","284","15.617","-1.029","0","1.28599009325257","0.842452773986327",
"4/29/1979","145.938003540039","-37.9357986450195","284","15.269","0.0249999999999773","0.1029968568","1.26248170432417","0.866954891613964",
"4/30/1979","145.938003540039","-37.9357986450195","284","17.911","1.53300000000002","0.00686646","1.77543607720708","0.776395826046402",
"5/1/1979","145.938003540039","-37.9357986450195","284","20.234","3.16000000000003","0","1.3263048313399","0.719671064560502",
"5/2/1979","145.938003540039","-37.9357986450195","284","21.132","7.416","0","2.92558642620247","0.663889833085093",
"5/3/1979","145.938003540039","-37.9357986450195","284","14.425","7.67399999999998","24.0360101784","1.58826154550509","0.926349736879005",
"5/4/1979","145.938003540039","-37.9357986450195","284","10.879","-0.146000000000015","0.8720397144","1.2863731769106","0.92258490551632",
"5/5/1979","145.938003540039","-37.9357986450195","284","12.053","4.70999999999998","0.343322928","2.68297489916002","0.851043681548714",
"5/6/1979","145.938003540039","-37.9357986450195","284","13.305","5.63799999999998","0.2008439856","2.46427526429847","0.802238229201765",
"5/7/1979","145.938003540039","-37.9357986450195","284","13.41","7.43599999999998","0.3913880256","2.36544402600812","0.834432966783468",
"5/8/1979","145.938003540039","-37.9357986450195","284","12.463","1.19299999999998","0.199127268","1.56947610602847","0.913551950860302",
"5/9/1979","145.938003540039","-37.9357986450195","284","12.642","1.88099999999997","0.365638716","1.11706584228297","0.90262337611046",
"5/10/1979","145.938003540039","-37.9357986450195","284","11.747","4.30099999999999","11.4944476608","2.24096787019669","0.947409707877595",
"5/11/1979","145.938003540039","-37.9357986450195","284","8.42500000000001","2.99799999999999","8.32557636","2.67771976223461","0.944168597255912",
"5/12/1979","145.938003540039","-37.9357986450195","284","9.68799999999999","6.38","6.97631796","2.88434895747244","0.98685507885035",
"5/13/1979","145.938003540039","-37.9357986450195","284","8.91899999999998","5.94799999999998","6.083679096","2.49298902063145","0.960152733782044",
"5/14/1979","145.938003540039","-37.9357986450195","284","8.29199999999997","6.43900000000002","4.96101384","1.70931990913882","0.991629245460477",
"5/15/1979","145.938003540039","-37.9357986450195","284","7.77699999999999","6.31900000000002","1.373289984","1.10286520950693","0.988616565977001",
"5/16/1979","145.938003540039","-37.9357986450195","284","10.804","-1.988","0.137329092","0.961783807204975","0.914610673284484",
"5/17/1979","145.938003540039","-37.9357986450195","284","8.42899999999997","1.91199999999998","1.8264772944","1.88348244296123","0.976831737895995",
"5/18/1979","145.938003540039","-37.9357986450195","284","13.072","4.46499999999998","0.2746581408","1.45281363452462","0.928089565326014",
"5/19/1979","145.938003540039","-37.9357986450195","284","13.38","3.13799999999998","0.370788552","1.39924195217888","0.900423222470383",
"5/20/1979","145.938003540039","-37.9357986450195","284","14.864","4.57400000000001","0.199127196","1.77810703202568","0.87420070458",
"5/21/1979","145.938003540039","-37.9357986450195","284","16.773","5.27800000000002","0","1.86687188314606","0.730415778297809",
"5/22/1979","145.938003540039","-37.9357986450195","284","15.101","4.25599999999997","0","2.17579234116673","0.573529146032894",
"5/23/1979","145.938003540039","-37.9357986450195","284","13.275","7.00799999999998","0.61111476","2.98514490406518","0.696902911946761",
"5/24/1979","145.938003540039","-37.9357986450195","284","13.324","6.58499999999998","0.4497530256","2.21259828864981","0.84466487644843",
"5/25/1979","145.938003540039","-37.9357986450195","284","13.879","2.73000000000002","0.01373292","1.40238745577498","0.881767185812064",
"5/26/1979","145.938003540039","-37.9357986450195","284","12.796","6.06900000000002","9.314350632","2.82186967613891","0.941671327245609",
"5/27/1979","145.938003540039","-37.9357986450195","284","11.228","5.15600000000001","13.211063064","3.21590689641406","0.979262192592389",
"5/28/1979","145.938003540039","-37.9357986450195","284","10.879","5.13200000000001","0.3742217064","2.60257202265819","0.833598207515381",
"5/29/1979","145.938003540039","-37.9357986450195","284","10.44","8.65100000000001","6.461334648","3.23296276085089","0.937143050702629",
"5/30/1979","145.938003540039","-37.9357986450195","284","10.293","7.81400000000002","8.2569084264","2.2857016053382","0.950032317546965",
"5/31/1979","145.938003540039","-37.9357986450195","284","10.349","8.08100000000002","2.399825844","1.40913799636707","0.988080402620151",
"6/1/1979","145.938003540039","-37.9357986450195","284","10.405","4.19499999999999","0.1991272104","0.852345625986113","0.969892111178553",
"6/2/1979","145.938003540039","-37.9357986450195","284","14.325","0.913000000000011","0.20084382","0.972692828312648","0.883676763656315",
"6/3/1979","145.938003540039","-37.9357986450195","284","13.351","0.701000000000022","0","1.50420820247514","0.877877748932254",
"6/4/1979","145.938003540039","-37.9357986450195","284","13.381","3.11599999999999","0.0137329056","1.55055650206027","0.852310333013014",
"6/5/1979","145.938003540039","-37.9357986450195","284","15.511","5.17500000000001","0","2.42370013245647","0.754278548890455",
"6/6/1979","145.938003540039","-37.9357986450195","284","16.068","6.28300000000002","0.767326356","1.67450371424913","0.796505245218928",
"6/7/1979","145.938003540039","-37.9357986450195","284","12.725","6.54199999999997","3.987695124","1.46383472814746","0.976736308710999",
"6/8/1979","145.938003540039","-37.9357986450195","284","10.742","8.37799999999999","0.76732614","2.15739140945656","0.916291806924869",
"6/9/1979","145.938003540039","-37.9357986450195","284","9.51600000000002","7.666","1.2205125864","2.29462088991199","0.892876239793193",
"6/10/1979","145.938003540039","-37.9357986450195","284","9.44799999999998","6.661","1.3938903648","3.05313340782499","0.893796940945175",
"6/11/1979","145.938003540039","-37.9357986450195","284","10.728","6.28399999999999","0.8359909848","2.05194832899836","0.903718266699973",
"6/12/1979","145.938003540039","-37.9357986450195","284","11.701","6.61099999999999","0.5424500808","2.65047376901238","0.88346637676673",
"6/13/1979","145.938003540039","-37.9357986450195","284","11.54","6.15800000000002","0.0377655048","2.64178917666871","0.797057023992389",
"6/14/1979","145.938003540039","-37.9357986450195","284","12.261","6.73000000000002","1.7183301624","3.19521914968494","0.847448637158267",
"6/15/1979","145.938003540039","-37.9357986450195","284","10.622","5.43299999999999","0.3072741912","2.89614112855833","0.865285316993362",
"6/16/1979","145.938003540039","-37.9357986450195","284","11.882","7.529","0.1544952528","3.4117140289292","0.830721161654123",
"6/17/1979","145.938003540039","-37.9357986450195","284","11.693","6.97699999999998","0","3.79476792759503","0.758905602970107",
