Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070037,1962,01,01,23.9,,Y
IDCJAC0010,070037,1962,01,02,27.2,1,Y
IDCJAC0010,070037,1962,01,03,31.1,1,Y
IDCJAC0010,070037,1962,01,04,31.7,1,Y
IDCJAC0010,070037,1962,01,05,16.7,1,Y
IDCJAC0010,070037,1962,01,06,19.4,1,Y
IDCJAC0010,070037,1962,01,07,24.4,1,Y
IDCJAC0010,070037,1962,01,08,18.3,1,Y
IDCJAC0010,070037,1962,01,09,25.0,1,Y
IDCJAC0010,070037,1962,01,10,28.9,1,Y
IDCJAC0010,070037,1962,01,11,20.0,1,Y
IDCJAC0010,070037,1962,01,12,18.9,1,Y
IDCJAC0010,070037,1962,01,13,26.1,1,Y
IDCJAC0010,070037,1962,01,14,29.4,1,Y
IDCJAC0010,070037,1962,01,15,32.2,1,Y
IDCJAC0010,070037,1962,01,16,28.9,1,Y
IDCJAC0010,070037,1962,01,17,31.1,1,Y
IDCJAC0010,070037,1962,01,18,22.8,1,Y
IDCJAC0010,070037,1962,01,19,23.9,1,Y
IDCJAC0010,070037,1962,01,20,20.0,1,Y
IDCJAC0010,070037,1962,01,21,25.6,1,Y
IDCJAC0010,070037,1962,01,22,22.2,1,Y
IDCJAC0010,070037,1962,01,23,25.6,1,Y
IDCJAC0010,070037,1962,01,24,28.3,1,Y
IDCJAC0010,070037,1962,01,25,29.4,1,Y
IDCJAC0010,070037,1962,01,26,26.7,1,Y
IDCJAC0010,070037,1962,01,27,20.0,1,Y
IDCJAC0010,070037,1962,01,28,15.0,1,Y
IDCJAC0010,070037,1962,01,29,27.2,1,Y
IDCJAC0010,070037,1962,01,30,28.9,1,Y
IDCJAC0010,070037,1962,01,31,19.4,1,Y
IDCJAC0010,070037,1962,02,01,27.8,1,Y
IDCJAC0010,070037,1962,02,02,26.1,1,Y
IDCJAC0010,070037,1962,02,03,27.2,1,Y
IDCJAC0010,070037,1962,02,04,27.2,1,Y
IDCJAC0010,070037,1962,02,05,26.7,1,Y
IDCJAC0010,070037,1962,02,06,29.4,1,Y
IDCJAC0010,070037,1962,02,07,31.1,1,Y
IDCJAC0010,070037,1962,02,08,32.2,1,Y
IDCJAC0010,070037,1962,02,09,24.4,1,Y
IDCJAC0010,070037,1962,02,10,26.7,1,Y
IDCJAC0010,070037,1962,02,11,26.1,1,Y
IDCJAC0010,070037,1962,02,12,27.2,1,Y
IDCJAC0010,070037,1962,02,13,28.9,1,Y
IDCJAC0010,070037,1962,02,14,26.7,1,Y
IDCJAC0010,070037,1962,02,15,21.1,1,Y
IDCJAC0010,070037,1962,02,16,19.4,1,Y
IDCJAC0010,070037,1962,02,17,17.8,1,Y
IDCJAC0010,070037,1962,02,18,22.2,1,Y
IDCJAC0010,070037,1962,02,19,25.0,1,Y
IDCJAC0010,070037,1962,02,20,26.6,1,Y
IDCJAC0010,070037,1962,02,21,25.6,1,Y
IDCJAC0010,070037,1962,02,22,23.9,1,Y
IDCJAC0010,070037,1962,02,23,23.3,1,Y
IDCJAC0010,070037,1962,02,24,24.4,1,Y
IDCJAC0010,070037,1962,02,25,28.9,1,Y
IDCJAC0010,070037,1962,02,26,26.1,1,Y
IDCJAC0010,070037,1962,02,27,22.2,1,Y
IDCJAC0010,070037,1962,02,28,23.9,1,Y
IDCJAC0010,070037,1962,03,01,30.0,1,Y
IDCJAC0010,070037,1962,03,02,26.1,1,Y
IDCJAC0010,070037,1962,03,03,25.0,1,Y
IDCJAC0010,070037,1962,03,04,25.6,1,Y
IDCJAC0010,070037,1962,03,05,28.3,1,Y
IDCJAC0010,070037,1962,03,06,28.9,1,Y
IDCJAC0010,070037,1962,03,07,26.7,1,Y
IDCJAC0010,070037,1962,03,08,24.4,1,Y
IDCJAC0010,070037,1962,03,09,26.7,1,Y
IDCJAC0010,070037,1962,03,10,23.3,1,Y
IDCJAC0010,070037,1962,03,11,23.3,1,Y
IDCJAC0010,070037,1962,03,12,25.6,1,Y
IDCJAC0010,070037,1962,03,13,23.9,1,Y
IDCJAC0010,070037,1962,03,14,21.7,1,Y
IDCJAC0010,070037,1962,03,15,22.8,1,Y
IDCJAC0010,070037,1962,03,16,26.1,1,Y
IDCJAC0010,070037,1962,03,17,27.8,1,Y
IDCJAC0010,070037,1962,03,18,27.2,1,Y
IDCJAC0010,070037,1962,03,19,28.9,1,Y
IDCJAC0010,070037,1962,03,20,23.3,1,Y
IDCJAC0010,070037,1962,03,21,26.1,1,Y
IDCJAC0010,070037,1962,03,22,28.9,1,Y
IDCJAC0010,070037,1962,03,23,25.0,1,Y
IDCJAC0010,070037,1962,03,24,26.7,1,Y
IDCJAC0010,070037,1962,03,25,25.6,1,Y
IDCJAC0010,070037,1962,03,26,27.8,1,Y
IDCJAC0010,070037,1962,03,27,28.9,1,Y
IDCJAC0010,070037,1962,03,28,26.7,1,Y
IDCJAC0010,070037,1962,03,29,22.2,1,Y
IDCJAC0010,070037,1962,03,30,24.4,1,Y
IDCJAC0010,070037,1962,03,31,23.3,1,Y
IDCJAC0010,070037,1962,04,01,30.6,1,Y
IDCJAC0010,070037,1962,04,02,24.4,1,Y
IDCJAC0010,070037,1962,04,03,26.7,1,Y
IDCJAC0010,070037,1962,04,04,21.7,1,Y
IDCJAC0010,070037,1962,04,05,16.7,1,Y
IDCJAC0010,070037,1962,04,06,16.1,1,Y
IDCJAC0010,070037,1962,04,07,15.6,1,Y
IDCJAC0010,070037,1962,04,08,17.8,1,Y
IDCJAC0010,070037,1962,04,09,17.8,1,Y
IDCJAC0010,070037,1962,04,10,15.6,1,Y
IDCJAC0010,070037,1962,04,11,21.7,1,Y
IDCJAC0010,070037,1962,04,12,23.3,1,Y
IDCJAC0010,070037,1962,04,13,21.7,1,Y
IDCJAC0010,070037,1962,04,14,16.7,1,Y
IDCJAC0010,070037,1962,04,15,20.6,1,Y
IDCJAC0010,070037,1962,04,16,18.9,1,Y
IDCJAC0010,070037,1962,04,17,18.9,1,Y
IDCJAC0010,070037,1962,04,18,24.4,1,Y
IDCJAC0010,070037,1962,04,19,23.9,1,Y
IDCJAC0010,070037,1962,04,20,22.8,1,Y
IDCJAC0010,070037,1962,04,21,17.2,1,Y
IDCJAC0010,070037,1962,04,22,21.7,1,Y
IDCJAC0010,070037,1962,04,23,23.9,1,Y
IDCJAC0010,070037,1962,04,24,22.8,1,Y
IDCJAC0010,070037,1962,04,25,26.1,1,Y
IDCJAC0010,070037,1962,04,26,25.6,1,Y
IDCJAC0010,070037,1962,04,27,26.1,1,Y
IDCJAC0010,070037,1962,04,28,25.6,1,Y
IDCJAC0010,070037,1962,04,29,13.3,1,Y
IDCJAC0010,070037,1962,04,30,15.0,1,Y
IDCJAC0010,070037,1962,05,01,15.0,1,Y
IDCJAC0010,070037,1962,05,02,8.3,1,Y
IDCJAC0010,070037,1962,05,03,17.8,1,Y
IDCJAC0010,070037,1962,05,04,17.2,1,Y
IDCJAC0010,070037,1962,05,05,18.9,1,Y
IDCJAC0010,070037,1962,05,06,17.8,1,Y
IDCJAC0010,070037,1962,05,07,18.9,1,Y
IDCJAC0010,070037,1962,05,08,18.9,1,Y
IDCJAC0010,070037,1962,05,09,15.0,1,Y
IDCJAC0010,070037,1962,05,10,12.2,1,Y
IDCJAC0010,070037,1962,05,11,11.7,1,Y
IDCJAC0010,070037,1962,05,12,13.3,1,Y
IDCJAC0010,070037,1962,05,13,12.8,1,Y
IDCJAC0010,070037,1962,05,14,16.7,1,Y
IDCJAC0010,070037,1962,05,15,16.1,1,Y
IDCJAC0010,070037,1962,05,16,16.7,1,Y
IDCJAC0010,070037,1962,05,17,12.2,1,Y
IDCJAC0010,070037,1962,05,18,13.9,1,Y
IDCJAC0010,070037,1962,05,19,15.6,1,Y
IDCJAC0010,070037,1962,05,20,17.8,1,Y
IDCJAC0010,070037,1962,05,21,16.7,1,Y
IDCJAC0010,070037,1962,05,22,13.9,1,Y
IDCJAC0010,070037,1962,05,23,14.4,1,Y
IDCJAC0010,070037,1962,05,24,10.0,1,Y
IDCJAC0010,070037,1962,05,25,10.0,1,Y
IDCJAC0010,070037,1962,05,26,10.6,1,Y
IDCJAC0010,070037,1962,05,27,10.0,1,Y
IDCJAC0010,070037,1962,05,28,10.6,1,Y
IDCJAC0010,070037,1962,05,29,9.4,1,Y
IDCJAC0010,070037,1962,05,30,10.6,1,Y
IDCJAC0010,070037,1962,05,31,13.9,1,Y
IDCJAC0010,070037,1962,06,01,15.0,1,Y
IDCJAC0010,070037,1962,06,02,17.2,1,Y
IDCJAC0010,070037,1962,06,03,13.9,1,Y
IDCJAC0010,070037,1962,06,04,13.9,1,Y
IDCJAC0010,070037,1962,06,05,11.7,1,Y
IDCJAC0010,070037,1962,06,06,15.0,1,Y
IDCJAC0010,070037,1962,06,07,15.6,1,Y
IDCJAC0010,070037,1962,06,08,13.3,1,Y
IDCJAC0010,070037,1962,06,09,16.1,1,Y
IDCJAC0010,070037,1962,06,10,12.2,1,Y
IDCJAC0010,070037,1962,06,11,14.4,1,Y
IDCJAC0010,070037,1962,06,12,16.1,1,Y
IDCJAC0010,070037,1962,06,13,16.1,1,Y
IDCJAC0010,070037,1962,06,14,11.7,1,Y
IDCJAC0010,070037,1962,06,15,11.1,1,Y
IDCJAC0010,070037,1962,06,16,14.4,1,Y
IDCJAC0010,070037,1962,06,17,13.3,1,Y
IDCJAC0010,070037,1962,06,18,16.1,1,Y
IDCJAC0010,070037,1962,06,19,18.9,1,Y
IDCJAC0010,070037,1962,06,20,17.8,1,Y
IDCJAC0010,070037,1962,06,21,11.7,1,Y
IDCJAC0010,070037,1962,06,22,11.7,1,Y
IDCJAC0010,070037,1962,06,23,11.7,1,Y
IDCJAC0010,070037,1962,06,24,15.0,1,Y
IDCJAC0010,070037,1962,06,25,14.4,1,Y
IDCJAC0010,070037,1962,06,26,12.2,1,Y
IDCJAC0010,070037,1962,06,27,15.6,1,Y
IDCJAC0010,070037,1962,06,28,16.7,1,Y
IDCJAC0010,070037,1962,06,29,16.1,1,Y
IDCJAC0010,070037,1962,06,30,13.9,1,Y
IDCJAC0010,070037,1962,07,01,14.4,1,Y
IDCJAC0010,070037,1962,07,02,12.2,1,Y
IDCJAC0010,070037,1962,07,03,12.2,1,Y
IDCJAC0010,070037,1962,07,04,14.4,1,Y
IDCJAC0010,070037,1962,07,05,14.4,1,Y
IDCJAC0010,070037,1962,07,06,13.9,1,Y
IDCJAC0010,070037,1962,07,07,15.6,1,Y
IDCJAC0010,070037,1962,07,08,14.4,1,Y
IDCJAC0010,070037,1962,07,09,11.1,1,Y
IDCJAC0010,070037,1962,07,10,13.3,1,Y
IDCJAC0010,070037,1962,07,11,13.3,1,Y
IDCJAC0010,070037,1962,07,12,11.7,1,Y
IDCJAC0010,070037,1962,07,13,11.7,1,Y
IDCJAC0010,070037,1962,07,14,13.9,1,Y
IDCJAC0010,070037,1962,07,15,12.8,1,Y
IDCJAC0010,070037,1962,07,16,13.9,1,Y
IDCJAC0010,070037,1962,07,17,15.0,1,Y
IDCJAC0010,070037,1962,07,18,13.9,1,Y
IDCJAC0010,070037,1962,07,19,15.6,1,Y
IDCJAC0010,070037,1962,07,20,16.7,1,Y
IDCJAC0010,070037,1962,07,21,17.8,1,Y
IDCJAC0010,070037,1962,07,22,12.8,1,Y
IDCJAC0010,070037,1962,07,23,16.7,1,Y
IDCJAC0010,070037,1962,07,24,15.0,1,Y
IDCJAC0010,070037,1962,07,25,11.7,1,Y
IDCJAC0010,070037,1962,07,26,11.1,1,Y
IDCJAC0010,070037,1962,07,27,10.6,1,Y
IDCJAC0010,070037,1962,07,28,12.8,1,Y
IDCJAC0010,070037,1962,07,29,12.2,1,Y
IDCJAC0010,070037,1962,07,30,12.8,1,Y
IDCJAC0010,070037,1962,07,31,13.3,1,Y
IDCJAC0010,070037,1962,08,01,9.4,1,Y
IDCJAC0010,070037,1962,08,02,7.8,1,Y
IDCJAC0010,070037,1962,08,03,11.7,1,Y
IDCJAC0010,070037,1962,08,04,12.8,1,Y
IDCJAC0010,070037,1962,08,05,10.0,1,Y
IDCJAC0010,070037,1962,08,06,14.4,1,Y
IDCJAC0010,070037,1962,08,07,17.8,1,Y
IDCJAC0010,070037,1962,08,08,12.8,1,Y
IDCJAC0010,070037,1962,08,09,12.8,1,Y
IDCJAC0010,070037,1962,08,10,8.9,1,Y
IDCJAC0010,070037,1962,08,11,11.7,1,Y
IDCJAC0010,070037,1962,08,12,8.3,1,Y
IDCJAC0010,070037,1962,08,13,11.7,1,Y
IDCJAC0010,070037,1962,08,14,11.7,1,Y
IDCJAC0010,070037,1962,08,15,13.9,1,Y
IDCJAC0010,070037,1962,08,16,14.4,1,Y
IDCJAC0010,070037,1962,08,17,15.0,1,Y
IDCJAC0010,070037,1962,08,18,17.2,1,Y
IDCJAC0010,070037,1962,08,19,11.1,1,Y
IDCJAC0010,070037,1962,08,20,8.3,1,Y
IDCJAC0010,070037,1962,08,21,3.3,1,Y
IDCJAC0010,070037,1962,08,22,8.9,1,Y
IDCJAC0010,070037,1962,08,23,11.7,1,Y
IDCJAC0010,070037,1962,08,24,11.7,1,Y
IDCJAC0010,070037,1962,08,25,10.0,1,Y
IDCJAC0010,070037,1962,08,26,11.7,1,Y
IDCJAC0010,070037,1962,08,27,17.8,1,Y
IDCJAC0010,070037,1962,08,28,19.4,1,Y
IDCJAC0010,070037,1962,08,29,17.2,1,Y
IDCJAC0010,070037,1962,08,30,14.4,1,Y
IDCJAC0010,070037,1962,08,31,17.2,1,Y
IDCJAC0010,070037,1962,09,01,15.0,1,Y
IDCJAC0010,070037,1962,09,02,18.9,1,Y
IDCJAC0010,070037,1962,09,03,20.0,1,Y
IDCJAC0010,070037,1962,09,04,20.6,1,Y
IDCJAC0010,070037,1962,09,05,20.0,1,Y
IDCJAC0010,070037,1962,09,06,12.2,1,Y
IDCJAC0010,070037,1962,09,07,12.2,1,Y
IDCJAC0010,070037,1962,09,08,12.2,1,Y
IDCJAC0010,070037,1962,09,09,18.9,1,Y
IDCJAC0010,070037,1962,09,10,20.6,1,Y
IDCJAC0010,070037,1962,09,11,20.0,1,Y
IDCJAC0010,070037,1962,09,12,15.0,1,Y
IDCJAC0010,070037,1962,09,13,13.9,1,Y
IDCJAC0010,070037,1962,09,14,18.3,1,Y
IDCJAC0010,070037,1962,09,15,11.1,1,Y
IDCJAC0010,070037,1962,09,16,12.8,1,Y
IDCJAC0010,070037,1962,09,17,15.0,1,Y
IDCJAC0010,070037,1962,09,18,15.0,1,Y
IDCJAC0010,070037,1962,09,19,17.8,1,Y
IDCJAC0010,070037,1962,09,20,6.7,1,Y
IDCJAC0010,070037,1962,09,21,11.7,1,Y
IDCJAC0010,070037,1962,09,22,16.1,1,Y
IDCJAC0010,070037,1962,09,23,20.6,1,Y
IDCJAC0010,070037,1962,09,24,20.0,1,Y
IDCJAC0010,070037,1962,09,25,16.7,1,Y
IDCJAC0010,070037,1962,09,26,17.2,1,Y
IDCJAC0010,070037,1962,09,27,20.0,1,Y
IDCJAC0010,070037,1962,09,28,13.9,1,Y
IDCJAC0010,070037,1962,09,29,8.3,1,Y
IDCJAC0010,070037,1962,09,30,13.9,1,Y
IDCJAC0010,070037,1962,10,01,15.0,1,Y
IDCJAC0010,070037,1962,10,02,20.0,1,Y
IDCJAC0010,070037,1962,10,03,18.3,1,Y
IDCJAC0010,070037,1962,10,04,22.2,1,Y
IDCJAC0010,070037,1962,10,05,16.7,1,Y
IDCJAC0010,070037,1962,10,06,17.2,1,Y
IDCJAC0010,070037,1962,10,07,11.1,1,Y
IDCJAC0010,070037,1962,10,08,17.2,1,Y
IDCJAC0010,070037,1962,10,09,18.9,1,Y
IDCJAC0010,070037,1962,10,10,13.3,1,Y
IDCJAC0010,070037,1962,10,11,22.2,1,Y
IDCJAC0010,070037,1962,10,12,23.9,1,Y
IDCJAC0010,070037,1962,10,13,23.9,1,Y
IDCJAC0010,070037,1962,10,14,23.9,1,Y
IDCJAC0010,070037,1962,10,15,13.3,1,Y
IDCJAC0010,070037,1962,10,16,18.3,1,Y
IDCJAC0010,070037,1962,10,17,20.6,1,Y
IDCJAC0010,070037,1962,10,18,24.4,1,Y
IDCJAC0010,070037,1962,10,19,14.4,1,Y
IDCJAC0010,070037,1962,10,20,17.2,1,Y
IDCJAC0010,070037,1962,10,21,16.7,1,Y
IDCJAC0010,070037,1962,10,22,17.2,1,Y
IDCJAC0010,070037,1962,10,23,16.7,1,Y
IDCJAC0010,070037,1962,10,24,13.3,1,Y
IDCJAC0010,070037,1962,10,25,13.3,1,Y
IDCJAC0010,070037,1962,10,26,21.1,1,Y
IDCJAC0010,070037,1962,10,27,25.6,1,Y
IDCJAC0010,070037,1962,10,28,26.7,1,Y
IDCJAC0010,070037,1962,10,29,13.3,1,Y
IDCJAC0010,070037,1962,10,30,16.1,1,Y
IDCJAC0010,070037,1962,10,31,21.7,1,Y
IDCJAC0010,070037,1962,11,01,17.8,1,Y
IDCJAC0010,070037,1962,11,02,17.8,1,Y
IDCJAC0010,070037,1962,11,03,17.8,1,Y
IDCJAC0010,070037,1962,11,04,17.2,1,Y
IDCJAC0010,070037,1962,11,05,21.1,1,Y
IDCJAC0010,070037,1962,11,06,24.4,1,Y
IDCJAC0010,070037,1962,11,07,26.7,1,Y
IDCJAC0010,070037,1962,11,08,15.6,1,Y
IDCJAC0010,070037,1962,11,09,20.0,1,Y
IDCJAC0010,070037,1962,11,10,24.4,1,Y
IDCJAC0010,070037,1962,11,11,26.7,1,Y
IDCJAC0010,070037,1962,11,12,25.6,1,Y
IDCJAC0010,070037,1962,11,13,25.0,1,Y
IDCJAC0010,070037,1962,11,14,26.7,1,Y
IDCJAC0010,070037,1962,11,15,32.2,1,Y
IDCJAC0010,070037,1962,11,16,31.7,1,Y
IDCJAC0010,070037,1962,11,17,31.7,1,Y
IDCJAC0010,070037,1962,11,18,30.0,1,Y
IDCJAC0010,070037,1962,11,19,25.0,1,Y
IDCJAC0010,070037,1962,11,20,30.0,1,Y
IDCJAC0010,070037,1962,11,21,17.8,1,Y
IDCJAC0010,070037,1962,11,22,23.3,1,Y
IDCJAC0010,070037,1962,11,23,25.6,1,Y
IDCJAC0010,070037,1962,11,24,23.3,1,Y
IDCJAC0010,070037,1962,11,25,22.8,1,Y
IDCJAC0010,070037,1962,11,26,28.9,1,Y
IDCJAC0010,070037,1962,11,27,32.8,1,Y
IDCJAC0010,070037,1962,11,28,30.6,1,Y
