"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","147.5","-35.4379997253418","298","38.653","20.744","0","2.38832598685356","0.203053931473133",
"1/2/1979","147.5","-35.4379997253418","298","35.962","14.82","0","2.99599205146081","0.226535383172161",
"1/3/1979","147.5","-35.4379997253418","298","37.825","14.623","0","2.2667974235765","0.350327532623721",
"1/4/1979","147.5","-35.4379997253418","298","35.742","13.798","0","3.01920365358014","0.369150857238912",
"1/5/1979","147.5","-35.4379997253418","298","41.68","21.187","0","3.04796756614816","0.291226321886036",
"1/6/1979","147.5","-35.4379997253418","298","43.128","24.08","0","2.95845744984781","0.215859524832779",
"1/7/1979","147.5","-35.4379997253418","298","42.666","24.608","0","3.92650806076886","0.180645138477186",
"1/8/1979","147.5","-35.4379997253418","298","42.462","21.767","0","2.51452256498038","0.17168024105129",
"1/9/1979","147.5","-35.4379997253418","298","41.813","24.798","0","4.75755353556205","0.15924527272238",
"1/10/1979","147.5","-35.4379997253418","298","40.21","22.412","0","3.77295284014524","0.185093785715233",
"1/11/1979","147.5","-35.4379997253418","298","35.853","17.897","0","2.65700617744868","0.2584448488046",
"1/12/1979","147.5","-35.4379997253418","298","33.689","13.465","0","3.33456854285894","0.190814957127145",
"1/13/1979","147.5","-35.4379997253418","298","35.08","12.14","0","1.80042866405784","0.369740448818386",
"1/14/1979","147.5","-35.4379997253418","298","40.149","17.464","0.0034332264","3.86882586690193","0.326386012130519",
"1/15/1979","147.5","-35.4379997253418","298","35.661","20.274","0.0137329056","3.57938426209236","0.247918137513029",
"1/16/1979","147.5","-35.4379997253418","298","38.757","15.89","0.00686646","3.43322824431708","0.383898071096489",
"1/17/1979","147.5","-35.4379997253418","298","26.073","18.941","15.97995864","1.66499161011118","0.767980013558509",
"1/18/1979","147.5","-35.4379997253418","298","31.216","15.816","0","3.25177450639748","0.624057523124255",
"1/19/1979","147.5","-35.4379997253418","298","34.262","17.767","0","2.96100135300373","0.42345947657731",
"1/20/1979","147.5","-35.4379997253418","298","35.296","18.716","0","3.70686120577285","0.385415725042276",
"1/21/1979","147.5","-35.4379997253418","298","25.886","19.393","2.1148702344","2.88386160095226","0.626450948430098",
"1/22/1979","147.5","-35.4379997253418","298","26.866","17.033","0.7604604","2.41275128275069","0.615157354612449",
"1/23/1979","147.5","-35.4379997253418","298","31.486","16.223","0","3.89881356061744","0.490670177361144",
"1/24/1979","147.5","-35.4379997253418","298","35.337","15.634","0","2.9447862523103","0.444599689203065",
"1/25/1979","147.5","-35.4379997253418","298","34.377","20.87","1.44281268","4.14895406308871","0.506258561221018",
"1/26/1979","147.5","-35.4379997253418","298","31.981","16.651","0.186252516","3.15551694204125","0.396128796865106",
"1/27/1979","147.5","-35.4379997253418","298","36.34","15.888","0","2.1971799568764","0.405436502623511",
"1/28/1979","147.5","-35.4379997253418","298","33.625","14.449","0","2.71753253560386","0.401107562785497",
"1/29/1979","147.5","-35.4379997253418","298","34.245","14.656","0","2.45994217913166","0.414858971285602",
"1/30/1979","147.5","-35.4379997253418","298","39.047","17.192","0","2.07793739883375","0.291718949352747",
"1/31/1979","147.5","-35.4379997253418","298","41.378","21.037","0","2.86096411529526","0.27956157301886",
"2/1/1979","147.5","-35.4379997253418","298","39.216","20.763","0","2.84781108609051","0.291125411675809",
"2/2/1979","147.5","-35.4379997253418","298","39.887","21.986","0","2.77992918506562","0.284190817324739",
"2/3/1979","147.5","-35.4379997253418","298","37.32","21.07","0","4.26882012468573","0.264957880605968",
"2/4/1979","147.5","-35.4379997253418","298","27.994","13.504","0","4.6028243527595","0.345440179755718",
"2/5/1979","147.5","-35.4379997253418","298","35.4","12.546","0","2.01636580632949","0.379379703015804",
"2/6/1979","147.5","-35.4379997253418","298","35.578","14.212","0","2.31296295044302","0.408916203236044",
"2/7/1979","147.5","-35.4379997253418","298","35.525","14.537","0","2.42043281338413","0.392653185377201",
"2/8/1979","147.5","-35.4379997253418","298","37.824","15.731","0","2.3808965876043","0.323274389464456",
"2/9/1979","147.5","-35.4379997253418","298","37.482","17.212","0","3.11480384456275","0.39131599309861",
"2/10/1979","147.5","-35.4379997253418","298","37.853","20.251","0","3.67182357353619","0.324781458874952",
"2/11/1979","147.5","-35.4379997253418","298","37.905","16.179","0","2.79036181029043","0.209518538939823",
"2/12/1979","147.5","-35.4379997253418","298","39.627","14.723","0","2.45292956170768","0.223123011209498",
"2/13/1979","147.5","-35.4379997253418","298","39.447","18.957","0","4.86975685327951","0.29068929350396",
"2/14/1979","147.5","-35.4379997253418","298","20.061","15.683","1.77755382","1.78428103426756","0.623047454745797",
"2/15/1979","147.5","-35.4379997253418","298","28.986","10.414","0","3.80545223797193","0.468663933752572",
"2/16/1979","147.5","-35.4379997253418","298","20.133","10.862","0","5.6503718020139","0.413300463375255",
"2/17/1979","147.5","-35.4379997253418","298","28.103","5.791","0","2.03965706673166","0.417389769351192",
"2/18/1979","147.5","-35.4379997253418","298","33.662","11.796","0","2.68716206199034","0.388734435298051",
"2/19/1979","147.5","-35.4379997253418","298","31.885","14.269","0","4.23729612568718","0.397606333570631",
"2/20/1979","147.5","-35.4379997253418","298","32.661","15.292","0","4.16128199096755","0.438540191089251",
"2/21/1979","147.5","-35.4379997253418","298","34.842","14.567","0","2.64959071348408","0.460797376252064",
"2/22/1979","147.5","-35.4379997253418","298","34.663","16.396","0","2.47541123071674","0.434214976862752",
"2/23/1979","147.5","-35.4379997253418","298","35.5","18.639","0","2.53705615057979","0.328830163713403",
"2/24/1979","147.5","-35.4379997253418","298","37.737","22.421","0","3.4836265724683","0.2733310942265",
"2/25/1979","147.5","-35.4379997253418","298","33.781","21.385","0","3.28157137963532","0.420265579927629",
"2/26/1979","147.5","-35.4379997253418","298","32.608","16.969","0","2.26199721366626","0.324835556980647",
"2/27/1979","147.5","-35.4379997253418","298","31.95","9.51100000000002","0","2.15217600869972","0.396227590590477",
"2/28/1979","147.5","-35.4379997253418","298","31.192","15.244","0","4.32802860881543","0.520964475241045",
"3/1/1979","147.5","-35.4379997253418","298","36.125","15.742","0.00686646","3.41005218854338","0.45572664908099",
"3/2/1979","147.5","-35.4379997253418","298","28.781","21.068","2.0977024392","3.21141367013252","0.529014073501888",
"3/3/1979","147.5","-35.4379997253418","298","27.661","16.429","3.73535388","3.41067596991425","0.594039906420783",
"3/4/1979","147.5","-35.4379997253418","298","28.14","9.709","0.044631972","3.82501789725351","0.436839850944915",
"3/5/1979","147.5","-35.4379997253418","298","25.986","6.74000000000001","0","2.16421477889386","0.526439014365419",
"3/6/1979","147.5","-35.4379997253418","298","23.761","7.40199999999999","0","3.652069812322","0.52486178852987",
"3/7/1979","147.5","-35.4379997253418","298","26.07","6.36399999999998","0","2.57652118774645","0.483519453588728",
"3/8/1979","147.5","-35.4379997253418","298","31.913","9.16199999999998","0","1.82630184122923","0.45626387940017",
"3/9/1979","147.5","-35.4379997253418","298","32.553","13.595","0","2.06400594092691","0.306852194815574",
"3/10/1979","147.5","-35.4379997253418","298","35.964","14.162","0","2.3450287473456","0.341710649678984",
"3/11/1979","147.5","-35.4379997253418","298","35.534","15.92","0","2.90060545199568","0.381461977417789",
"3/12/1979","147.5","-35.4379997253418","298","34.892","14.112","0.0514984248","2.15065603074201","0.381972892514362",
"3/13/1979","147.5","-35.4379997253418","298","35.52","14.883","0","1.78737624497022","0.414155704864328",
