"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","144.375","-36.6869010925293","163","38.842","21.134","0","4.11961338443228","0.20434965498521",
"1/2/1979","144.375","-36.6869010925293","163","28.403","13.826","0","3.31673778740418","0.467533213235435",
"1/3/1979","144.375","-36.6869010925293","163","32.301","10.994","0","2.72539749292877","0.424891962148398",
"1/4/1979","144.375","-36.6869010925293","163","38.204","15.901","0","2.13961008725489","0.357780214062209",
"1/5/1979","144.375","-36.6869010925293","163","43.008","20.941","0","2.87367631532717","0.246755951998087",
"1/6/1979","144.375","-36.6869010925293","163","39.545","19.42","0","2.41629453454166","0.331649258772881",
"1/7/1979","144.375","-36.6869010925293","163","40.679","20.545","0","3.08871676934739","0.371380750432778",
"1/8/1979","144.375","-36.6869010925293","163","37.528","14.246","0.0137329056","1.92919397144377","0.401990424404329",
"1/9/1979","144.375","-36.6869010925293","163","40.242","21.866","0","3.93926920084275","0.218166988674057",
"1/10/1979","144.375","-36.6869010925293","163","34.565","17.492","0.10128024","2.29321991391006","0.366540622228777",
"1/11/1979","144.375","-36.6869010925293","163","34.326","12.349","0","2.35623017690957","0.390135372738066",
"1/12/1979","144.375","-36.6869010925293","163","31.921","12.135","0","2.60029603939227","0.438475225069456",
"1/13/1979","144.375","-36.6869010925293","163","34.887","10.986","0","1.52090106372053","0.457020559064286",
"1/14/1979","144.375","-36.6869010925293","163","40.912","14.175","0","3.43008514218903","0.256482312706438",
"1/15/1979","144.375","-36.6869010925293","163","31.938","15.832","0","2.67122023786012","0.401516116846133",
"1/16/1979","144.375","-36.6869010925293","163","38.008","14.27","0.0034332264","2.70422327242049","0.372836879949912",
"1/17/1979","144.375","-36.6869010925293","163","27.858","17.177","2.434157352","1.83719061034573","0.567209668063711",
"1/18/1979","144.375","-36.6869010925293","163","34.315","11.91","0","2.03555793417756","0.363971420795614",
"1/19/1979","144.375","-36.6869010925293","163","35.455","20.312","0","2.55571523754408","0.420890367666162",
"1/20/1979","144.375","-36.6869010925293","163","32.756","18.618","29.64074166","2.99801107943974","0.627942450026305",
"1/21/1979","144.375","-36.6869010925293","163","24.311","14.842","0.0720978192","4.21164975955654","0.608928318095247",
"1/22/1979","144.375","-36.6869010925293","163","28.741","14.36","0","2.91096009615392","0.614437009441275",
"1/23/1979","144.375","-36.6869010925293","163","33.847","15.721","0","1.67576689247115","0.521450666765088",
"1/24/1979","144.375","-36.6869010925293","163","34.496","18.987","0","2.19678485938503","0.42096663593172",
"1/25/1979","144.375","-36.6869010925293","163","35.721","19.247","0","3.75088599010608","0.320315450295229",
"1/26/1979","144.375","-36.6869010925293","163","29.031","15.502","0.0429153408","2.50015128058421","0.45492825590922",
"1/27/1979","144.375","-36.6869010925293","163","26.828","15.032","0.0034332264","3.86871538895637","0.496863964651494",
"1/28/1979","144.375","-36.6869010925293","163","33.137","12.712","0","2.19112697993929","0.461272957940183",
"1/29/1979","144.375","-36.6869010925293","163","33.993","18.628","0","2.22616872513503","0.321988733584532",
"1/30/1979","144.375","-36.6869010925293","163","38.321","14.589","0","1.96039398006108","0.304394406144322",
"1/31/1979","144.375","-36.6869010925293","163","37.345","15.481","0","2.01124603335771","0.40757090761903",
"2/1/1979","144.375","-36.6869010925293","163","39.288","22.669","0","3.10293768384998","0.184052122441531",
"2/2/1979","144.375","-36.6869010925293","163","40.929","20.307","0","2.07113672231137","0.259296716173461",
"2/3/1979","144.375","-36.6869010925293","163","35.171","16.504","0.037765512","3.53852616385737","0.295102983772216",
"2/4/1979","144.375","-36.6869010925293","163","22.238","14.469","0.061798032","2.66048238918329","0.529173412890541",
"2/5/1979","144.375","-36.6869010925293","163","30.263","12.415","0","2.42795807977775","0.49285235509882",
"2/6/1979","144.375","-36.6869010925293","163","36.027","11.901","0","1.81834366900358","0.467342314537803",
"2/7/1979","144.375","-36.6869010925293","163","36.32","14.306","0","2.37282325682175","0.473127155113105",
"2/8/1979","144.375","-36.6869010925293","163","34.782","15.234","0","2.71962560010715","0.494695908401966",
"2/9/1979","144.375","-36.6869010925293","163","35.407","15.599","0","1.84691909791871","0.477587578454839",
"2/10/1979","144.375","-36.6869010925293","163","37.15","16.14","0","2.06866501233219","0.283282874526064",
"2/11/1979","144.375","-36.6869010925293","163","38.076","13.633","0","2.36692566058336","0.296366274335185",
"2/12/1979","144.375","-36.6869010925293","163","37.066","15.031","0","2.15829536648049","0.386685503300953",
"2/13/1979","144.375","-36.6869010925293","163","29.857","14.342","1.3415334984","2.0676954974741","0.503032399555109",
"2/14/1979","144.375","-36.6869010925293","163","23.385","11.618","0.0034332264","1.62378610621513","0.642289402975574",
"2/15/1979","144.375","-36.6869010925293","163","26.638","8.887","0.06179796","3.54155657125211","0.461343078961531",
"2/16/1979","144.375","-36.6869010925293","163","16.71","10.566","0.5184174024","3.03211407344756","0.545239233386025",
"2/17/1979","144.375","-36.6869010925293","163","25.48","7.12200000000001","0","2.13305155077515","0.563320140892657",
"2/18/1979","144.375","-36.6869010925293","163","25.335","10.627","0","2.60196046187794","0.520616955388929",
"2/19/1979","144.375","-36.6869010925293","163","31.772","11.749","0","2.57946788852016","0.486801570258849",
"2/20/1979","144.375","-36.6869010925293","163","32.387","18.53","0","2.50709636900026","0.405894137910137",
"2/21/1979","144.375","-36.6869010925293","163","31.905","16.574","0","2.30046034355932","0.396529119452155",
