"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","146.561996459961","-38.2480010986328","129","33.006","15.865","0","2.88007937215332","0.471192520558921",
"1/2/1979","146.561996459961","-38.2480010986328","129","20.418","10.257","0.0523567224","2.44331610040111","0.673780123167674",
"1/3/1979","146.561996459961","-38.2480010986328","129","23.44","10.996","0.097846992","2.06678593212375","0.707417205096598",
"1/4/1979","146.561996459961","-38.2480010986328","129","34.213","12.097","0.0137329056","1.5745277302174","0.565103462907737",
"1/5/1979","146.561996459961","-38.2480010986328","129","40.96","16.284","0.13647096","1.73109658655461","0.460254381305024",
"1/6/1979","146.561996459961","-38.2480010986328","129","28.283","13.726","0.2746584","1.68019713290625","0.70815101349396",
"1/7/1979","146.561996459961","-38.2480010986328","129","37.929","13.285","0.212859936","2.56158286617132","0.590438055171936",
"1/8/1979","146.561996459961","-38.2480010986328","129","30.858","9.48500000000001","0.077247612","1.63407800561188","0.659678525268434",
"1/9/1979","146.561996459961","-38.2480010986328","129","35.079","17.453","0","2.31060028401867","0.524459850031613",
"1/10/1979","146.561996459961","-38.2480010986328","129","24.97","8.46800000000002","0.3810883824","1.9852712192196","0.630582860933332",
"1/11/1979","146.561996459961","-38.2480010986328","129","25.57","7.26900000000001","0","1.56004836420749","0.670319325678409",
"1/12/1979","146.561996459961","-38.2480010986328","129","21.902","9.43299999999999","0","2.30765061205685","0.71153811249351",
"1/13/1979","146.561996459961","-38.2480010986328","129","24.331","9.673","0","1.85871199984625","0.677931715328203",
"1/14/1979","146.561996459961","-38.2480010986328","129","37.549","9.16800000000001","0","2.89041629236874","0.522245274739851",
"1/15/1979","146.561996459961","-38.2480010986328","129","24.758","15.366","0.02746584","2.58012779115614","0.638401622141362",
"1/16/1979","146.561996459961","-38.2480010986328","129","34.413","13.799","0.0343322928","1.68281369283539","0.547921857083579",
"1/17/1979","146.561996459961","-38.2480010986328","129","24.014","12.019","0.58021578","2.67896618242171","0.605562187309478",
"1/18/1979","146.561996459961","-38.2480010986328","129","26.396","10.171","0","2.28772590407954","0.624254917014896",
"1/19/1979","146.561996459961","-38.2480010986328","129","34.603","12.083","0","1.56155439168401","0.640136613474707",
"1/20/1979","146.561996459961","-38.2480010986328","129","34.687","17.23","6.468201792","2.31841149088718","0.654060392989778",
"1/21/1979","146.561996459961","-38.2480010986328","129","18.114","10.505","8.41999032","2.30774674471503","0.887148093021097",
"1/22/1979","146.561996459961","-38.2480010986328","129","22.712","10.534","0","2.71246978544083","0.731615335233571",
"1/23/1979","146.561996459961","-38.2480010986328","129","25.38","12.756","0","2.57383053707947","0.712364291276267",
"1/24/1979","146.561996459961","-38.2480010986328","129","36.277","14.773","0","1.5461785146291","0.548082109632225",
"1/25/1979","146.561996459961","-38.2480010986328","129","35.263","16.204","0.0068664528","3.74720297401627","0.458874789974419",
"1/26/1979","146.561996459961","-38.2480010986328","129","21.08","13.966","0.1862526168","2.68017520422315","0.673849954531816",
"1/27/1979","146.561996459961","-38.2480010986328","129","21.928","10.519","0.1158714","1.9840444891905","0.684261529510918",
"1/28/1979","146.561996459961","-38.2480010986328","129","25.266","10.835","0","2.6106988659027","0.727102547872155",
"1/29/1979","146.561996459961","-38.2480010986328","129","34.169","13.548","0.1888277328","1.48684614298695","0.557679300441537",
"1/30/1979","146.561996459961","-38.2480010986328","129","28.266","14.6","0.0034332264","2.21273995910787","0.549801499434982",
"1/31/1979","146.561996459961","-38.2480010986328","129","30.685","15.14","0.0952720344","1.68280945920045","0.700301286759116",
"2/1/1979","146.561996459961","-38.2480010986328","129","35.907","12.199","0","1.27671699200654","0.573444214654145",
"2/2/1979","146.561996459961","-38.2480010986328","129","40.382","17.233","0","1.90541458694544","0.38859458542136",
"2/3/1979","146.561996459961","-38.2480010986328","129","36.377","17.079","0.0068664528","3.13824474500997","0.3366616894107",
"2/4/1979","146.561996459961","-38.2480010986328","129","17.347","13.212","3.8898461664","2.85780194106465","0.766244773141124",
"2/5/1979","146.561996459961","-38.2480010986328","129","22.625","10.445","0.383663556","1.91860931730207","0.699961136330458",
"2/6/1979","146.561996459961","-38.2480010986328","129","26.521","9.65300000000002","0.084972384","1.45516353392217","0.76813818026178",
"2/7/1979","146.561996459961","-38.2480010986328","129","27.104","7.31599999999997","0","1.44542988849791","0.751313367876466",
"2/8/1979","146.561996459961","-38.2480010986328","129","26.375","8.94","0.087547284","1.81997395345078","0.764601874798856",
"2/9/1979","146.561996459961","-38.2480010986328","129","22.835","14.544","0.8789061384","2.28518039904914","0.848460991155141",
"2/10/1979","146.561996459961","-38.2480010986328","129","32.057","14.658","0","2.75353534367712","0.557717161951462",
"2/11/1979","146.561996459961","-38.2480010986328","129","30.077","9.57400000000001","0","1.5800864079124","0.631232819132105",
"2/12/1979","146.561996459961","-38.2480010986328","129","25.011","6.56900000000002","0","1.85484112606316","0.686841586072694",
"2/13/1979","146.561996459961","-38.2480010986328","129","19.745","7.65100000000001","2.755163988","1.48942872816415","0.816405124904947",
"2/14/1979","146.561996459961","-38.2480010986328","129","20.268","8.38200000000001","0.272082996","1.73583173585067","0.649746673340071",
"2/15/1979","146.561996459961","-38.2480010986328","129","21.412","9.59399999999999","0.568199124","4.50946314379249","0.633559265268365",
"2/16/1979","146.561996459961","-38.2480010986328","129","14.687","9.31900000000002","4.3327338264","3.13740418921561","0.791393508198933",
"2/17/1979","146.561996459961","-38.2480010986328","129","19.317","4.209","0.72698616","1.70267948823093","0.727046087851383",
"2/18/1979","146.561996459961","-38.2480010986328","129","22.332","6.88499999999999","0","1.4812980543391","0.740225596927577",
"2/19/1979","146.561996459961","-38.2480010986328","129","24.586","9.38999999999999","0.0137329056","2.33744172639303","0.78287363631402",
"2/20/1979","146.561996459961","-38.2480010986328","129","29.198","11.529","0","1.65776255491925","0.725347547984329",
"2/21/1979","146.561996459961","-38.2480010986328","129","30.983","11.693","0","1.63383483037758","0.629808933262998",
"2/22/1979","146.561996459961","-38.2480010986328","129","35.828","12.556","0","1.01723338642688","0.547169161657842",
"2/23/1979","146.561996459961","-38.2480010986328","129","26.725","16.276","0.0420570288","1.35733331485455","0.584426507543056",
"2/24/1979","146.561996459961","-38.2480010986328","129","28.17","17.619","0.1510622424","2.72706226109916","0.738929386425054",
"2/25/1979","146.561996459961","-38.2480010986328","129","35.959","13.579","0","1.07952258787463","0.667697186846414",
"2/26/1979","146.561996459961","-38.2480010986328","129","26.218","13.607","0","2.51762285844361","0.632397858771693",
"2/27/1979","146.561996459961","-38.2480010986328","129","20.353","8.00999999999999","0.8497237104","1.99550627123015","0.779949281492963",
"2/28/1979","146.561996459961","-38.2480010986328","129","23.089","5.31099999999998","0.0308990592","2.14334318665076","0.803900515458409",
"3/1/1979","146.561996459961","-38.2480010986328","129","28.512","14.872","0.0343322856","2.03931277043882","0.678071161773797",
"3/2/1979","146.561996459961","-38.2480010986328","129","29.373","17.347","0.267792048","2.47368354040212","0.575550376671592",
"3/3/1979","146.561996459961","-38.2480010986328","129","16.999","13.239","9.032814036","2.20868756348601","0.896505694633794",
"3/4/1979","146.561996459961","-38.2480010986328","129","15.904","12.186","1.994705532","1.73639275887007","0.881051979527535",
"3/5/1979","146.561996459961","-38.2480010986328","129","19.177","5.673","0.15449526","1.5284604066027","0.761801879399498",
"3/6/1979","146.561996459961","-38.2480010986328","129","16.768","8.10700000000003","4.27780278","2.40128351672096","0.823963762019626",
"3/7/1979","146.561996459961","-38.2480010986328","129","20.792","9.084","0","2.02745591173483","0.746912505133618",
"3/8/1979","146.561996459961","-38.2480010986328","129","27.784","7.69400000000002","0","1.48625281411231","0.601432183167545",
"3/9/1979","146.561996459961","-38.2480010986328","129","25.155","10.249","0","1.74995982918984","0.650460740630057",
"3/10/1979","146.561996459961","-38.2480010986328","129","22.581","9.06900000000002","0.260925012","1.77641175508089","0.77828511122624",
"3/11/1979","146.561996459961","-38.2480010986328","129","31.185","14.075","0.195694056","1.43918469076389","0.664600474027767",
"3/12/1979","146.561996459961","-38.2480010986328","129","31.095","15.285","0.3295896984","1.60310430036573","0.547734631243564",
"3/13/1979","146.561996459961","-38.2480010986328","129","26.653","12.171","3.0658752864","1.45272741517893","0.808651834523439",
"3/14/1979","146.561996459961","-38.2480010986328","129","21.921","14.109","10.7151027624","1.31337610181718","0.897781500611457",
"3/15/1979","146.561996459961","-38.2480010986328","129","16.111","13.416","10.395815616","2.63544565252472","0.965943967814297",
"3/16/1979","146.561996459961","-38.2480010986328","129","21.248","13.285","2.4238589544","2.16864406237395","0.884122221091638",
"3/17/1979","146.561996459961","-38.2480010986328","129","26.889","14.494","4.001424336","1.29298537863512","0.835100065318755",
"3/18/1979","146.561996459961","-38.2480010986328","129","17.017","8.97800000000001","0.875473164","1.65576157088584","0.868492439300157",
"3/19/1979","146.561996459961","-38.2480010986328","129","24.324","9.97899999999999","0.0068664528","1.84512993841911","0.794995229746454",
"3/20/1979","146.561996459961","-38.2480010986328","129","30.93","13.382","0","1.428422525472","0.635236030244613",
"3/21/1979","146.561996459961","-38.2480010986328","129","23.017","10.77","1.407623976","2.87572697976073","0.607502734074369",
"3/22/1979","146.561996459961","-38.2480010986328","129","20.503","8.19299999999998","0","1.77843491693692","0.710850457536185",
"3/23/1979","146.561996459961","-38.2480010986328","129","21.678","6.11000000000001","0.0480652128","2.35783673315948","0.694283233706128",
"3/24/1979","146.561996459961","-38.2480010986328","129","14.959","9.41399999999999","4.566192516","2.43259575852878","0.83021972788406",
"3/25/1979","146.561996459961","-38.2480010986328","129","22.68","7.21499999999998","0.7450103088","1.48111133144179","0.826438322295507",
"3/26/1979","146.561996459961","-38.2480010986328","129","26.211","9.81700000000001","0","1.21322415223536","0.677644343878294",
"3/27/1979","146.561996459961","-38.2480010986328","129","28.188","14.332","2.1491999784","2.61059543635606","0.577372759439979",
"3/28/1979","146.561996459961","-38.2480010986328","129","14.58","12.568","6.38580456","1.88965505565901","0.894373042345229",
"3/29/1979","146.561996459961","-38.2480010986328","129","19.95","10.301","0","2.48484163438911","0.740528098898006",
"3/30/1979","146.561996459961","-38.2480010986328","129","26.368","10.186","0","1.44694582080854","0.69502653346941",
"3/31/1979","146.561996459961","-38.2480010986328","129","28.691","12.87","0.175094676","1.83849460967989","0.560837923453495",
"4/1/1979","146.561996459961","-38.2480010986328","129","14.87","11.74","2.111434164","1.08385369758475","0.753405384154478",
"4/2/1979","146.561996459961","-38.2480010986328","129","20.228","7.51499999999999","5.07087864","1.00725395584534","0.842240788730833",
"4/3/1979","146.561996459961","-38.2480010986328","129","15.712","9.036","3.501891072","2.33130641879915","0.780683103115471",
"4/4/1979","146.561996459961","-38.2480010986328","129","19.359","10.506","0.072097812","2.77541804082565","0.599069691191482",
"4/5/1979","146.561996459961","-38.2480010986328","129","21.209","10.318","1.1638645128","2.64616244704777","0.64444937626601",
"4/6/1979","146.561996459961","-38.2480010986328","129","13.864","12.133","3.53279142","2.67027173674982","0.918019107559667",
"4/7/1979","146.561996459961","-38.2480010986328","129","15.988","6.73599999999999","0.1338959016","1.54493926168957","0.835584238102436",
"4/8/1979","146.561996459961","-38.2480010986328","129","12.383","6.65300000000002","1.9569412728","1.96472397728309","0.854538194911767",
"4/9/1979","146.561996459961","-38.2480010986328","129","15.206","8.96600000000001","0.0926970984","2.38366512478484","0.691305023342385",
"4/10/1979","146.561996459961","-38.2480010986328","129","12.628","9.25599999999997","1.3818737448","2.27375665418072","0.76127045441526",
"4/11/1979","146.561996459961","-38.2480010986328","129","11.766","9.89499999999998","1.848791844","1.87103880399712","0.848175885181123",
"4/12/1979","146.561996459961","-38.2480010986328","129","16.15","8.52999999999997","0.3021241464","1.37674160654955","0.802751293018091",
"4/13/1979","146.561996459961","-38.2480010986328","129","20.86","7.928","0.0411987456","0.840279901296832","0.805841144111306",
"4/14/1979","146.561996459961","-38.2480010986328","129","23.087","8.101","0","1.3434670695482","0.613803242428266",
"4/15/1979","146.561996459961","-38.2480010986328","129","24.371","8.97000000000003","0","1.29680743697675","0.59271782502929",
"4/16/1979","146.561996459961","-38.2480010986328","129","26.076","9.476","0","1.34077409837959","0.55439493710161",
"4/17/1979","146.561996459961","-38.2480010986328","129","21.868","11.51","2.78434926","1.34233152265049","0.661153715017576",
"4/18/1979","146.561996459961","-38.2480010986328","129","13.4","10.684","2.671050888","2.15286451788332","0.932999299335577",
"4/19/1979","146.561996459961","-38.2480010986328","129","12.286","7.22699999999998","6.89735592","1.35977475649515","0.926245822258996",
"4/20/1979","146.561996459961","-38.2480010986328","129","15.684","5.50299999999999","0.6969461184","1.56211413135833","0.867050912737176",
"4/21/1979","146.561996459961","-38.2480010986328","129","22.93","8.87700000000001","2.039335056","2.07629336279236","0.756817986319955",
"4/22/1979","146.561996459961","-38.2480010986328","129","15.041","10.418","0.801658512","3.15718313640659","0.679598196246703",
"4/23/1979","146.561996459961","-38.2480010986328","129","17.454","10.188","0","2.6857867616906","0.643632986826813",
"4/24/1979","146.561996459961","-38.2480010986328","129","13.823","7.79500000000002","0.779342904","2.57801234099333","0.818070757606136",
"4/25/1979","146.561996459961","-38.2480010986328","129","18.089","6.43400000000003","0.0308990664","1.01243192288557","0.820084837503632",
"4/26/1979","146.561996459961","-38.2480010986328","129","17.34","7.28399999999999","1.11579912","1.80360464249784","0.798055380027093",
"4/27/1979","146.561996459961","-38.2480010986328","129","13.479","6.548","2.0771019792","1.6511341762944","0.810552806210658",
"4/28/1979","146.561996459961","-38.2480010986328","129","17.02","3.108","0","1.31594785493053","0.825847123765436",
"4/29/1979","146.561996459961","-38.2480010986328","129","16.383","1.20600000000002","0.0343322568","0.939945175141364","0.858668855615218",
"4/30/1979","146.561996459961","-38.2480010986328","129","16.047","2.04700000000003","0","1.72067262626251","0.837177484015334",
"5/1/1979","146.561996459961","-38.2480010986328","129","18.661","4.125","0","1.21825076913582","0.819509694347218",
"5/2/1979","146.561996459961","-38.2480010986328","129","23.226","7.28100000000001","0","1.33976217953736","0.74332895261191",
"5/3/1979","146.561996459961","-38.2480010986328","129","13.083","9.654","18.7213909248","1.44410631135801","0.934599827438522",
"5/4/1979","146.561996459961","-38.2480010986328","129","13.281","1.50299999999999","0.6763459608","1.33049406962239","0.858941644975548",
"5/5/1979","146.561996459961","-38.2480010986328","129","12.801","1.952","0.985335732","1.74409870632521","0.883165467522948",
"5/6/1979","146.561996459961","-38.2480010986328","129","13.69","5.577","0.0755310024","2.12047428825708","0.840263539552502",
"5/7/1979","146.561996459961","-38.2480010986328","129","12.739","9.49599999999998","1.0059352056","1.31583274878063","0.888960399885865",
"5/8/1979","146.561996459961","-38.2480010986328","129","11.992","2.76499999999999","2.1526338168","0.668515931773941","0.971083755492096",
"5/9/1979","146.561996459961","-38.2480010986328","129","13.624","3.5","0.1098633096","0.759745941796725","0.931439538192443",
"5/10/1979","146.561996459961","-38.2480010986328","129","13.611","6.00200000000001","6.427002492","2.22320837466922","0.912042362580144",
"5/11/1979","146.561996459961","-38.2480010986328","129","11.855","4.80500000000001","3.972247488","3.11923005562085","0.810227445100817",
"5/12/1979","146.561996459961","-38.2480010986328","129","11.244","7.67200000000003","9.68169672","2.77513063514375","0.963358134306585",
"5/13/1979","146.561996459961","-38.2480010986328","129","12.392","7.64100000000002","3.2237990784","2.69273694291362","0.883670268701486",
"5/14/1979","146.561996459961","-38.2480010986328","129","9.81400000000002","7.99799999999999","3.539657052","1.98050690472758","0.917134042002617",
"5/15/1979","146.561996459961","-38.2480010986328","129","9.245","7.74099999999999","3.71131956","1.70136077237629","0.974907902427254",
"5/16/1979","146.561996459961","-38.2480010986328","129","12.082","1.19600000000003","0.3707882784","1.04856578004945","0.907178092079877",
"5/17/1979","146.561996459961","-38.2480010986328","129","10.542","4.38099999999997","0.6523136568","2.12218809343693","0.931097143108059",
"5/18/1979","146.561996459961","-38.2480010986328","129","15.047","3.79500000000002","0.27465822","1.27930300986233","0.886263335285533",
"5/19/1979","146.561996459961","-38.2480010986328","129","14.737","2.02999999999997","0.219726504","1.21203331937799","0.895432685919335",
"5/20/1979","146.561996459961","-38.2480010986328","129","14.048","2.90899999999999","0.171661392","1.7522685505662","0.902787673489482",
"5/21/1979","146.561996459961","-38.2480010986328","129","16.119","4.30000000000001","0","1.65649358660639","0.853692106474088",
"5/22/1979","146.561996459961","-38.2480010986328","129","13.802","2.95699999999999","0","1.88293255313272","0.786214378480227",
"5/23/1979","146.561996459961","-38.2480010986328","129","15.267","5.06900000000002","0.60424776","1.21293795423577","0.766934210496902",
"5/24/1979","146.561996459961","-38.2480010986328","129","16.844","4.12900000000002","0.38108772","1.14509903007715","0.835762891826972",
"5/25/1979","146.561996459961","-38.2480010986328","129","15.184","5.03100000000001","0.04119876","1.47068024828086","0.867003791289853",
"5/26/1979","146.561996459961","-38.2480010986328","129","13.716","5.21600000000001","8.442307728","1.2051826508384","0.948089926105505",
"5/27/1979","146.561996459961","-38.2480010986328","129","11.988","7.67000000000002","9.89799966","2.81912173983394","0.945959282536049",
"5/28/1979","146.561996459961","-38.2480010986328","129","12.989","7.38999999999999","0.247192272","1.85119204045882","0.787233073754729",
"5/29/1979","146.561996459961","-38.2480010986328","129","13.989","9.19400000000002","1.3355250912","2.10416861046717","0.838813735212643",
"5/30/1979","146.561996459961","-38.2480010986328","129","12.493","7.62099999999998","3.7027397808","2.55093929869555","0.9050379017245",
"5/31/1979","146.561996459961","-38.2480010986328","129","12.743","9.56900000000002","2.92167648","1.93413738767884","0.92082997844386",
"6/1/1979","146.561996459961","-38.2480010986328","129","12.507","7.447","0.1750946688","1.37255872134161","0.938698421400782",
"6/2/1979","146.561996459961","-38.2480010986328","129","13.657","3.483","0.1201629672","1.25270298476089","0.904714641256747",
"6/3/1979","146.561996459961","-38.2480010986328","129","14.164","2.26900000000001","0.0034332264","1.03580863956685","0.876244027150768",
"6/4/1979","146.561996459961","-38.2480010986328","129","13.173","3.98700000000002","0.1029968496","0.901937657072881","0.895719158402615",
