"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","145.625","-37.3112983703613","487","34.274","14.996","0","3.70175905848912","0.361661024917435",
"1/2/1979","145.625","-37.3112983703613","487","22.436","9.84899999999999","0.0034332264","3.89220157973157","0.606747459130557",
"1/3/1979","145.625","-37.3112983703613","487","28.22","8.89699999999999","0.0617980968","2.69196361478234","0.555081194963338",
"1/4/1979","145.625","-37.3112983703613","487","32.296","12.809","0","2.5678453535118","0.417675118860646",
"1/5/1979","145.625","-37.3112983703613","487","38.775","19.249","0.017166132","3.41122062547646","0.308886930255301",
"1/6/1979","145.625","-37.3112983703613","487","34.487","17.388","0.0377654904","2.21695164180113","0.478477576907981",
"1/7/1979","145.625","-37.3112983703613","487","35.898","15.164","0.113296392","3.11347916178308","0.489197303520067",
"1/8/1979","145.625","-37.3112983703613","487","34.596","13.172","1.1140831224","2.24105792489254","0.46422405475225",
"1/9/1979","145.625","-37.3112983703613","487","38.411","17.595","0","4.18165083387537","0.30758424786282",
"1/10/1979","145.625","-37.3112983703613","487","27.819","13.877","0.363922308","2.56012644902941","0.523493623415661",
"1/11/1979","145.625","-37.3112983703613","487","27.912","10.444","0","2.71813007906109","0.509686663497766",
"1/12/1979","145.625","-37.3112983703613","487","24.379","9.62799999999999","0","2.9590918508943","0.552009803497628",
"1/13/1979","145.625","-37.3112983703613","487","29.307","8.40600000000001","0","1.99807507219022","0.558803175783197",
"1/14/1979","145.625","-37.3112983703613","487","36.922","13.352","0","3.40120343229466","0.356297720409218",
"1/15/1979","145.625","-37.3112983703613","487","27.15","13.535","0.0480651984","3.3126557506096","0.559699355274041",
"1/16/1979","145.625","-37.3112983703613","487","33.099","12.472","0","2.85223100158218","0.477019623472127",
"1/17/1979","145.625","-37.3112983703613","487","21.42","11.085","1.8745421112","2.52267107814436","0.729230263986438",
"1/18/1979","145.625","-37.3112983703613","487","32.787","8.56999999999999","0","1.73833501041629","0.451926790319874",
"1/19/1979","145.625","-37.3112983703613","487","31.718","16.072","0","2.6948890908907","0.498451717017479",
"1/20/1979","145.625","-37.3112983703613","487","27.84","16.909","8.989907616","3.68478537494892","0.619645606464266",
"1/21/1979","145.625","-37.3112983703613","487","22.72","12.452","2.9216764584","4.48631336567114","0.728857164136693",
"1/22/1979","145.625","-37.3112983703613","487","27.21","13.036","0.0789642288","2.38914510676659","0.646686445340444",
"1/23/1979","145.625","-37.3112983703613","487","30.714","12.258","0","1.51840765909302","0.638383814189906",
"1/24/1979","145.625","-37.3112983703613","487","31.342","16.101","0","2.70208018240373","0.465942194555105",
"1/25/1979","145.625","-37.3112983703613","487","31.702","13.716","0","4.69938528292255","0.400895345289063",
"1/26/1979","145.625","-37.3112983703613","487","22.56","11.151","0.0171661392","3.27432761580303","0.628641738443302",
"1/27/1979","145.625","-37.3112983703613","487","23.777","12.608","0.1871109","4.06046014306614","0.595435980942514",
"1/28/1979","145.625","-37.3112983703613","487","31.203","9.471","0","1.57919525816281","0.478865637055347",
"1/29/1979","145.625","-37.3112983703613","487","29.68","14.724","0","2.58957045544256","0.432948789909969",
"1/30/1979","145.625","-37.3112983703613","487","32.135","11.092","0","1.93683137968422","0.41316925562542",
"1/31/1979","145.625","-37.3112983703613","487","34.062","14.474","0.0377654904","1.8276261972531","0.51173489303549",
"2/1/1979","145.625","-37.3112983703613","487","36.278","16.14","0","3.01504320165042","0.315791300731663",
"2/2/1979","145.625","-37.3112983703613","487","36.543","14.392","0","2.54995232775993","0.301435549454801",
"2/3/1979","145.625","-37.3112983703613","487","30.739","14.758","0.070381152","4.16330524063572","0.309641641774492",
"2/4/1979","145.625","-37.3112983703613","487","13.594","9.887","1.46598822","2.79738769288411","0.760837966935159",
"2/5/1979","145.625","-37.3112983703613","487","25.45","11.366","0.0858306816","2.90194114219704","0.58669900245405",
"2/6/1979","145.625","-37.3112983703613","487","29.652","10.414","0.0532150128","1.93619296805955","0.591640102442695",
"2/7/1979","145.625","-37.3112983703613","487","28.929","12.634","0","2.49799982940438","0.580825766622046",
"2/8/1979","145.625","-37.3112983703613","487","29.362","12.96","0.044631936","2.63967892852183","0.617564342671875",
"2/9/1979","145.625","-37.3112983703613","487","32.293","14.476","0.1888276464","1.80783359769807","0.560968640837089",
"2/10/1979","145.625","-37.3112983703613","487","32.205","14.663","0","2.29207658466779","0.409241825795114",
"2/11/1979","145.625","-37.3112983703613","487","32.902","8.47899999999999","0","1.931511904886","0.460893710605667",
"2/12/1979","145.625","-37.3112983703613","487","29.548","12.67","0","2.58191756783481","0.486007152630219",
"2/13/1979","145.625","-37.3112983703613","487","24.324","11.511","4.388520132","1.12458010447814","0.660058556460298",
"2/14/1979","145.625","-37.3112983703613","487","20.953","5.63","0","1.47168627355505","0.722980361616726",
"2/15/1979","145.625","-37.3112983703613","487","23.152","3.75400000000002","0.30212406","3.2664682377389","0.574354626538283",
"2/16/1979","145.625","-37.3112983703613","487","9.94799999999998","7.743","5.191038","3.0285424584764","0.880846376912864",
"2/17/1979","145.625","-37.3112983703613","487","19.654","8.24799999999999","0.4351616928","2.60129052634364","0.689043026831262",
"2/18/1979","145.625","-37.3112983703613","487","22.549","7.75400000000002","0","2.30788046186989","0.638837250486671",
"2/19/1979","145.625","-37.3112983703613","487","29.027","8.83499999999998","0","1.97613909706784","0.594125534807049",
"2/20/1979","145.625","-37.3112983703613","487","32.395","14.205","0","1.98608793228181","0.52063015262825",
"2/21/1979","145.625","-37.3112983703613","487","30.702","13.939","0","1.98578985132329","0.461085083155337",
