"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","145.311996459961","-37.9357986450195","141","28.559","14.684","0.0171661464","3.47081882257009","0.594978467225583",
"1/2/1979","145.311996459961","-37.9357986450195","141","17.879","9.447","0.152778708","3.09620757465193","0.725803899344631",
"1/3/1979","145.311996459961","-37.9357986450195","141","23.385","8.67200000000003","0.0583648344","2.54340293486425","0.70109622770982",
"1/4/1979","145.311996459961","-37.9357986450195","141","30.21","13.376","0","2.5570556449958","0.506993372742557",
"1/5/1979","145.311996459961","-37.9357986450195","141","33.684","17.637","0.030899052","2.65319730740026","0.516133750541605",
"1/6/1979","145.311996459961","-37.9357986450195","141","25.534","15.73","0.041198724","2.55678250455104","0.728630857588169",
"1/7/1979","145.311996459961","-37.9357986450195","141","31.286","13.887","0.0137329128","2.88216311005333","0.627727755848234",
"1/8/1979","145.311996459961","-37.9357986450195","141","29.78","12.547","0.393104844","2.00163250162836","0.57373849122362",
"1/9/1979","145.311996459961","-37.9357986450195","141","28.46","15.55","0","3.14318297934285","0.579770268204843",
"1/10/1979","145.311996459961","-37.9357986450195","141","21.921","13.344","0.432586404","2.44887793560027","0.659762626598125",
"1/11/1979","145.311996459961","-37.9357986450195","141","22.64","9.91899999999998","0","2.3829450986106","0.682414219720017",
"1/12/1979","145.311996459961","-37.9357986450195","141","19.973","9.495","0","2.24155787337862","0.739979417264606",
"1/13/1979","145.311996459961","-37.9357986450195","141","24.088","8.10500000000002","0.0102996792","2.21524105017853","0.717480996923363",
"1/14/1979","145.311996459961","-37.9357986450195","141","32.352","14.384","0","3.91530482063336","0.519481166559157",
"1/15/1979","145.311996459961","-37.9357986450195","141","22.651","14.012","0.058364856","3.04770315863357","0.660801051968463",
"1/16/1979","145.311996459961","-37.9357986450195","141","29.785","14.033","0.0429153336","2.68668330310858","0.569481107351692",
"1/17/1979","145.311996459961","-37.9357986450195","141","20.932","10.316","1.2694360824","2.61217949088174","0.728678638907878",
"1/18/1979","145.311996459961","-37.9357986450195","141","26.516","9.00099999999998","0","2.36569766428359","0.63421320835647",
"1/19/1979","145.311996459961","-37.9357986450195","141","30.033","15.515","0","2.51957788219634","0.550877069610961",
"1/20/1979","145.311996459961","-37.9357986450195","141","27.124","16.174","21.37012812","4.21580611211363","0.67803236829252",
"1/21/1979","145.311996459961","-37.9357986450195","141","20.692","14.641","3.0143756304","3.78864458359258","0.759929997882673",
"1/22/1979","145.311996459961","-37.9357986450195","141","23.708","13.807","0.0823974408","3.18027341359918","0.704807736550268",
"1/23/1979","145.311996459961","-37.9357986450195","141","27.765","13.129","0","1.87338012213058","0.666595838889202",
"1/24/1979","145.311996459961","-37.9357986450195","141","29.208","18.555","0","3.1188485855334","0.532290784927432",
"1/25/1979","145.311996459961","-37.9357986450195","141","29.626","15.448","0","5.29718189301552","0.483679297476798",
"1/26/1979","145.311996459961","-37.9357986450195","141","19.706","12.703","0.2592086184","2.68887293216356","0.708590646981946",
