Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,088019,1965,01,01,26.7,,Y
IDCJAC0010,088019,1965,01,02,19.2,1,Y
IDCJAC0010,088019,1965,01,03,27.5,1,Y
IDCJAC0010,088019,1965,01,04,26.7,1,Y
IDCJAC0010,088019,1965,01,05,28.3,1,Y
IDCJAC0010,088019,1965,01,06,20.6,1,Y
IDCJAC0010,088019,1965,01,07,23.9,1,Y
IDCJAC0010,088019,1965,01,08,31.9,1,Y
IDCJAC0010,088019,1965,01,09,35.0,1,Y
IDCJAC0010,088019,1965,01,10,32.5,1,Y
IDCJAC0010,088019,1965,01,11,18.3,1,Y
IDCJAC0010,088019,1965,01,12,20.6,1,Y
IDCJAC0010,088019,1965,01,13,21.1,1,Y
IDCJAC0010,088019,1965,01,14,28.9,1,Y
IDCJAC0010,088019,1965,01,15,33.3,1,Y
IDCJAC0010,088019,1965,01,16,36.7,1,Y
IDCJAC0010,088019,1965,01,17,38.9,1,Y
IDCJAC0010,088019,1965,01,18,22.2,1,Y
IDCJAC0010,088019,1965,01,19,19.4,1,Y
IDCJAC0010,088019,1965,01,20,20.0,1,Y
IDCJAC0010,088019,1965,01,21,23.3,1,Y
IDCJAC0010,088019,1965,01,22,24.2,1,Y
IDCJAC0010,088019,1965,01,23,31.7,1,Y
IDCJAC0010,088019,1965,01,24,23.6,1,Y
IDCJAC0010,088019,1965,01,25,20.6,1,Y
IDCJAC0010,088019,1965,01,26,21.1,1,Y
IDCJAC0010,088019,1965,01,27,25.6,1,Y
IDCJAC0010,088019,1965,01,28,31.7,1,Y
IDCJAC0010,088019,1965,01,29,29.4,1,Y
IDCJAC0010,088019,1965,01,30,25.6,1,Y
IDCJAC0010,088019,1965,01,31,26.1,1,Y
IDCJAC0010,088019,1965,02,01,29.7,1,Y
IDCJAC0010,088019,1965,02,02,31.7,1,Y
IDCJAC0010,088019,1965,02,03,28.1,1,Y
IDCJAC0010,088019,1965,02,04,20.6,1,Y
IDCJAC0010,088019,1965,02,05,28.1,1,Y
IDCJAC0010,088019,1965,02,06,31.2,1,Y
IDCJAC0010,088019,1965,02,07,34.2,1,Y
IDCJAC0010,088019,1965,02,08,32.7,1,Y
IDCJAC0010,088019,1965,02,09,26.4,1,Y
IDCJAC0010,088019,1965,02,10,21.5,1,Y
IDCJAC0010,088019,1965,02,11,19.5,1,Y
IDCJAC0010,088019,1965,02,12,24.9,1,Y
IDCJAC0010,088019,1965,02,13,31.0,1,Y
IDCJAC0010,088019,1965,02,14,33.5,1,Y
IDCJAC0010,088019,1965,02,15,36.4,1,Y
IDCJAC0010,088019,1965,02,16,34.7,1,Y
IDCJAC0010,088019,1965,02,17,31.5,1,Y
IDCJAC0010,088019,1965,02,18,32.0,1,Y
IDCJAC0010,088019,1965,02,19,31.1,1,Y
IDCJAC0010,088019,1965,02,20,34.4,1,Y
IDCJAC0010,088019,1965,02,21,37.7,1,Y
IDCJAC0010,088019,1965,02,22,19.0,1,Y
IDCJAC0010,088019,1965,02,23,25.6,1,Y
IDCJAC0010,088019,1965,02,24,24.6,1,Y
IDCJAC0010,088019,1965,02,25,27.2,1,Y
IDCJAC0010,088019,1965,02,26,28.7,1,Y
IDCJAC0010,088019,1965,02,27,25.1,1,Y
IDCJAC0010,088019,1965,02,28,30.1,1,Y
IDCJAC0010,088019,1965,03,01,34.7,1,Y
IDCJAC0010,088019,1965,03,02,37.5,1,Y
IDCJAC0010,088019,1965,03,03,34.2,1,Y
IDCJAC0010,088019,1965,03,04,25.8,1,Y
IDCJAC0010,088019,1965,03,05,36.9,1,Y
IDCJAC0010,088019,1965,03,06,24.3,1,Y
IDCJAC0010,088019,1965,03,07,25.6,1,Y
IDCJAC0010,088019,1965,03,08,22.2,1,Y
IDCJAC0010,088019,1965,03,09,20.0,1,Y
IDCJAC0010,088019,1965,03,10,26.0,1,Y
IDCJAC0010,088019,1965,03,11,32.2,1,Y
IDCJAC0010,088019,1965,03,12,16.3,1,Y
IDCJAC0010,088019,1965,03,13,13.6,1,Y
IDCJAC0010,088019,1965,03,14,20.6,1,Y
IDCJAC0010,088019,1965,03,15,24.2,1,Y
IDCJAC0010,088019,1965,03,16,31.1,1,Y
IDCJAC0010,088019,1965,03,17,31.1,1,Y
IDCJAC0010,088019,1965,03,18,33.0,1,Y
IDCJAC0010,088019,1965,03,19,23.7,1,Y
IDCJAC0010,088019,1965,03,20,16.4,1,Y
IDCJAC0010,088019,1965,03,21,17.3,1,Y
IDCJAC0010,088019,1965,03,22,18.3,1,Y
IDCJAC0010,088019,1965,03,23,16.0,1,Y
IDCJAC0010,088019,1965,03,24,20.0,1,Y
IDCJAC0010,088019,1965,03,25,25.3,1,Y
IDCJAC0010,088019,1965,03,26,21.1,1,Y
IDCJAC0010,088019,1965,03,27,26.7,1,Y
IDCJAC0010,088019,1965,03,28,26.7,1,Y
IDCJAC0010,088019,1965,03,29,21.6,1,Y
IDCJAC0010,088019,1965,03,30,19.6,1,Y
IDCJAC0010,088019,1965,03,31,22.1,1,Y
IDCJAC0010,088019,1965,04,01,15.3,1,Y
IDCJAC0010,088019,1965,04,02,18.8,1,Y
IDCJAC0010,088019,1965,04,03,20.9,1,Y
IDCJAC0010,088019,1965,04,04,13.1,1,Y
IDCJAC0010,088019,1965,04,05,14.1,1,Y
IDCJAC0010,088019,1965,04,06,16.8,1,Y
IDCJAC0010,088019,1965,04,07,20.7,1,Y
IDCJAC0010,088019,1965,04,08,20.9,1,Y
IDCJAC0010,088019,1965,04,09,19.6,1,Y
IDCJAC0010,088019,1965,04,10,14.2,1,Y
IDCJAC0010,088019,1965,04,11,18.2,1,Y
IDCJAC0010,088019,1965,04,12,17.5,1,Y
IDCJAC0010,088019,1965,04,13,20.3,1,Y
IDCJAC0010,088019,1965,04,14,21.6,1,Y
IDCJAC0010,088019,1965,04,15,21.1,1,Y
IDCJAC0010,088019,1965,04,16,13.9,1,Y
IDCJAC0010,088019,1965,04,17,13.3,1,Y
IDCJAC0010,088019,1965,04,18,12.5,1,Y
IDCJAC0010,088019,1965,04,19,11.1,1,Y
IDCJAC0010,088019,1965,04,20,13.9,1,Y
IDCJAC0010,088019,1965,04,21,10.0,1,Y
IDCJAC0010,088019,1965,04,22,12.8,1,Y
IDCJAC0010,088019,1965,04,23,12.7,1,Y
IDCJAC0010,088019,1965,04,24,14.2,1,Y
IDCJAC0010,088019,1965,04,25,17.5,1,Y
IDCJAC0010,088019,1965,04,26,17.4,1,Y
IDCJAC0010,088019,1965,04,27,16.6,1,Y
IDCJAC0010,088019,1965,04,28,15.0,1,Y
IDCJAC0010,088019,1965,04,29,19.1,1,Y
IDCJAC0010,088019,1965,04,30,18.4,1,Y
IDCJAC0010,088019,1965,05,01,20.7,1,Y
IDCJAC0010,088019,1965,05,02,19.9,1,Y
IDCJAC0010,088019,1965,05,03,20.3,1,Y
IDCJAC0010,088019,1965,05,04,19.3,1,Y
IDCJAC0010,088019,1965,05,05,17.2,1,Y
IDCJAC0010,088019,1965,05,06,19.4,1,Y
IDCJAC0010,088019,1965,05,07,14.9,1,Y
