Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,087025,1964,01,01,23.3,,Y
IDCJAC0010,087025,1964,01,02,24.6,1,Y
IDCJAC0010,087025,1964,01,03,22.8,1,Y
IDCJAC0010,087025,1964,01,04,20.6,1,Y
IDCJAC0010,087025,1964,01,05,26.7,1,Y
IDCJAC0010,087025,1964,01,06,37.8,1,Y
IDCJAC0010,087025,1964,01,07,27.2,1,Y
IDCJAC0010,087025,1964,01,08,20.7,1,Y
IDCJAC0010,087025,1964,01,09,24.9,1,Y
IDCJAC0010,087025,1964,01,10,18.9,1,Y
IDCJAC0010,087025,1964,01,11,17.8,1,Y
IDCJAC0010,087025,1964,01,12,23.9,1,Y
IDCJAC0010,087025,1964,01,13,30.7,1,Y
IDCJAC0010,087025,1964,01,14,20.4,1,Y
IDCJAC0010,087025,1964,01,15,20.1,1,Y
IDCJAC0010,087025,1964,01,16,23.6,1,Y
IDCJAC0010,087025,1964,01,17,32.3,1,Y
IDCJAC0010,087025,1964,01,18,22.6,1,Y
IDCJAC0010,087025,1964,01,19,24.2,1,Y
IDCJAC0010,087025,1964,01,20,21.8,1,Y
IDCJAC0010,087025,1964,01,21,23.7,1,Y
IDCJAC0010,087025,1964,01,22,24.3,1,Y
IDCJAC0010,087025,1964,01,23,21.4,1,Y
IDCJAC0010,087025,1964,01,24,32.4,1,Y
IDCJAC0010,087025,1964,01,25,19.4,1,Y
IDCJAC0010,087025,1964,01,26,24.3,1,Y
IDCJAC0010,087025,1964,01,27,21.2,1,Y
IDCJAC0010,087025,1964,01,28,22.1,1,Y
IDCJAC0010,087025,1964,01,29,27.8,1,Y
IDCJAC0010,087025,1964,01,30,29.6,1,Y
IDCJAC0010,087025,1964,01,31,40.1,1,Y
IDCJAC0010,087025,1964,02,01,21.4,1,Y
IDCJAC0010,087025,1964,02,02,22.2,1,Y
IDCJAC0010,087025,1964,02,03,24.8,1,Y
IDCJAC0010,087025,1964,02,04,37.7,1,Y
IDCJAC0010,087025,1964,02,05,20.4,1,Y
IDCJAC0010,087025,1964,02,06,22.2,1,Y
IDCJAC0010,087025,1964,02,07,20.6,1,Y
IDCJAC0010,087025,1964,02,08,18.3,1,Y
IDCJAC0010,087025,1964,02,09,20.6,1,Y
IDCJAC0010,087025,1964,02,10,18.3,1,Y
IDCJAC0010,087025,1964,02,11,18.2,1,Y
IDCJAC0010,087025,1964,02,12,23.3,1,Y
IDCJAC0010,087025,1964,02,13,27.2,1,Y
IDCJAC0010,087025,1964,02,14,34.9,1,Y
IDCJAC0010,087025,1964,02,15,23.8,1,Y
IDCJAC0010,087025,1964,02,16,20.6,1,Y
IDCJAC0010,087025,1964,02,17,17.7,1,Y
IDCJAC0010,087025,1964,02,18,18.6,1,Y
IDCJAC0010,087025,1964,02,19,18.5,1,Y
IDCJAC0010,087025,1964,02,20,25.7,1,Y
IDCJAC0010,087025,1964,02,21,35.0,1,Y
IDCJAC0010,087025,1964,02,22,21.9,1,Y
IDCJAC0010,087025,1964,02,23,16.9,1,Y
IDCJAC0010,087025,1964,02,24,15.5,1,Y
IDCJAC0010,087025,1964,02,25,18.8,1,Y
IDCJAC0010,087025,1964,02,26,17.9,1,Y
IDCJAC0010,087025,1964,02,27,21.2,1,Y
IDCJAC0010,087025,1964,02,28,24.7,1,Y
IDCJAC0010,087025,1964,02,29,29.0,1,Y
IDCJAC0010,087025,1964,03,01,19.7,1,Y
IDCJAC0010,087025,1964,03,02,17.3,1,Y
IDCJAC0010,087025,1964,03,03,17.7,1,Y
IDCJAC0010,087025,1964,03,04,26.0,1,Y
IDCJAC0010,087025,1964,03,05,25.0,1,Y
