Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,088001,1965,01,01,,,
IDCJAC0010,088001,1965,01,02,,,
IDCJAC0010,088001,1965,01,03,27.8,1,N
IDCJAC0010,088001,1965,01,04,27.8,1,Y
IDCJAC0010,088001,1965,01,05,28.1,1,Y
IDCJAC0010,088001,1965,01,06,23.6,1,Y
IDCJAC0010,088001,1965,01,07,29.4,1,Y
IDCJAC0010,088001,1965,01,08,30.6,1,Y
IDCJAC0010,088001,1965,01,09,,,
IDCJAC0010,088001,1965,01,10,35.6,1,N
IDCJAC0010,088001,1965,01,11,17.2,1,Y
IDCJAC0010,088001,1965,01,12,19.7,1,Y
IDCJAC0010,088001,1965,01,13,19.4,1,Y
IDCJAC0010,088001,1965,01,14,26.7,1,Y
IDCJAC0010,088001,1965,01,15,33.3,1,Y
IDCJAC0010,088001,1965,01,16,,,
IDCJAC0010,088001,1965,01,17,39.2,1,N
IDCJAC0010,088001,1965,01,18,23.3,1,Y
IDCJAC0010,088001,1965,01,19,22.2,1,Y
IDCJAC0010,088001,1965,01,20,18.3,1,Y
IDCJAC0010,088001,1965,01,21,23.9,1,Y
IDCJAC0010,088001,1965,01,22,25.0,1,Y
IDCJAC0010,088001,1965,01,23,31.1,1,Y
IDCJAC0010,088001,1965,01,24,21.9,1,Y
IDCJAC0010,088001,1965,01,25,,,
IDCJAC0010,088001,1965,01,26,26.1,1,N
IDCJAC0010,088001,1965,01,27,28.3,1,Y
IDCJAC0010,088001,1965,01,28,32.8,1,Y
IDCJAC0010,088001,1965,01,29,31.1,1,Y
IDCJAC0010,088001,1965,01,30,,,
IDCJAC0010,088001,1965,01,31,31.1,1,N
IDCJAC0010,088001,1965,02,01,31.1,1,Y
IDCJAC0010,088001,1965,02,02,32.2,1,Y
IDCJAC0010,088001,1965,02,03,32.2,1,Y
IDCJAC0010,088001,1965,02,04,25.0,1,Y
IDCJAC0010,088001,1965,02,05,32.8,1,Y
IDCJAC0010,088001,1965,02,06,,,
IDCJAC0010,088001,1965,02,07,33.9,1,N
IDCJAC0010,088001,1965,02,08,35.0,1,Y
IDCJAC0010,088001,1965,02,09,25.0,1,Y
IDCJAC0010,088001,1965,02,10,18.9,1,Y
IDCJAC0010,088001,1965,02,11,20.6,1,Y
IDCJAC0010,088001,1965,02,12,26.9,1,Y
IDCJAC0010,088001,1965,02,13,,,
IDCJAC0010,088001,1965,02,14,33.9,1,N
IDCJAC0010,088001,1965,02,15,35.8,1,Y
IDCJAC0010,088001,1965,02,16,38.3,1,Y
IDCJAC0010,088001,1965,02,17,35.0,1,Y
IDCJAC0010,088001,1965,02,18,35.3,1,Y
IDCJAC0010,088001,1965,02,19,26.1,1,Y
IDCJAC0010,088001,1965,02,20,,,
IDCJAC0010,088001,1965,02,21,38.6,1,N
IDCJAC0010,088001,1965,02,22,23.9,1,Y
IDCJAC0010,088001,1965,02,23,25.6,1,Y
IDCJAC0010,088001,1965,02,24,25.6,1,Y
IDCJAC0010,088001,1965,02,25,27.8,1,Y
IDCJAC0010,088001,1965,02,26,28.9,1,Y
IDCJAC0010,088001,1965,02,27,31.4,1,Y
IDCJAC0010,088001,1965,02,28,,,
IDCJAC0010,088001,1965,03,01,35.0,1,N
IDCJAC0010,088001,1965,03,02,37.2,1,Y
IDCJAC0010,088001,1965,03,03,37.8,1,Y
IDCJAC0010,088001,1965,03,04,29.7,1,Y
IDCJAC0010,088001,1965,03,05,36.1,1,Y
IDCJAC0010,088001,1965,03,06,,,
IDCJAC0010,088001,1965,03,07,29.2,1,N
IDCJAC0010,088001,1965,03,08,27.8,1,Y
IDCJAC0010,088001,1965,03,09,20.0,1,Y
IDCJAC0010,088001,1965,03,10,27.8,1,Y
IDCJAC0010,088001,1965,03,11,32.8,1,Y
IDCJAC0010,088001,1965,03,12,20.0,1,Y
IDCJAC0010,088001,1965,03,13,,,
IDCJAC0010,088001,1965,03,14,17.8,1,N
IDCJAC0010,088001,1965,03,15,22.5,1,Y
IDCJAC0010,088001,1965,03,16,31.1,1,Y
IDCJAC0010,088001,1965,03,17,31.1,1,Y
IDCJAC0010,088001,1965,03,18,33.9,1,Y
IDCJAC0010,088001,1965,03,19,25.6,1,Y
IDCJAC0010,088001,1965,03,20,,,
IDCJAC0010,088001,1965,03,21,21.7,1,N
IDCJAC0010,088001,1965,03,22,20.6,1,Y
IDCJAC0010,088001,1965,03,23,20.0,1,Y
IDCJAC0010,088001,1965,03,24,19.4,1,Y
IDCJAC0010,088001,1965,03,25,23.9,1,Y
IDCJAC0010,088001,1965,03,26,22.8,1,Y
IDCJAC0010,088001,1965,03,27,,,
IDCJAC0010,088001,1965,03,28,28.1,1,N
IDCJAC0010,088001,1965,03,29,24.4,1,Y
IDCJAC0010,088001,1965,03,30,22.2,1,Y
IDCJAC0010,088001,1965,03,31,23.3,1,Y
IDCJAC0010,088001,1965,04,01,20.3,1,Y
IDCJAC0010,088001,1965,04,02,19.4,1,Y
IDCJAC0010,088001,1965,04,03,,,
IDCJAC0010,088001,1965,04,04,22.2,1,N
IDCJAC0010,088001,1965,04,05,16.7,1,Y
IDCJAC0010,088001,1965,04,06,20.0,1,Y
IDCJAC0010,088001,1965,04,07,23.3,1,Y
IDCJAC0010,088001,1965,04,08,23.1,1,Y
IDCJAC0010,088001,1965,04,09,22.8,1,Y
IDCJAC0010,088001,1965,04,10,,,
IDCJAC0010,088001,1965,04,11,23.6,1,N
IDCJAC0010,088001,1965,04,12,23.1,1,Y
IDCJAC0010,088001,1965,04,13,22.2,1,Y
IDCJAC0010,088001,1965,04,14,20.6,1,Y
IDCJAC0010,088001,1965,04,15,,,
IDCJAC0010,088001,1965,04,16,24.2,1,N
IDCJAC0010,088001,1965,04,17,,,
IDCJAC0010,088001,1965,04,18,,,
IDCJAC0010,088001,1965,04,19,15.0,1,N
IDCJAC0010,088001,1965,04,20,14.4,1,Y
IDCJAC0010,088001,1965,04,21,15.0,1,Y
IDCJAC0010,088001,1965,04,22,14.4,1,Y
IDCJAC0010,088001,1965,04,23,16.7,1,Y
IDCJAC0010,088001,1965,04,24,,,
IDCJAC0010,088001,1965,04,25,18.3,1,N
IDCJAC0010,088001,1965,04,26,17.8,1,Y
IDCJAC0010,088001,1965,04,27,17.2,1,Y
IDCJAC0010,088001,1965,04,28,18.3,1,Y
IDCJAC0010,088001,1965,04,29,17.8,1,Y
IDCJAC0010,088001,1965,04,30,17.2,1,Y
IDCJAC0010,088001,1965,05,01,,,
IDCJAC0010,088001,1965,05,02,20.0,1,N
IDCJAC0010,088001,1965,05,03,20.8,1,Y
IDCJAC0010,088001,1965,05,04,19.4,1,Y
IDCJAC0010,088001,1965,05,05,20.8,1,Y
IDCJAC0010,088001,1965,05,06,13.3,1,Y
IDCJAC0010,088001,1965,05,07,22.2,1,Y
IDCJAC0010,088001,1965,05,08,,,
IDCJAC0010,088001,1965,05,09,17.2,1,N
IDCJAC0010,088001,1965,05,10,22.5,1,Y
IDCJAC0010,088001,1965,05,11,18.1,1,Y
IDCJAC0010,088001,1965,05,12,15.6,1,Y
IDCJAC0010,088001,1965,05,13,18.3,1,Y
IDCJAC0010,088001,1965,05,14,17.5,1,Y
IDCJAC0010,088001,1965,05,15,,,
IDCJAC0010,088001,1965,05,16,14.2,1,N
IDCJAC0010,088001,1965,05,17,11.1,1,Y
IDCJAC0010,088001,1965,05,18,11.7,1,Y
IDCJAC0010,088001,1965,05,19,11.7,1,Y
IDCJAC0010,088001,1965,05,20,11.1,1,Y
IDCJAC0010,088001,1965,05,21,12.8,1,Y
IDCJAC0010,088001,1965,05,22,,,
IDCJAC0010,088001,1965,05,23,12.2,1,N
IDCJAC0010,088001,1965,05,24,13.6,1,Y
IDCJAC0010,088001,1965,05,25,15.0,1,Y
IDCJAC0010,088001,1965,05,26,13.3,1,Y
IDCJAC0010,088001,1965,05,27,11.4,1,Y
IDCJAC0010,088001,1965,05,28,13.9,1,Y
IDCJAC0010,088001,1965,05,29,,,
IDCJAC0010,088001,1965,05,30,12.8,1,N
IDCJAC0010,088001,1965,05,31,13.9,1,Y
IDCJAC0010,088001,1965,06,01,14.7,1,Y
IDCJAC0010,088001,1965,06,02,13.9,1,Y
IDCJAC0010,088001,1965,06,03,12.8,1,Y
IDCJAC0010,088001,1965,06,04,16.1,1,Y
IDCJAC0010,088001,1965,06,05,,,
IDCJAC0010,088001,1965,06,06,15.6,1,N
IDCJAC0010,088001,1965,06,07,15.0,1,Y
IDCJAC0010,088001,1965,06,08,13.3,1,Y
IDCJAC0010,088001,1965,06,09,12.5,1,Y
IDCJAC0010,088001,1965,06,10,11.1,1,Y
IDCJAC0010,088001,1965,06,11,11.7,1,Y
IDCJAC0010,088001,1965,06,12,,,
IDCJAC0010,088001,1965,06,13,,,
IDCJAC0010,088001,1965,06,14,15.0,1,N
IDCJAC0010,088001,1965,06,15,11.1,1,Y
