"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","146.875","-36.6869010925293","327","32.575","16.947","0","2.98453161156903","0.247749288090807",
"1/2/1979","146.875","-36.6869010925293","327","29.87","14.349","0","2.58836932935432","0.468046123557632",
"1/3/1979","146.875","-36.6869010925293","327","30.89","9.26100000000002","0","2.54342453847174","0.471605191816835",
"1/4/1979","146.875","-36.6869010925293","327","30.906","12.274","0","2.04045925403363","0.488692675224049",
"1/5/1979","146.875","-36.6869010925293","327","35.834","14.626","0","2.11705217706151","0.335833477598907",
"1/6/1979","146.875","-36.6869010925293","327","36.705","20.074","0","3.07551311643516","0.289280264738769",
"1/7/1979","146.875","-36.6869010925293","327","36.139","17.618","0","2.82870566427729","0.319096999474335",
"1/8/1979","146.875","-36.6869010925293","327","35.8","16.025","0","2.76814628229608","0.38679358209519",
"1/9/1979","146.875","-36.6869010925293","327","38.89","21.374","0","3.347833927492","0.247477831181592",
"1/10/1979","146.875","-36.6869010925293","327","30.954","14.584","0.0274658256","2.09884454728897","0.415675124157618",
"1/11/1979","146.875","-36.6869010925293","327","30.494","12.265","0","2.71635551687386","0.424778854774723",
"1/12/1979","146.875","-36.6869010925293","327","28.648","11.576","0.0205993584","2.89810168694672","0.445399651398686",
"1/13/1979","146.875","-36.6869010925293","327","30.073","8.75099999999998","0","2.03382102150981","0.458507981693857",
"1/14/1979","146.875","-36.6869010925293","327","35.132","10.703","0","2.7925270581976","0.304725323740093",
"1/15/1979","146.875","-36.6869010925293","327","31.171","13.547","0","2.14033657835024","0.430073451678958",
"1/16/1979","146.875","-36.6869010925293","327","33.306","12.019","0.3742224264","2.47078394031973","0.460115714251617",
"1/17/1979","146.875","-36.6869010925293","327","23.98","13.8","8.2303075008","2.04703419804999","0.764721545877303",
"1/18/1979","146.875","-36.6869010925293","327","30.815","9.95999999999998","0","2.00328324431087","0.542473250099003",
"1/19/1979","146.875","-36.6869010925293","327","30.091","12.38","0","1.7987009062802","0.629564682113198",
"1/20/1979","146.875","-36.6869010925293","327","27.22","15.138","0.2008439784","2.27119138462282","0.549547548856473",
"1/21/1979","146.875","-36.6869010925293","327","26.632","14.028","2.5011054","3.12444213154656","0.67804569999926",
"1/22/1979","146.875","-36.6869010925293","327","26.378","13.925","0.0583648848","2.71868946878074","0.65131933981383",
"1/23/1979","146.875","-36.6869010925293","327","30.017","11.59","0","1.61749620535739","0.605647809109033",
"1/24/1979","146.875","-36.6869010925293","327","30.959","9.50400000000002","0","1.68356782532635","0.544494911961101",
"1/25/1979","146.875","-36.6869010925293","327","28.486","16.98","0","2.81137244866294","0.589333282590285",
"1/26/1979","146.875","-36.6869010925293","327","28.439","12.927","0","2.50392221288141","0.515831027816701",
"1/27/1979","146.875","-36.6869010925293","327","27.29","11.521","0","3.36533048558956","0.498703155700213",
"1/28/1979","146.875","-36.6869010925293","327","29.942","9.78399999999999","0","2.01191275204788","0.478525279031582",
"1/29/1979","146.875","-36.6869010925293","327","28.466","8.95100000000002","0","1.85635015638364","0.509537562734746",
"1/30/1979","146.875","-36.6869010925293","327","31.465","10.345","0","1.55572810643106","0.429846944547422",
"1/31/1979","146.875","-36.6869010925293","327","31.935","12.017","0","2.16826097655696","0.489749143359469",
"2/1/1979","146.875","-36.6869010925293","327","33.585","14.623","0","2.21225847597107","0.333923544476434",
"2/2/1979","146.875","-36.6869010925293","327","34.402","18.07","0","1.95111210443248","0.320912804235925",
"2/3/1979","146.875","-36.6869010925293","327","30.626","17.66","0.010299672","3.05206163261998","0.326811582196698",
"2/4/1979","146.875","-36.6869010925293","327","20.496","9.76999999999998","0.0137329056","2.90025168017385","0.531409860038367",
