"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","135.938003540039","-34.5013008117676","25","28.826","18.1","0","5.8295443724788","0.533550184127858",
"1/2/1979","135.938003540039","-34.5013008117676","25","25.311","16.691","0.0034332264","5.52539211789459","0.617915989301531",
"1/3/1979","135.938003540039","-34.5013008117676","25","33.766","16.093","0","5.42678814467264","0.440362523783905",
"1/4/1979","135.938003540039","-34.5013008117676","25","40.402","20.095","0","6.21340210133258","0.33702387214728",
"1/5/1979","135.938003540039","-34.5013008117676","25","27.286","18.957","0.0137329056","5.3062667531246","0.626915236048195",
"1/6/1979","135.938003540039","-34.5013008117676","25","27.884","17.072","0","3.83939843161708","0.534137709345005",
"1/7/1979","135.938003540039","-34.5013008117676","25","24.495","17.652","0","4.45687560205922","0.54154494953178",
"1/8/1979","135.938003540039","-34.5013008117676","25","28.566","16.017","0.5853654","3.08636586641765","0.683118379043469",
"1/9/1979","135.938003540039","-34.5013008117676","25","26.012","16.706","0.60768126","3.95009853514081","0.606106056187181",
"1/10/1979","135.938003540039","-34.5013008117676","25","24.352","15.091","0","3.87240148446488","0.60963530194823",
"1/11/1979","135.938003540039","-34.5013008117676","25","26.253","14.929","0","4.12326210237731","0.634764224076434",
"1/12/1979","135.938003540039","-34.5013008117676","25","27.872","17.77","0","4.39460988593254","0.532860474283582",
"1/13/1979","135.938003540039","-34.5013008117676","25","40.938","18.575","0","4.12930237635014","0.320529419107435",
"1/14/1979","135.938003540039","-34.5013008117676","25","29.873","19.743","0","4.41240150495494","0.427471414422324",
"1/15/1979","135.938003540039","-34.5013008117676","25","29.475","18.045","0","4.97103713525154","0.541095034410259",
"1/16/1979","135.938003540039","-34.5013008117676","25","36.598","20.861","1.349258688","4.65718522977974","0.420475256269216",
"1/17/1979","135.938003540039","-34.5013008117676","25","23.303","17.443","0.1012801824","5.83645930909977","0.636615287206048",
"1/18/1979","135.938003540039","-34.5013008117676","25","30.199","15.983","0","4.44689227242728","0.502895141545525",
"1/19/1979","135.938003540039","-34.5013008117676","25","38.628","19.552","0","2.79731358117124","0.401026446138733",
"1/20/1979","135.938003540039","-34.5013008117676","25","26.884","17.507","0.0137329056","7.10376068695676","0.57825343738286",
"1/21/1979","135.938003540039","-34.5013008117676","25","23.138","16.398","0","6.59066653473956","0.573577654476683",
"1/22/1979","135.938003540039","-34.5013008117676","25","23.991","15.548","0","6.0830403583743","0.567464364814463",
"1/23/1979","135.938003540039","-34.5013008117676","25","34.14","15.353","0","3.28920608852924","0.519621254856791",
"1/24/1979","135.938003540039","-34.5013008117676","25","40.922","23.028","0","4.12118109028148","0.306890812969566",
"1/25/1979","135.938003540039","-34.5013008117676","25","22.691","15.913","0.3793719024","5.59784614688787","0.682445935953443",
"1/26/1979","135.938003540039","-34.5013008117676","25","22.017","15.039","0.0240326064","5.14558256547351","0.689843896702476",
"1/27/1979","135.938003540039","-34.5013008117676","25","23.906","16.529","0.1210212504","5.72760594042759","0.654743652135994",
"1/28/1979","135.938003540039","-34.5013008117676","25","29.42","16.27","0","3.98654425244848","0.572004669282503",
"1/29/1979","135.938003540039","-34.5013008117676","25","29.662","13.31","0","3.77451222863483","0.610487464751645",
"1/30/1979","135.938003540039","-34.5013008117676","25","24.369","16.502","0","5.08168578526815","0.703646799889875",
"1/31/1979","135.938003540039","-34.5013008117676","25","29.727","14.616","0","3.80889082008227","0.628558557038717",
"2/1/1979","135.938003540039","-34.5013008117676","25","36.933","16.753","0","3.66790209903315","0.472075356735265",
"2/2/1979","135.938003540039","-34.5013008117676","25","39.75","19.325","0.0686645784","5.92676096938148","0.317845611524469",
"2/3/1979","135.938003540039","-34.5013008117676","25","21.736","16.461","0.9140972544","7.05829312877222","0.55964235807594",
"2/4/1979","135.938003540039","-34.5013008117676","25","18.418","16.19","2.1526326","5.0666866112246","0.714445664809507",
"2/5/1979","135.938003540039","-34.5013008117676","25","23.117","16.897","0.5046849288","4.07667535985612","0.654548103031664",
"2/6/1979","135.938003540039","-34.5013008117676","25","25.132","15.612","0","4.79907637656286","0.6713192103568",
"2/7/1979","135.938003540039","-34.5013008117676","25","27.245","15.802","0","4.54163348049923","0.644652469062458",
"2/8/1979","135.938003540039","-34.5013008117676","25","29.876","17.427","0","4.58410168809025","0.586795046377134",
"2/9/1979","135.938003540039","-34.5013008117676","25","37.081","17.515","0","3.06540663446458","0.427618580584461",
"2/10/1979","135.938003540039","-34.5013008117676","25","35.91","21.158","0","3.37659262987074","0.344843148387503",
"2/11/1979","135.938003540039","-34.5013008117676","25","35.351","20.25","0","3.60259621998032","0.422300140785528",
"2/12/1979","135.938003540039","-34.5013008117676","25","36.113","18.305","0","4.65759149597534","0.564272830203567",
"2/13/1979","135.938003540039","-34.5013008117676","25","25.02","20.115","0","4.61731188095067","0.651318700988985",
"2/14/1979","135.938003540039","-34.5013008117676","25","20.152","16.691","7.4432424024","4.53540570622804","0.787209838054552",
"2/15/1979","135.938003540039","-34.5013008117676","25","23.101","14.752","0","4.99598587929148","0.658956888186861",
"2/16/1979","135.938003540039","-34.5013008117676","25","20.137","15.563","0.0755310096","4.83526660121705","0.643947241384153",
"2/17/1979","135.938003540039","-34.5013008117676","25","22.494","14.697","0","5.09319633404105","0.5804690251934",
"2/18/1979","135.938003540039","-34.5013008117676","25","23.566","16.556","0","5.63453651964649","0.597669588124232",
"2/19/1979","135.938003540039","-34.5013008117676","25","26.773","16.388","0","5.5508962058155","0.594588940456619",
"2/20/1979","135.938003540039","-34.5013008117676","25","30.944","20.057","0.331306416","5.13104805128936","0.524750453544172",
"2/21/1979","135.938003540039","-34.5013008117676","25","31.891","20.417","0.1338960744","4.77247704116779","0.59224621018489",
"2/22/1979","135.938003540039","-34.5013008117676","25","32.491","20.388","0.037765512","4.29134006100752","0.592234592460702",
"2/23/1979","135.938003540039","-34.5013008117676","25","22.051","16.137","5.554100952","6.98540499297352","0.71173776731251",
"2/24/1979","135.938003540039","-34.5013008117676","25","17.878","14.133","1.641082824","5.75020856533402","0.73096474569842",
"2/25/1979","135.938003540039","-34.5013008117676","25","19.396","14.007","0.587081952","3.97064182874159","0.682344618377521",
"2/26/1979","135.938003540039","-34.5013008117676","25","24.682","10.982","0","2.78375422437929","0.68149501648135",
"2/27/1979","135.938003540039","-34.5013008117676","25","23.394","17.008","0.6368634","5.12977915595349","0.760555737409052",
"2/28/1979","135.938003540039","-34.5013008117676","25","26.755","17.647","0","5.91658545625471","0.669592898746845",
"3/1/1979","135.938003540039","-34.5013008117676","25","34.073","19.638","0.447177816","3.01582534337788","0.503884451214037",
"3/2/1979","135.938003540039","-34.5013008117676","25","22.091","17.318","0.24719238","4.76099795964737","0.752676531694672",
"3/3/1979","135.938003540039","-34.5013008117676","25","20.201","16.585","0.865173204","5.39907585419785","0.704923875748447",
"3/4/1979","135.938003540039","-34.5013008117676","25","22.013","15.43","0.1613617704","4.52775592369632","0.605860655804302",
"3/5/1979","135.938003540039","-34.5013008117676","25","18.569","13.299","0.123596208","4.26437258616697","0.725263881028144",
"3/6/1979","135.938003540039","-34.5013008117676","25","17.105","14.722","0.751876452","4.77103358483281","0.714071207127179",
"3/7/1979","135.938003540039","-34.5013008117676","25","24.186","14.052","0","4.89539495842924","0.56423715749192",
"3/8/1979","135.938003540039","-34.5013008117676","25","30.881","17.198","0","3.75706534772862","0.465159052291362",
"3/9/1979","135.938003540039","-34.5013008117676","25","22.995","16.126","0","4.64726735692328","0.731568133350132",
"3/10/1979","135.938003540039","-34.5013008117676","25","23.612","14.486","0","4.11956878117181","0.67542562533441",
"3/11/1979","135.938003540039","-34.5013008117676","25","25.81","14.832","0","3.34851487242371","0.72183880523971",
"3/12/1979","135.938003540039","-34.5013008117676","25","25.84","16.196","0.0068664528","4.52227986201234","0.709442874809411",
"3/13/1979","135.938003540039","-34.5013008117676","25","25.148","17.656","0.319290336","4.29060106391207","0.711920634751072",
"3/14/1979","135.938003540039","-34.5013008117676","25","23.247","16.996","0.3364561224","4.00254576493125","0.76653089197685",
"3/15/1979","135.938003540039","-34.5013008117676","25","22.275","15.721","0","5.22967255137884","0.682443878777839",
"3/16/1979","135.938003540039","-34.5013008117676","25","27.769","15.199","0","3.1572250574302","0.671776713456324",
"3/17/1979","135.938003540039","-34.5013008117676","25","21.963","17.549","0.815391288","3.83945318758491","0.757652758249855",
"3/18/1979","135.938003540039","-34.5013008117676","25","20.06","14.26","0.2059936632","3.60117933794055","0.701878608951067",
"3/19/1979","135.938003540039","-34.5013008117676","25","27.021","13.119","0","2.6040773893905","0.664964961872233",
"3/20/1979","135.938003540039","-34.5013008117676","25","32.437","13.56","0.1476288","4.21619952575397","0.604256330916008",
"3/21/1979","135.938003540039","-34.5013008117676","25","20.53","14.639","0","4.5601902035956","0.5912522680239",
"3/22/1979","135.938003540039","-34.5013008117676","25","18.834","12.48","0.4085537544","3.23331925235129","0.688824790283668",
"3/23/1979","135.938003540039","-34.5013008117676","25","20.59","13.428","0.5939481168","4.61852007431372","0.669152925418599",
"3/24/1979","135.938003540039","-34.5013008117676","25","21.767","10.319","0","2.69837385809874","0.615405414408969",
"3/25/1979","135.938003540039","-34.5013008117676","25","28.702","14.406","0","3.70236499652532","0.515810223340009",
"3/26/1979","135.938003540039","-34.5013008117676","25","35.345","19.145","0.63858042","5.69744513600432","0.366884351921091",
"3/27/1979","135.938003540039","-34.5013008117676","25","19.115","15.778","1.1535642","5.56740978903264","0.721263387530173",
"3/28/1979","135.938003540039","-34.5013008117676","25","20.552","14.902","0.446319396","3.6800846980079","0.67294377025891",
"3/29/1979","135.938003540039","-34.5013008117676","25","25.715","13.284","0","2.35377335992366","0.608069664200068",
"3/30/1979","135.938003540039","-34.5013008117676","25","33.044","17.329","0","2.61047479546965","0.394616636448502",
"3/31/1979","135.938003540039","-34.5013008117676","25","23.986","15.902","0","4.70055818156308","0.636361623347764",
"4/1/1979","135.938003540039","-34.5013008117676","25","18.01","13.919","0.964737","3.6501027276679","0.622316626694955",
"4/2/1979","135.938003540039","-34.5013008117676","25","23.288","12.907","1.3389601464","4.01439968694781","0.560679402973662",
"4/3/1979","135.938003540039","-34.5013008117676","25","17.515","14.185","3.6735565392","6.68703440300122","0.60906918382434",
"4/4/1979","135.938003540039","-34.5013008117676","25","20.506","13.958","0.466918812","5.59009827212633","0.704363572108567",
"4/5/1979","135.938003540039","-34.5013008117676","25","18.069","15.913","1.246262436","5.66452235850382","0.708185983449735",
"4/6/1979","135.938003540039","-34.5013008117676","25","19.456","12.625","0.37078884","2.2440901020918","0.674783038051542",
"4/7/1979","135.938003540039","-34.5013008117676","25","16.252","10.946","0.4669189848","2.10818896573841","0.737278514338328",
"4/8/1979","135.938003540039","-34.5013008117676","25","16.467","13.383","0.8995056984","4.91818627503011","0.686349688279032",
"4/9/1979","135.938003540039","-34.5013008117676","25","14.318","11.953","0.3124236816","5.32098435043788","0.648133176299411",
"4/10/1979","135.938003540039","-34.5013008117676","25","16.716","11.401","0.4463196984","3.56159401366479","0.669176064430147",
"4/11/1979","135.938003540039","-34.5013008117676","25","18.443","13.239","0.0446319648","4.43279744922089","0.668664015731761",
"4/12/1979","135.938003540039","-34.5013008117676","25","20.834","13.514","0","2.54895830085087","0.535423487751509",
"4/13/1979","135.938003540039","-34.5013008117676","25","25.702","14.848","0","2.29558293578374","0.402896962357738",
"4/14/1979","135.938003540039","-34.5013008117676","25","26.228","12.666","0","2.12703101360925","0.379290468600261",
"4/15/1979","135.938003540039","-34.5013008117676","25","28.004","14.065","0","3.47718951994939","0.336972614251573",
"4/16/1979","135.938003540039","-34.5013008117676","25","20.422","14.094","16.18766712","6.38666709699055","0.491043104605567",
"4/17/1979","135.938003540039","-34.5013008117676","25","15.535","13.688","2.186965224","5.85724805388891","0.770003664681418",
"4/18/1979","135.938003540039","-34.5013008117676","25","15.65","14.048","2.231598492","3.5262014995931","0.792240864765665",
"4/19/1979","135.938003540039","-34.5013008117676","25","16.35","14.242","1.2325284432","2.38403907920605","0.80279137552314",
"4/20/1979","135.938003540039","-34.5013008117676","25","23.352","14.536","5.009078988","6.59725528499992","0.717363921358608",
"4/21/1979","135.938003540039","-34.5013008117676","25","19.325","14.103","2.0050012512","6.19783154009456","0.677273694917325",
"4/22/1979","135.938003540039","-34.5013008117676","25","15.353","12.256","0.3089905488","3.49735209033902","0.64252259504674",
"4/23/1979","135.938003540039","-34.5013008117676","25","17.939","12.67","0.3158569584","2.37177603849567","0.687955319851585",
"4/24/1979","135.938003540039","-34.5013008117676","25","19.415","11.262","0.789642","3.82814257068428","0.654599258856616",
"4/25/1979","135.938003540039","-34.5013008117676","25","21.491","15.005","1.435089348","3.69552723511605","0.724374118633535",
"4/26/1979","135.938003540039","-34.5013008117676","25","16.857","14.719","1.1638642464","4.2706183947879","0.790292265253771",
"4/27/1979","135.938003540039","-34.5013008117676","25","15.801","11.399","0.04119876","3.69603237538495","0.660866518107196",
"4/28/1979","135.938003540039","-34.5013008117676","25","15.858","11.403","0.363922128","3.10029171132554","0.736518339999023",
"4/29/1979","135.938003540039","-34.5013008117676","25","18.714","11.961","0","4.68463846678402","0.65376378156637",
"4/30/1979","135.938003540039","-34.5013008117676","25","19.854","13.307","0","4.89914586468601","0.636027602815301",
"5/1/1979","135.938003540039","-34.5013008117676","25","22.093","15.813","1.4625546264","3.74009463439954","0.744811691113874",
"5/2/1979","135.938003540039","-34.5013008117676","25","17.637","14.289","3.958511112","4.11243044770855","0.77625253804719",
"5/3/1979","135.938003540039","-34.5013008117676","25","16.766","13.485","0.1132965144","5.22547825183394","0.65933175600434",
"5/4/1979","135.938003540039","-34.5013008117676","25","15.823","12.304","0.257491836","5.23663777697591","0.669272163062114",
"5/5/1979","135.938003540039","-34.5013008117676","25","15.314","12.189","0.7741925208","4.48230274165595","0.685237389431235",
"5/6/1979","135.938003540039","-34.5013008117676","25","17.789","10.338","0.0205993656","3.52306908866622","0.677619876546309",
"5/7/1979","135.938003540039","-34.5013008117676","25","18.061","11.248","0.264358656","2.8735144298357","0.752362154486849",
"5/8/1979","135.938003540039","-34.5013008117676","25","16.555","10.908","0.38795472","1.85662895544196","0.721062255434135",
"5/9/1979","135.938003540039","-34.5013008117676","25","17.769","11.354","0.9218219112","1.98140772334685","0.739373702137126",
"5/10/1979","135.938003540039","-34.5013008117676","25","18.523","10.209","0.0995637384","3.56315387233883","0.720539933682162",
"5/11/1979","135.938003540039","-34.5013008117676","25","13.207","12.139","1.6273496664","3.55764195576216","0.746949949751198",
"5/12/1979","135.938003540039","-34.5013008117676","25","13.486","11.079","0.6420136464","2.80875046698788","0.76486636401791",
"5/13/1979","135.938003540039","-34.5013008117676","25","13.63","12.241","1.2840278688","2.94940262866774","0.768203402172148",
"5/14/1979","135.938003540039","-34.5013008117676","25","14.423","9.87099999999998","0.113296572","3.88814839938009","0.695274310904198",
"5/15/1979","135.938003540039","-34.5013008117676","25","12.812","8.029","0.072097812","3.09436518632056","0.758739634025906",
"5/16/1979","135.938003540039","-34.5013008117676","25","14.87","6.68299999999999","0","2.44042293439267","0.69938861916672",
"5/17/1979","135.938003540039","-34.5013008117676","25","17.466","7.25999999999999","0","2.71246294351589","0.584823407442048",
"5/18/1979","135.938003540039","-34.5013008117676","25","17.52","7.88799999999998","0","2.75899952302806","0.523839561660844",
"5/19/1979","135.938003540039","-34.5013008117676","25","17.561","7.83800000000002","0","3.44335972320887","0.594578652172102",
"5/20/1979","135.938003540039","-34.5013008117676","25","19.825","11.467","0.0411987024","5.64919378327239","0.478928154946665",
"5/21/1979","135.938003540039","-34.5013008117676","25","20.358","13.915","0.7347106728","8.36043631257094","0.58178501079753",
"5/22/1979","135.938003540039","-34.5013008117676","25","16.718","11.921","10.093684356","10.1986652036731","0.660829447057654",
"5/23/1979","135.938003540039","-34.5013008117676","25","16.772","10.899","0.851440212","6.95906373040029","0.690644353928979",
"5/24/1979","135.938003540039","-34.5013008117676","25","17.078","8.52100000000002","1.9706715","3.70286815704374","0.519606296138078",
"5/25/1979","135.938003540039","-34.5013008117676","25","17.03","12.137","21.93145884","8.12380024449836","0.880898053775801",
"5/26/1979","135.938003540039","-34.5013008117676","25","18.627","13.867","1.1707303464","7.55926194458262","0.755810959550068",
"5/27/1979","135.938003540039","-34.5013008117676","25","15.296","12.598","2.50625592","5.94027593392816","0.786098460589154",
"5/28/1979","135.938003540039","-34.5013008117676","25","17.179","13.489","2.550889728","6.47877656375127","0.750500547568295",
"5/29/1979","135.938003540039","-34.5013008117676","25","14.002","10.775","4.301834184","5.48221663324912","0.75235809636778",
"5/30/1979","135.938003540039","-34.5013008117676","25","13.346","11.62","0.79479234","2.23735117812538","0.73857673403637",
"5/31/1979","135.938003540039","-34.5013008117676","25","15.995","11.025","0.1750947048","2.40971741627786","0.800536001319588",
"6/1/1979","135.938003540039","-34.5013008117676","25","17.372","11.545","0.14762862","3.7919254881978","0.789823904405616",
"6/2/1979","135.938003540039","-34.5013008117676","25","18.385","10.855","0","4.36726862087034","0.753445380107147",
"6/3/1979","135.938003540039","-34.5013008117676","25","18.282","11.41","0","6.58472464141186","0.644581212223083",
"6/4/1979","135.938003540039","-34.5013008117676","25","19.679","11.945","0.365638608","7.53880429924714","0.592896662011108",
"6/5/1979","135.938003540039","-34.5013008117676","25","18.063","12.14","0.418853916","6.76978778932876","0.658632106117914",
"6/6/1979","135.938003540039","-34.5013008117676","25","17.294","13.455","0.2849578776","6.33449845176361","0.733197207787706",
"6/7/1979","135.938003540039","-34.5013008117676","25","17.568","13","0.18539424","5.36500808450933","0.692457832630702",
"6/8/1979","135.938003540039","-34.5013008117676","25","17.161","11.016","0","3.66095342176563","0.697327175760512",
"6/9/1979","135.938003540039","-34.5013008117676","25","16.214","11.408","0.1356124752","3.98336216373157","0.722152717825115",
"6/10/1979","135.938003540039","-34.5013008117676","25","16.573","12.553","1.4865873768","3.67514337995287","0.753851524972753",
"6/11/1979","135.938003540039","-34.5013008117676","25","17.742","12.912","0.1029968712","5.36218620758391","0.663562664644256",
"6/12/1979","135.938003540039","-34.5013008117676","25","17.875","11.128","5.17558878","5.21054553071896","0.75258054733776",
"6/13/1979","135.938003540039","-34.5013008117676","25","16.632","11.46","1.2908933424","4.18913714089459","0.798920416928771",
"6/14/1979","135.938003540039","-34.5013008117676","25","15.459","12.592","2.7671827464","4.63791823743688","0.785176976299592",
"6/15/1979","135.938003540039","-34.5013008117676","25","15.919","11.828","0.5201340552","5.24656386352771","0.75096100934105",
"6/16/1979","135.938003540039","-34.5013008117676","25","18.748","10.691","0.37765548","7.31189593869299","0.653307737957152",
"6/17/1979","135.938003540039","-34.5013008117676","25","18.988","12.096","1.299477492","6.69282248899711","0.667695120241002",
"6/18/1979","135.938003540039","-34.5013008117676","25","15.591","11.732","3.448677852","4.00675359057564","0.791654136820142",
"6/19/1979","135.938003540039","-34.5013008117676","25","15.636","10.86","0.537300972","4.40606302699087","0.771922461557731",
"6/20/1979","135.938003540039","-34.5013008117676","25","16.499","10.19","0","3.91166496695592","0.754812994497962",
"6/21/1979","135.938003540039","-34.5013008117676","25","13.995","7.10700000000003","0.1390457088","2.74230919002568","0.805737394505147",
"6/22/1979","135.938003540039","-34.5013008117676","25","19.166","10.681","0.0068664528","3.26853137962525","0.818851512494601",
"6/23/1979","135.938003540039","-34.5013008117676","25","18.886","11.087","0","5.94407025471515","0.610144038370644",
"6/24/1979","135.938003540039","-34.5013008117676","25","18.708","10.009","0","6.70957095973168","0.620092380249868",
"6/25/1979","135.938003540039","-34.5013008117676","25","20.877","12.724","0.476360532","9.08203790398746","0.66307970749751",
"6/26/1979","135.938003540039","-34.5013008117676","25","15.864","8.25999999999999","0","2.69086744708681","0.634968757838227",
"6/27/1979","135.938003540039","-34.5013008117676","25","14.919","9.714","0.4892355936","4.94697035894674","0.721388953575551",
"6/28/1979","135.938003540039","-34.5013008117676","25","12.885","9.61200000000002","2.5096895784","5.12264289695648","0.69212865489932",
"6/29/1979","135.938003540039","-34.5013008117676","25","12.331","7.303","0.5553247464","2.79179741799367","0.721888763701637",
"6/30/1979","135.938003540039","-34.5013008117676","25","14.004","9.32400000000001","3.3920241984","7.73743663198401","0.730259609924193",
"7/1/1979","135.938003540039","-34.5013008117676","25","12.679","10.327","1.71489708","7.07500569684457","0.757681833882176",
"7/2/1979","135.938003540039","-34.5013008117676","25","15.516","10.551","4.839133824","4.32793536920475","0.803700889089301",
"7/3/1979","135.938003540039","-34.5013008117676","25","14.991","8.61399999999998","0.430869924","2.06651559306614","0.842498014031833",
"7/4/1979","135.938003540039","-34.5013008117676","25","15.853","9.83600000000001","0.8136750744","4.24078029179047","0.833209540390897",
"7/5/1979","135.938003540039","-34.5013008117676","25","16.784","9.83800000000002","0.0034332264","3.46714841363934","0.760281766344144",
"7/6/1979","135.938003540039","-34.5013008117676","25","17.628","9.60500000000002","0","5.05192769428756","0.72342422157852",
"7/7/1979","135.938003540039","-34.5013008117676","25","17.524","10.663","0.0411987024","10.5596124824455","0.51724039965946",
"7/8/1979","135.938003540039","-34.5013008117676","25","15.527","12.064","0.4634857224","5.79117181248261","0.714761093573027",
"7/9/1979","135.938003540039","-34.5013008117676","25","14.953","11.417","0.5699157912","6.87074964919408","0.720797956373692",
"7/10/1979","135.938003540039","-34.5013008117676","25","13.922","10.284","0.1210212576","2.91687482812128","0.662868209912661",
"7/11/1979","135.938003540039","-34.5013008117676","25","16.855","9.43599999999998","0.085830696","6.68322581737556","0.617777138237522",
"7/12/1979","135.938003540039","-34.5013008117676","25","18.723","11.606","0.7055298","4.98419334448729","0.705123428468687",
"7/13/1979","135.938003540039","-34.5013008117676","25","17.697","11.844","1.4162063184","2.3904962654335","0.798743225644963",
"7/14/1979","135.938003540039","-34.5013008117676","25","20.721","10.445","0","3.6893461136343","0.696030072547674",
"7/15/1979","135.938003540039","-34.5013008117676","25","21.683","12.936","0","7.48862211736973","0.415082844346774",
"7/16/1979","135.938003540039","-34.5013008117676","25","18.382","13.746","0.817108416","5.97644686139971","0.500581514846791",
"7/17/1979","135.938003540039","-34.5013008117676","25","18.063","12.571","1.4642716248","4.91996098974232","0.686390979825206",
"7/18/1979","135.938003540039","-34.5013008117676","25","13.237","5.65100000000001","0.25405884","2.16717402013999","0.706560833073173",
"7/19/1979","135.938003540039","-34.5013008117676","25","15.041","4.363","0","3.24314777060616","0.684424242749224",
"7/20/1979","135.938003540039","-34.5013008117676","25","15.5","9.50099999999998","22.6644516","10.252486394794","0.689356947997747",
"7/21/1979","135.938003540039","-34.5013008117676","25","11.584","7.03500000000003","9.13753872","8.53905949682968","0.781718679410259",
"7/22/1979","135.938003540039","-34.5013008117676","25","11.038","7.78500000000003","5.633933112","8.05639492984529","0.804203122884345",
"7/23/1979","135.938003540039","-34.5013008117676","25","10.876","9.75599999999997","4.5009621864","2.808346786422","0.895182544349016",
"7/24/1979","135.938003540039","-34.5013008117676","25","11.872","7.012","1.084899924","2.25247539483462","0.851648849392288",
"7/25/1979","135.938003540039","-34.5013008117676","25","15.16","6.59899999999999","0.0137329128","2.23120896028539","0.754350601723539",
"7/26/1979","135.938003540039","-34.5013008117676","25","14.301","8.678","0.3759384888","4.400548712491","0.763497475383072",
"7/27/1979","135.938003540039","-34.5013008117676","25","12.024","8.553","1.08146682","2.53324631643934","0.76340777632572",
"7/28/1979","135.938003540039","-34.5013008117676","25","14.583","4.26900000000001","0.0377655048","1.29896257351924","0.741829051950786",
"7/29/1979","135.938003540039","-34.5013008117676","25","16.565","7.58300000000003","0","4.8903841534239","0.655080343937538",
"7/30/1979","135.938003540039","-34.5013008117676","25","17.001","8.64299999999997","4.212573408","7.48575682465483","0.659386875635251",
"7/31/1979","135.938003540039","-34.5013008117676","25","12.271","9.79500000000002","1.7440797744","4.14237172428614","0.816839536829563",
"8/1/1979","135.938003540039","-34.5013008117676","25","12.364","9.17200000000003","0.633430116","2.62518684299046","0.802322822959769",
"8/2/1979","135.938003540039","-34.5013008117676","25","11.933","7.565","0.885773124","1.68431838052458","0.847950047336394",
"8/3/1979","135.938003540039","-34.5013008117676","25","13.621","4.73399999999998","0.0308990592","2.29139845115071","0.774438694643058",
"8/4/1979","135.938003540039","-34.5013008117676","25","13.657","8.85199999999998","8.8800372","4.9852539055185","0.768865359841143",
"8/5/1979","135.938003540039","-34.5013008117676","25","13.312","10.713","3.4194969144","8.34657247608939","0.809418444264139",
"8/6/1979","135.938003540039","-34.5013008117676","25","14.956","9.48099999999999","2.1732324624","7.56383935779269","0.754020616131363",
"8/7/1979","135.938003540039","-34.5013008117676","25","16.628","9.45499999999998","0.3931043832","8.20345316174933","0.685087133933967",
"8/8/1979","135.938003540039","-34.5013008117676","25","12.758","9.61500000000001","8.206272684","8.23122259595811","0.808185650668202",
"8/9/1979","135.938003540039","-34.5013008117676","25","12.057","9.71800000000002","1.90544202","6.85559591504658","0.805119607864242",
"8/10/1979","135.938003540039","-34.5013008117676","25","12.325","9.71300000000002","2.1097178064","6.97069520416994","0.81788222835671",
"8/11/1979","135.938003540039","-34.5013008117676","25","12.9","10.937","2.193833196","6.34737113448149","0.838510788499023",
"8/12/1979","135.938003540039","-34.5013008117676","25","12.184","9.62200000000001","2.569771008","8.00634081836481","0.731796663756809",
"8/13/1979","135.938003540039","-34.5013008117676","25","13.254","9.95600000000002","0.6231311064","3.02446085700326","0.774560103226931",
"8/14/1979","135.938003540039","-34.5013008117676","25","18.425","7.58199999999999","0.0034332264","4.54132820253114","0.705748877315348",
"8/15/1979","135.938003540039","-34.5013008117676","25","19.127","9.834","1.297759608","4.59856469307309","0.619125209860334",
"8/16/1979","135.938003540039","-34.5013008117676","25","15.637","9.62","3.254698584","5.06049228323049","0.721295124398807",
"8/17/1979","135.938003540039","-34.5013008117676","25","15.126","7.14400000000001","3.927608892","6.01479861507431","0.730003640739889",
"8/18/1979","135.938003540039","-34.5013008117676","25","16.957","11.8","10.56575808","9.3575977366316","0.857692478245565",
"8/19/1979","135.938003540039","-34.5013008117676","25","18.979","6.68599999999998","0.6626131344","5.30278719685253","0.744696085873227",
"8/20/1979","135.938003540039","-34.5013008117676","25","15.257","8.255","0.109863252","5.17347612250414","0.703334953499487",
"8/21/1979","135.938003540039","-34.5013008117676","25","12.95","7.62799999999999","0.0274658112","4.20977373169096","0.67721277297315",
"8/22/1979","135.938003540039","-34.5013008117676","25","10.911","9.10399999999999","1.2316704912","2.72108409032356","0.802049228034119",
"8/23/1979","135.938003540039","-34.5013008117676","25","15.98","9.73599999999999","0.3501890136","3.59588937813363","0.791100695931852",
"8/24/1979","135.938003540039","-34.5013008117676","25","19.956","9.74599999999998","0","5.15452998361477","0.653616383055645",
"8/25/1979","135.938003540039","-34.5013008117676","25","21.195","11.966","1.0231013664","6.63017908579659","0.564325972255219",
"8/26/1979","135.938003540039","-34.5013008117676","25","14.516","9.44299999999998","5.518054764","6.90440889619757","0.808150115939276",
"8/27/1979","135.938003540039","-34.5013008117676","25","11.857","5.66300000000001","0.319289868","4.52906516964794","0.684224596240819",
