"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","135.311996459961","-34.5013008117676","-9999","28.615","17.444","0","6.11884399045639","0.541340890315989",
"1/2/1979","135.311996459961","-34.5013008117676","-9999","27.414","16.638","0","5.83300041233248","0.58760049716943",
"1/3/1979","135.311996459961","-34.5013008117676","-9999","37.858","16.552","0","5.59569454327705","0.385387643354965",
"1/4/1979","135.311996459961","-34.5013008117676","-9999","34.153","19.604","0","6.62914126383991","0.351904382012938",
"1/5/1979","135.311996459961","-34.5013008117676","-9999","27.606","18.762","0.0343322568","5.67047151847054","0.613229672775491",
"1/6/1979","135.311996459961","-34.5013008117676","-9999","29.665","17.043","0","4.13506517153486","0.497252204567888",
"1/7/1979","135.311996459961","-34.5013008117676","-9999","25.195","16.893","0","4.37232503272873","0.560994332700434",
"1/8/1979","135.311996459961","-34.5013008117676","-9999","27.697","15.888","0.73814364","2.92112572853782","0.675585819097028",
"1/9/1979","135.311996459961","-34.5013008117676","-9999","26.02","15.76","0.2918243664","3.57927241142491","0.609488796825977",
"1/10/1979","135.311996459961","-34.5013008117676","-9999","25.468","15.164","0","3.95272947653231","0.595849024992569",
"1/11/1979","135.311996459961","-34.5013008117676","-9999","28.367","15.368","0","4.54149482727946","0.615183195963286",
"1/12/1979","135.311996459961","-34.5013008117676","-9999","30.376","18.168","0","5.27641301387786","0.503122035297132",
"1/13/1979","135.311996459961","-34.5013008117676","-9999","42.901","19.071","0","4.67964311076683","0.314311513925902",
"1/14/1979","135.311996459961","-34.5013008117676","-9999","29.832","19.274","0","4.61459494703367","0.466717146625174",
"1/15/1979","135.311996459961","-34.5013008117676","-9999","32.466","18.102","0","5.15339730469231","0.497493083712207",
"1/16/1979","135.311996459961","-34.5013008117676","-9999","31.242","20.223","0.4600527912","4.82879531633842","0.433189282339828",
"1/17/1979","135.311996459961","-34.5013008117676","-9999","23.676","17.29","0.075530988","6.19305234303212","0.612499070070889",
"1/18/1979","135.311996459961","-34.5013008117676","-9999","31.143","15.706","0","3.91978513386752","0.490797511632182",
"1/19/1979","135.311996459961","-34.5013008117676","-9999","37.757","20.478","0","3.31175994186479","0.361694282368478",
"1/20/1979","135.311996459961","-34.5013008117676","-9999","25.569","17.413","0","7.23527887624853","0.582696584487199",
"1/21/1979","135.311996459961","-34.5013008117676","-9999","23.619","16.479","0","6.68049118775386","0.572036489977597",
"1/22/1979","135.311996459961","-34.5013008117676","-9999","25.554","15.531","0","6.38773249095427","0.54190878248541",
"1/23/1979","135.311996459961","-34.5013008117676","-9999","37.192","15.922","0","3.11682521883831","0.521934571623506",
"1/24/1979","135.311996459961","-34.5013008117676","-9999","37.052","21.474","0","5.204870970507","0.342827650655895",
"1/25/1979","135.311996459961","-34.5013008117676","-9999","23.282","15.73","0.15621174","5.37665190072217","0.69365415250133",
"1/26/1979","135.311996459961","-34.5013008117676","-9999","22.911","14.744","0.0274658328","5.24673914384911","0.691133152414571",
"1/27/1979","135.311996459961","-34.5013008117676","-9999","25.54","16.271","0","6.21214599937607","0.632328126989782",
"1/28/1979","135.311996459961","-34.5013008117676","-9999","31.444","16.11","0","4.35692453822982","0.558998983818478",
"1/29/1979","135.311996459961","-34.5013008117676","-9999","29.48","13.296","0","4.07096644129257","0.61931436860553",
"1/30/1979","135.311996459961","-34.5013008117676","-9999","25.823","16.57","0","5.52120635701646","0.688461033105928",
"1/31/1979","135.311996459961","-34.5013008117676","-9999","30.804","14.938","0","4.36198871637001","0.613548052262544",
"2/1/1979","135.311996459961","-34.5013008117676","-9999","45.167","17.373","0","3.02485104258052","0.430384986444121",
"2/2/1979","135.311996459961","-34.5013008117676","-9999","34.014","18.993","0.0343322784","6.5644788844974","0.385421619565483",
"2/3/1979","135.311996459961","-34.5013008117676","-9999","21.261","16.547","0.4308701472","7.17129488731263","0.581028286319307",
"2/4/1979","135.311996459961","-34.5013008117676","-9999","18.547","16.245","1.635933132","4.87116380682658","0.719683572234162",
"2/5/1979","135.311996459961","-34.5013008117676","-9999","24.178","16.608","0.6969456","4.09086252452696","0.656743736251275",
"2/6/1979","135.311996459961","-34.5013008117676","-9999","26.127","15.651","0","4.97275191766748","0.653786308659298",
"2/7/1979","135.311996459961","-34.5013008117676","-9999","28.335","15.822","0","5.08993070948531","0.628464694194273",
"2/8/1979","135.311996459961","-34.5013008117676","-9999","31.716","17.605","0","5.01888989398826","0.559948497155301",
"2/9/1979","135.311996459961","-34.5013008117676","-9999","41.231","19.223","0","3.48503075334509","0.395675836456153",
"2/10/1979","135.311996459961","-34.5013008117676","-9999","36.878","19.531","0","3.38180169083435","0.351863967444465",
"2/11/1979","135.311996459961","-34.5013008117676","-9999","35.509","19.892","0","4.14650048445454","0.421903220412064",
"2/12/1979","135.311996459961","-34.5013008117676","-9999","38.596","18.557","0","5.02834022798802","0.544486915915338",
