"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","135.625","-34.5013008117676","72","30.342","17.438","0","5.39015501795161","0.502555812933264",
"1/2/1979","135.625","-34.5013008117676","72","27.27","16.331","0","5.2622435431643","0.589133347717045",
"1/3/1979","135.625","-34.5013008117676","72","36.554","15.759","0","5.15105232428564","0.403471648199803",
"1/4/1979","135.625","-34.5013008117676","72","38.507","19.681","0","5.85557792412144","0.319437720215088",
"1/5/1979","135.625","-34.5013008117676","72","28.627","18.733","0.0205993728","5.03197698630874","0.600452886661472",
"1/6/1979","135.625","-34.5013008117676","72","30.567","16.633","0","3.62164985131196","0.497283668021854",
"1/7/1979","135.625","-34.5013008117676","72","25.74","16.719","0","4.02908674259882","0.532354837537881",
"1/8/1979","135.625","-34.5013008117676","72","29.601","15.247","0.89263944","2.56336669401836","0.671972686474314",
"1/9/1979","135.625","-34.5013008117676","72","27.074","15.804","0.554466132","3.29938923906158","0.590210498254903",
"1/10/1979","135.625","-34.5013008117676","72","26.18","13.9","0","3.42240285966701","0.603827296503473",
"1/11/1979","135.625","-34.5013008117676","72","28.462","14.38","0","3.89700642418008","0.619212533304877",
"1/12/1979","135.625","-34.5013008117676","72","30.515","17.588","0","4.47691993519182","0.501169486139128",
"1/13/1979","135.625","-34.5013008117676","72","45.95","18.48","0","3.87950521577358","0.307040171606972",
"1/14/1979","135.625","-34.5013008117676","72","31.528","19.151","0","4.1025220362573","0.42257635101667",
"1/15/1979","135.625","-34.5013008117676","72","32.102","17.705","0","4.71294243698786","0.502610931961327",
"1/16/1979","135.625","-34.5013008117676","72","34.982","20.434","1.0951994376","4.44264487342116","0.409393449217",
"1/17/1979","135.625","-34.5013008117676","72","23.957","16.999","0.0789642144","5.53494246654888","0.613967405153443",
"1/18/1979","135.625","-34.5013008117676","72","32.119","15.343","0","3.74738838146257","0.48830502190169",
"1/19/1979","135.625","-34.5013008117676","72","43.136","19.152","0","2.2338377816927","0.381875031144778",
"1/20/1979","135.625","-34.5013008117676","72","25.063","16.981","0.0171661392","6.55086187067241","0.564551145416204",
"1/21/1979","135.625","-34.5013008117676","72","23.729","15.84","0","6.11677171199951","0.566233350529687",
"1/22/1979","135.625","-34.5013008117676","72","25.269","14.98","0","5.80110573714799","0.543837279847971",
"1/23/1979","135.625","-34.5013008117676","72","38.647","14.656","0","2.54663237357318","0.515138287674657",
"1/24/1979","135.625","-34.5013008117676","72","40.189","22.041","0","4.60573238329272","0.312560572563225",
"1/25/1979","135.625","-34.5013008117676","72","23.536","15.079","0.26779176","4.83425367116088","0.684459149949547",
"1/26/1979","135.625","-34.5013008117676","72","22.944","13.871","0.0171661464","4.73553460424243","0.696095579567667",
"1/27/1979","135.625","-34.5013008117676","72","25.318","15.935","0.0205993584","5.58919730556598","0.634198423732148",
"1/28/1979","135.625","-34.5013008117676","72","32.188","15.49","0","3.77419025209305","0.562303033362757",
"1/29/1979","135.625","-34.5013008117676","72","31.038","11.048","0","3.46152028573519","0.607337410584343",
"1/30/1979","135.625","-34.5013008117676","72","25.848","15.945","0","4.82437963788993","0.692744182000766",
"1/31/1979","135.625","-34.5013008117676","72","32.028","13.877","0","3.60364131471678","0.614197579578056",
"2/1/1979","135.625","-34.5013008117676","72","41.022","16.13","0","2.88359860401741","0.452593405779376",
"2/2/1979","135.625","-34.5013008117676","72","38.18","18.919","0.048065184","6.00228178359437","0.335056763716034",
"2/3/1979","135.625","-34.5013008117676","72","21.853","16.25","0.464344056","6.57903462274374","0.558226475537259",
"2/4/1979","135.625","-34.5013008117676","72","18.406","15.942","1.94320656","4.40619695038428","0.716703946007159",
"2/5/1979","135.625","-34.5013008117676","72","24.074","16.186","0.75702672","3.73745611317581","0.652133557418691",
"2/6/1979","135.625","-34.5013008117676","72","26.438","15.096","0","4.44191746527189","0.655782348904019",
"2/7/1979","135.625","-34.5013008117676","72","28.909","15.203","0","4.33008896713083","0.624129775544913",
"2/8/1979","135.625","-34.5013008117676","72","32.203","16.882","0","4.33385109496373","0.55915486529383",
"2/9/1979","135.625","-34.5013008117676","72","42.076","17.772","0","2.78551889136186","0.400973473436021",
"2/10/1979","135.625","-34.5013008117676","72","38.146","19.205","0","2.89393285072445","0.340735784019643",
"2/11/1979","135.625","-34.5013008117676","72","37.868","19.715","0","3.34395678593905","0.415773826071459",
"2/12/1979","135.625","-34.5013008117676","72","39.117","17.977","0","4.29864520924726","0.542405324188767",
"2/13/1979","135.625","-34.5013008117676","72","26.051","20.005","0","4.5617985229281","0.632360258177973",
"2/14/1979","135.625","-34.5013008117676","72","20.627","16.3","6.564332232","4.34086073540637","0.773992390397816",
"2/15/1979","135.625","-34.5013008117676","72","23.87","14.303","0","4.53062525675483","0.646862397027179",
"2/16/1979","135.625","-34.5013008117676","72","21.172","15.257","0.0480651696","4.47910350792468","0.633945344915218",
"2/17/1979","135.625","-34.5013008117676","72","24.337","14.304","0","4.62979347214589","0.567620880529713",
"2/18/1979","135.625","-34.5013008117676","72","24.572","16.207","0","5.17710582630649","0.572579123915113",
"2/19/1979","135.625","-34.5013008117676","72","28.377","15.736","0","5.15515623286316","0.566189665687449",
"2/20/1979","135.625","-34.5013008117676","72","32.782","19.59","0.157928544","5.06547013755491","0.483764100188171",
"2/21/1979","135.625","-34.5013008117676","72","33.579","20.04","0.7003783584","3.9688783935937","0.55585475699838",
"2/22/1979","135.625","-34.5013008117676","72","31.87","19.855","0.2454760584","4.67239443386584","0.601008120599224",
"2/23/1979","135.625","-34.5013008117676","72","22.402","15.969","4.4906607","6.36499928318916","0.697497382456994",
"2/24/1979","135.625","-34.5013008117676","72","17.82","14.131","1.5054705","5.18053274746313","0.719181588170204",
"2/25/1979","135.625","-34.5013008117676","72","19.409","13.573","1.160431056","3.59712821632867","0.689114507204792",
