"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","138.75","-35.1257019042969","311","28.229","16.581","0","5.47890848735773","0.521890566379389",
"1/2/1979","138.75","-35.1257019042969","311","24.024","14.806","0","5.06378238678855","0.609789418130192",
"1/3/1979","138.75","-35.1257019042969","311","31.6","14.405","0","3.12866335437399","0.440410462904288",
"1/4/1979","138.75","-35.1257019042969","311","37.59","20.249","0","4.9087275642163","0.300269329768296",
"1/5/1979","138.75","-35.1257019042969","311","28.228","18.099","0","4.42358580539653","0.646456870719605",
"1/6/1979","138.75","-35.1257019042969","311","25.983","16.447","0","3.37985184325055","0.553380042547952",
"1/7/1979","138.75","-35.1257019042969","311","27.916","17.227","0","4.16749642985841","0.493334076768858",
"1/8/1979","138.75","-35.1257019042969","311","30.862","14.264","0","2.82499791716892","0.634877647388009",
"1/9/1979","138.75","-35.1257019042969","311","25.16","16.882","0.2506252968","3.75337676895622","0.649604316678461",
"1/10/1979","138.75","-35.1257019042969","311","23.94","15.118","0","3.4594061493355","0.662355032406185",
"1/11/1979","138.75","-35.1257019042969","311","24.657","13.493","0","3.5228106836598","0.64791187249442",
"1/12/1979","138.75","-35.1257019042969","311","27.323","14.707","0","3.45970767586166","0.540348498131278",
"1/13/1979","138.75","-35.1257019042969","311","34.181","15.204","0","3.15125234257417","0.397903268314118",
"1/14/1979","138.75","-35.1257019042969","311","30.582","18.423","0","4.9879863586025","0.39004726949921",
"1/15/1979","138.75","-35.1257019042969","311","29.233","15.643","0","3.4720360522316","0.586698968889814",
"1/16/1979","138.75","-35.1257019042969","311","36.075","20.169","1.1226654","4.81723935296299","0.405520150165154",
"1/17/1979","138.75","-35.1257019042969","311","22.125","15.88","0.0205993656","5.01052469080807","0.650382355730532",
"1/18/1979","138.75","-35.1257019042969","311","31.266","14.437","0","3.15594727273839","0.507157327855377",
"1/19/1979","138.75","-35.1257019042969","311","33.733","20.114","0.858307176","2.45237398698211","0.463444956603118",
"1/20/1979","138.75","-35.1257019042969","311","24.794","16.542","12.567325212","5.46080476578398","0.788327822299456",
"1/21/1979","138.75","-35.1257019042969","311","20.789","15.611","0","6.28563092771671","0.640948172879216",
"1/22/1979","138.75","-35.1257019042969","311","23.905","13.797","0","4.83738576888509","0.642013970236899",
"1/23/1979","138.75","-35.1257019042969","311","31.779","17.43","0","2.47447609930535","0.535893907882755",
"1/24/1979","138.75","-35.1257019042969","311","32.861","21.77","0","2.75165110606718","0.407561154539275",
"1/25/1979","138.75","-35.1257019042969","311","24.682","16.316","0.0343322712","4.57571934309769","0.651612902026981",
"1/26/1979","138.75","-35.1257019042969","311","20.614","15.458","0","4.87377899744318","0.685868721430531",
"1/27/1979","138.75","-35.1257019042969","311","23.934","15.571","0","5.087808184726","0.647621323307124",
"1/28/1979","138.75","-35.1257019042969","311","27.426","15.972","0","3.12208438299702","0.523790961045198",
"1/29/1979","138.75","-35.1257019042969","311","29.977","15.929","0","3.33837628801748","0.619339930708016",
"1/30/1979","138.75","-35.1257019042969","311","24.415","15.795","0","4.59253006579829","0.694220497503096",
"1/31/1979","138.75","-35.1257019042969","311","27.138","15.6","0","3.32433566992265","0.709689945689779",
"2/1/1979","138.75","-35.1257019042969","311","32.516","13.439","0","2.02932865235122","0.542338004048767",
"2/2/1979","138.75","-35.1257019042969","311","34.554","24.46","0","4.22433285700972","0.28699343987442",
"2/3/1979","138.75","-35.1257019042969","311","23.56","15.159","1.885700772","6.98434538046024","0.629204459746188",
"2/4/1979","138.75","-35.1257019042969","311","16.729","15.436","3.2169351024","4.63336079754921","0.763357318413309",
"2/5/1979","138.75","-35.1257019042969","311","22.388","15.236","0.1270293984","4.07873578518757","0.694192015622619",
"2/6/1979","138.75","-35.1257019042969","311","24.584","15.207","0","4.20557768375724","0.701793124596901",
"2/7/1979","138.75","-35.1257019042969","311","26.621","15.648","0","3.91518197162108","0.661174543325722",
"2/8/1979","138.75","-35.1257019042969","311","28.937","16.851","0","3.4166214992248","0.600501282841711",
"2/9/1979","138.75","-35.1257019042969","311","32.568","19.541","0","2.97260601024638","0.421888105822222",
"2/10/1979","138.75","-35.1257019042969","311","32.233","21.086","0","2.6884758272938","0.392155092630483",
"2/11/1979","138.75","-35.1257019042969","311","34.622","18.89","0","3.23963276637553","0.426408720144645",
"2/12/1979","138.75","-35.1257019042969","311","34.083","16.93","0","3.40958843103953","0.552066619845018",
"2/13/1979","138.75","-35.1257019042969","311","25.588","18.711","0","3.80847977307686","0.587636847460111",
"2/14/1979","138.75","-35.1257019042969","311","18.614","14.458","14.1757985088","3.00005095228474","0.811719503313656",
"2/15/1979","138.75","-35.1257019042969","311","20.697","13.84","0.0429153264","4.41197419132696","0.723993536422908",
"2/16/1979","138.75","-35.1257019042969","311","17.868","13.46","1.16558064","4.89188544404254","0.692098002364961",
"2/17/1979","138.75","-35.1257019042969","311","20.65","11.728","0","3.88858237109426","0.596282365914318",
"2/18/1979","138.75","-35.1257019042969","311","21.877","14.508","0","4.64884768318302","0.625214134326585",
"2/19/1979","138.75","-35.1257019042969","311","27.091","15.019","0","4.0479571302632","0.572834569722262",
"2/20/1979","138.75","-35.1257019042969","311","30.296","20.562","0","3.24614214988299","0.446933488075137",
"2/21/1979","138.75","-35.1257019042969","311","29.975","20.545","0.98018676","3.62461972800431","0.525810978910525",
"2/22/1979","138.75","-35.1257019042969","311","27.52","21.355","0.5270002704","3.17909728162112","0.624043258093883",
"2/23/1979","138.75","-35.1257019042969","311","22.721","16.327","12.9209489424","4.50405188178068","0.798639801965868",
"2/24/1979","138.75","-35.1257019042969","311","19.255","14.92","8.5693356","4.70631852251642","0.828750929704815",
"2/25/1979","138.75","-35.1257019042969","311","20.254","14.536","0","4.83972822662046","0.650684753755083",
"2/26/1979","138.75","-35.1257019042969","311","20.954","14.387","0","2.56725310210888","0.764024267766337",
"2/27/1979","138.75","-35.1257019042969","311","23.809","14.756","0","3.57290843969614","0.726238467101826",
"2/28/1979","138.75","-35.1257019042969","311","26.362","15.584","0","3.23137821418412","0.642125647713577",
"3/1/1979","138.75","-35.1257019042969","311","22.87","19.251","3.934479924","3.60573410861326","0.603639211853395",
"3/2/1979","138.75","-35.1257019042969","311","20.532","16.486","0.1991272248","3.74017093714246","0.804922591701209",
"3/3/1979","138.75","-35.1257019042969","311","19.807","14.983","0.219726612","5.7691338568256","0.717930531290802",
"3/4/1979","138.75","-35.1257019042969","311","21.806","12.131","0","4.7186417252045","0.681184718503897",
"3/5/1979","138.75","-35.1257019042969","311","19.57","14.103","0.0034332264","4.10204539942821","0.759489219900065",
"3/6/1979","138.75","-35.1257019042969","311","17.035","13.767","1.2290961528","4.79097542342051","0.741232337115189",
"3/7/1979","138.75","-35.1257019042969","311","21.272","12.451","0","3.19302844707154","0.618885220207093",
"3/8/1979","138.75","-35.1257019042969","311","26.366","16.082","0","3.28192132507399","0.467789367189776",
"3/9/1979","138.75","-35.1257019042969","311","22.204","14.849","0","4.02581995687429","0.706124062136878",
"3/10/1979","138.75","-35.1257019042969","311","23.907","13.348","0.0102996792","3.35992500138993","0.720367113312041",
"3/11/1979","138.75","-35.1257019042969","311","26.995","14.697","0","2.69405799804449","0.674981855077558",
"3/12/1979","138.75","-35.1257019042969","311","24.867","15.12","0","3.75238232927559","0.75749446929051",
"3/13/1979","138.75","-35.1257019042969","311","24.558","15.721","0.099563652","3.26000356523467","0.767351137248459",
"3/14/1979","138.75","-35.1257019042969","311","19.115","16.263","1.826479152","3.5190955792729","0.810210477243309",
"3/15/1979","138.75","-35.1257019042969","311","21.188","14.62","0.0720977976","4.94149833763675","0.731327120870137",
"3/16/1979","138.75","-35.1257019042969","311","23.629","15.531","0","2.76935860411671","0.685514454128649",
"3/17/1979","138.75","-35.1257019042969","311","19.355","16.344","2.37579444","3.55049753380166","0.799493936578961",
"3/18/1979","138.75","-35.1257019042969","311","19.286","13.328","0.762177168","4.02427213213972","0.730833155345252",
"3/19/1979","138.75","-35.1257019042969","311","25.826","12.494","0","1.89770614325511","0.627497879188984",
"3/20/1979","138.75","-35.1257019042969","311","28.81","15.452","0.60768126","3.72666415176487","0.465365095065567",
"3/21/1979","138.75","-35.1257019042969","311","19.75","13.376","0.65917944","4.40650729801302","0.635498140554017",
"3/22/1979","138.75","-35.1257019042969","311","20.012","10.681","0","3.1120329932349","0.643309377710496",
"3/23/1979","138.75","-35.1257019042969","311","18.172","13.569","4.648591656","4.80061534019414","0.72510944694496",
"3/24/1979","138.75","-35.1257019042969","311","20.183","11.874","0","2.39951794506916","0.611932477292467",
"3/25/1979","138.75","-35.1257019042969","311","24.548","11.958","0","2.73840589128037","0.560576933529925",
"3/26/1979","138.75","-35.1257019042969","311","29.85","18.435","0.027465804","4.36785302257184","0.338435266077349",
"3/27/1979","138.75","-35.1257019042969","311","23.641","14.186","2.533722084","5.47029907111697","0.773848464794519",
"3/28/1979","138.75","-35.1257019042969","311","19.527","11.54","0","3.28091734122269","0.645984208573648",
"3/29/1979","138.75","-35.1257019042969","311","25.903","12.716","0","1.86043426722811","0.57596842851205",
"3/30/1979","138.75","-35.1257019042969","311","28.024","15.795","0","2.06485731314412","0.446900610571574",
"3/31/1979","138.75","-35.1257019042969","311","22.844","15.712","0.171661464","4.11070818708508","0.599148494060151",
"4/1/1979","138.75","-35.1257019042969","311","18.414","10.966","0","3.40734822894835","0.608158477211904",
"4/2/1979","138.75","-35.1257019042969","311","21.859","9.80900000000003","0","2.94454383823588","0.56425751439447",
"4/3/1979","138.75","-35.1257019042969","311","18.413","14.169","5.393601864","7.50220749842148","0.642120521479148",
"4/4/1979","138.75","-35.1257019042969","311","20.406","14.043","0","5.07163266046031","0.654383574049811",
"4/5/1979","138.75","-35.1257019042969","311","17.472","15.495","3.374862624","6.42630705000211","0.750519400917912",
"4/6/1979","138.75","-35.1257019042969","311","18.045","12.719","0.1064300184","2.52677268317029","0.726486586210011",
"4/7/1979","138.75","-35.1257019042969","311","15.802","11.001","0.0789642864","2.50438053352579","0.766591195501144",
"4/8/1979","138.75","-35.1257019042969","311","16.728","12.154","1.3732908768","4.58016489350776","0.70298253290711",
"4/9/1979","138.75","-35.1257019042969","311","14.149","9.05500000000001","0.2609253072","3.79229272678473","0.653547760744004",
"4/10/1979","138.75","-35.1257019042969","311","14.481","11.379","0.7759093464","3.05114214843156","0.755588535284039",
"4/11/1979","138.75","-35.1257019042969","311","16.744","9.50400000000002","0.0102996792","3.12898699957331","0.621738552731437",
"4/12/1979","138.75","-35.1257019042969","311","19.602","10.123","0","2.66971970376554","0.559119038375928",
"4/13/1979","138.75","-35.1257019042969","311","21.666","13.177","0","1.90666057754045","0.505853356567961",
"4/14/1979","138.75","-35.1257019042969","311","23.634","13.307","0","2.46652779985901","0.47167874713372",
"4/15/1979","138.75","-35.1257019042969","311","24.987","14.347","0","2.43665661297081","0.412483245608504",
"4/16/1979","138.75","-35.1257019042969","311","24.274","15.01","8.3461806","6.80061614539904","0.525142516905549",
"4/17/1979","138.75","-35.1257019042969","311","15.96","13.55","12.60681588","5.84176430114734","0.809664180521621",
"4/18/1979","138.75","-35.1257019042969","311","14.543","13.382","2.91480912","3.86352385738457","0.848101246201022",
"4/19/1979","138.75","-35.1257019042969","311","17.013","14","1.2702935448","3.69405971586888","0.763302417102735",
"4/20/1979","138.75","-35.1257019042969","311","21.965","13.38","3.3165017064","4.52101546195722","0.759524511537306",
"4/21/1979","138.75","-35.1257019042969","311","18.047","14.295","6.3892331928","5.96326485997814","0.79484119455544",
"4/22/1979","138.75","-35.1257019042969","311","14.344","12.01","0.1510620624","4.22579952775261","0.671859950351426",
"4/23/1979","138.75","-35.1257019042969","311","16.669","11.763","0","3.09755381448312","0.689712167951132",
"4/24/1979","138.75","-35.1257019042969","311","18.058","10.011","0.878906484","2.20703746471194","0.688705771265483",
"4/25/1979","138.75","-35.1257019042969","311","16.212","13.327","4.250334636","3.48396108277862","0.844439650286168",
"4/26/1979","138.75","-35.1257019042969","311","17.591","13.526","1.335525804","3.40031008026603","0.859523019523968",
"4/27/1979","138.75","-35.1257019042969","311","14.545","9.14699999999999","0.3913877088","3.07270905330514","0.737095163226818",
"4/28/1979","138.75","-35.1257019042969","311","15.66","8.52600000000001","0","2.383633790956","0.718975437488978",
"4/29/1979","138.75","-35.1257019042969","311","16.464","9.21800000000002","0","2.91052411730028","0.687434285939637",
