"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","147.811996459961","-42.6192016601563","213","25.553","12.046","0","4.37483039268992","0.587678847852234",
"1/2/1979","147.811996459961","-42.6192016601563","213","16.313","10.834","0","6.58301520582568","0.673023601220912",
"1/3/1979","147.811996459961","-42.6192016601563","213","16.725","9.303","0.0274658112","3.28211756171958","0.744083622712978",
"1/4/1979","147.811996459961","-42.6192016601563","213","24.745","12.149","0.0137329056","4.84255798965601","0.63101816335286",
"1/5/1979","147.811996459961","-42.6192016601563","213","19.663","14.411","1.2960433368","2.45207981449306","0.738978543199365",
"1/6/1979","147.811996459961","-42.6192016601563","213","25.063","9.88499999999999","0","2.35814312136787","0.684009367484709",
"1/7/1979","147.811996459961","-42.6192016601563","213","22.554","9.82799999999997","4.2623484264","4.94433908017123","0.687288530047338",
"1/8/1979","147.811996459961","-42.6192016601563","213","22.932","7.5","0","3.10149180282387","0.568206960637581",
"1/9/1979","147.811996459961","-42.6192016601563","213","26.061","10.008","1.788714144","2.19736273830437","0.711974642189718",
"1/10/1979","147.811996459961","-42.6192016601563","213","20.473","7.75200000000001","0","3.84489089880553","0.650766605847338",
"1/11/1979","147.811996459961","-42.6192016601563","213","21.955","8.435","0","3.93676164597234","0.617584350900307",
"1/12/1979","147.811996459961","-42.6192016601563","213","20.408","12.137","0.152778744","5.67213822306066","0.637894191198398",
"1/13/1979","147.811996459961","-42.6192016601563","213","18.649","9.702","0.0137329056","2.64409385959637","0.671562793744198",
"1/14/1979","147.811996459961","-42.6192016601563","213","17.85","11.228","2.080534896","2.16907341615114","0.80621002985333",
"1/15/1979","147.811996459961","-42.6192016601563","213","18.828","11.364","0.1836776304","3.8355051670157","0.661701703252526",
"1/16/1979","147.811996459961","-42.6192016601563","213","23.495","12.894","1.68914484","5.48181173407918","0.665551149549569",
"1/17/1979","147.811996459961","-42.6192016601563","213","23.206","13.852","3.49674444","3.16842460992651","0.682974773474798",
"1/18/1979","147.811996459961","-42.6192016601563","213","25.613","12.917","0.048065184","3.29742182242403","0.668870040086191",
"1/19/1979","147.811996459961","-42.6192016601563","213","27.987","13.476","0","4.62608644253057","0.644187298749635",
"1/20/1979","147.811996459961","-42.6192016601563","213","24.213","12.553","10.364915196","4.01489231818952","0.790688934442813",
"1/21/1979","147.811996459961","-42.6192016601563","213","19.975","8.93299999999999","0.1150131024","2.97452676659832","0.701929060678876",
"1/22/1979","147.811996459961","-42.6192016601563","213","19.386","9.80099999999999","0.0034332264","2.46371249280794","0.69186970720336",
"1/23/1979","147.811996459961","-42.6192016601563","213","22.893","11.472","0.0102996792","3.28914354544858","0.697232047829235",
"1/24/1979","147.811996459961","-42.6192016601563","213","30.153","12.229","0","3.66071275535091","0.582797687956211",
"1/25/1979","147.811996459961","-42.6192016601563","213","27.654","13.278","0.6145481808","7.30222802194854","0.527563575854091",
"1/26/1979","147.811996459961","-42.6192016601563","213","18.91","11.145","0.2995488648","6.63956721208238","0.631157766185443",
"1/27/1979","147.811996459961","-42.6192016601563","213","20.04","10.103","0.0343322568","3.88955621325692","0.632165756895628",
"1/28/1979","147.811996459961","-42.6192016601563","213","22.397","10.173","0.0171661464","2.64984388726647","0.680091741123481",
"1/29/1979","147.811996459961","-42.6192016601563","213","24.233","14.152","0.0205993656","3.79833759542166","0.671964158015859",
"1/30/1979","147.811996459961","-42.6192016601563","213","17.03","12.346","1.4805800424","2.64103534464963","0.83685065357527",
"1/31/1979","147.811996459961","-42.6192016601563","213","20.942","12.302","0.4171371264","3.24695320298622","0.76463140677395",
"2/1/1979","147.811996459961","-42.6192016601563","213","21.372","14.195","0.38623806","2.70874209306551","0.802090394169889",
"2/2/1979","147.811996459961","-42.6192016601563","213","31.67","12.881","0.0841140504","2.27895323842646","0.719441914966996",
"2/3/1979","147.811996459961","-42.6192016601563","213","30.843","13.838","0.121879584","4.26405479540768","0.543474227641675",
"2/4/1979","147.811996459961","-42.6192016601563","213","18.244","13.136","0.466919172","5.53395899931164","0.618768238829947",
"2/5/1979","147.811996459961","-42.6192016601563","213","21.285","7.77600000000001","0.017166132","2.75650251126595","0.671658819698654",
"2/6/1979","147.811996459961","-42.6192016601563","213","20.895","9.09699999999998","1.836775836","2.05866594556166","0.79725045629825",
"2/7/1979","147.811996459961","-42.6192016601563","213","22.436","13.418","0.59051466","2.35820208679318","0.778739356593782",
"2/8/1979","147.811996459961","-42.6192016601563","213","19.684","7.084","0.2128600728","2.37027215536238","0.776787299647832",
"2/9/1979","147.811996459961","-42.6192016601563","213","18.185","6.07600000000002","0.425720412","2.83951281666825","0.786544096577252",
"2/10/1979","147.811996459961","-42.6192016601563","213","26.06","12.372","0","4.35422891813251","0.660468338919496",
"2/11/1979","147.811996459961","-42.6192016601563","213","24.058","8.839","0","2.20041928761948","0.663197347382271",
"2/12/1979","147.811996459961","-42.6192016601563","213","16.97","10.143","0.1390457016","2.98849929221568","0.67610337099037",
"2/13/1979","147.811996459961","-42.6192016601563","213","22.185","9.66399999999999","0.7158278664","5.96233918541259","0.59400426706758",
"2/14/1979","147.811996459961","-42.6192016601563","213","18.498","9.851","0","4.7248050658274","0.537026552094254",
"2/15/1979","147.811996459961","-42.6192016601563","213","13.472","8.27699999999999","2.384376732","7.93538944189554","0.6056910872882",
"2/16/1979","147.811996459961","-42.6192016601563","213","13.775","7.07900000000001","2.0959849944","7.90018076272046","0.618147793433984",
"2/17/1979","147.811996459961","-42.6192016601563","213","16.07","9.02699999999999","0.963879012","5.17077677368902","0.6799059538207",
"2/18/1979","147.811996459961","-42.6192016601563","213","20.729","10.421","0.0034332264","3.30575436255455","0.611080332077829",
"2/19/1979","147.811996459961","-42.6192016601563","213","20.279","11.126","0.1270293624","2.53246390130632","0.770382532465779",
"2/20/1979","147.811996459961","-42.6192016601563","213","26.189","11.453","0","3.38854461891489","0.681214688843676",
"2/21/1979","147.811996459961","-42.6192016601563","213","25.368","11.157","0","2.61826647535206","0.691786744411137",
"2/22/1979","147.811996459961","-42.6192016601563","213","27.056","9.54399999999998","0.0446319792","2.95676852239287","0.70688628725192",
"2/23/1979","147.811996459961","-42.6192016601563","213","28.177","12.249","9.4533958584","3.46645373775392","0.766601926594062",
"2/24/1979","147.811996459961","-42.6192016601563","213","14.384","12.073","1.249695072","3.03260177235412","0.86755078181996",
"2/25/1979","147.811996459961","-42.6192016601563","213","20.504","13.876","1.024820568","4.32176357384202","0.851397852433337",
"2/26/1979","147.811996459961","-42.6192016601563","213","20.102","13.176","11.58714144","2.6650868245961","0.849226184625238",
"2/27/1979","147.811996459961","-42.6192016601563","213","16.137","9.50599999999997","0.284958","4.47038655007737","0.666014320966973",
"2/28/1979","147.811996459961","-42.6192016601563","213","19.288","5.69299999999998","0.0240326064","2.26173835272742","0.711574803202736",
"3/1/1979","147.811996459961","-42.6192016601563","213","20.533","13.327","0.1896858","3.24637871395029","0.725325970448864",
"3/2/1979","147.811996459961","-42.6192016601563","213","18.859","13.559","22.3863491664","3.12854938181408","0.866212595625891",
"3/3/1979","147.811996459961","-42.6192016601563","213","13.842","9.35000000000002","1.3149260424","3.79581237740243","0.807900633410252",
"3/4/1979","147.811996459961","-42.6192016601563","213","19.535","6.993","0","2.21270010466199","0.710925847715501",
"3/5/1979","147.811996459961","-42.6192016601563","213","19.679","8.53800000000001","0","2.23539322506665","0.71915917999021",
"3/6/1979","147.811996459961","-42.6192016601563","213","15.59","7.64800000000002","2.5440202728","3.32364449050097","0.740079469796638",
"3/7/1979","147.811996459961","-42.6192016601563","213","19.687","7.55000000000001","0.0343322928","2.60265029487313","0.751414541152705",
"3/8/1979","147.811996459961","-42.6192016601563","213","23.015","11.414","0","3.87387341566176","0.653407544159864",
"3/9/1979","147.811996459961","-42.6192016601563","213","18.882","8.60300000000001","0","2.33134916585257","0.693369659148442",
"3/10/1979","147.811996459961","-42.6192016601563","213","13.95","9.56099999999998","1.3423931784","2.21053113936541","0.85078285873324",
"3/11/1979","147.811996459961","-42.6192016601563","213","17.22","13.594","1.249695216","3.58584554006456","0.882690098134976",
"3/12/1979","147.811996459961","-42.6192016601563","213","23.463","13.89","8.9332558992","2.9452512101245","0.828107059523439",
"3/13/1979","147.811996459961","-42.6192016601563","213","13.586","11.203","37.2436722","4.3230481305298","0.928214249158016",
"3/14/1979","147.811996459961","-42.6192016601563","213","12.792","11.153","5.7437892","5.26317845152496","0.918716911564659",
"3/15/1979","147.811996459961","-42.6192016601563","213","12.744","11.176","5.23224216","4.14153788469911","0.911728254821171",
"3/16/1979","147.811996459961","-42.6192016601563","213","14.499","11.129","2.46848958","3.04879408579403","0.934693231674522",
"3/17/1979","147.811996459961","-42.6192016601563","213","23.088","14.219","0.4497530112","2.7568210137175","0.834176420200537",
"3/18/1979","147.811996459961","-42.6192016601563","213","17.632","12.24","0.127029384","2.77383166880678","0.745174893697527",
"3/19/1979","147.811996459961","-42.6192016601563","213","21.888","12.673","0.2780917344","2.37336733381037","0.750443688768467",
"3/20/1979","147.811996459961","-42.6192016601563","213","20.889","11.817","0","4.08676146913978","0.776245097140953",
"3/21/1979","147.811996459961","-42.6192016601563","213","19.203","9.89699999999999","10.8421342848","5.62421089334703","0.702641311952213",
"3/22/1979","147.811996459961","-42.6192016601563","213","19.077","11.009","0.0205993656","3.88991664860385","0.677023081946135",
"3/23/1979","147.811996459961","-42.6192016601563","213","19.004","8.75799999999998","5.4279346104","2.99878755246858","0.737549474527705",
"3/24/1979","147.811996459961","-42.6192016601563","213","15.507","6.68099999999998","0","3.79625798236866","0.659468073390382",
