"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","151.875","-32.9401016235352","-9999","25.235","22.669","0","6.82160325524488","0.643145294097942",
"1/2/1979","151.875","-32.9401016235352","-9999","25.525","20.654","0.290966256","6.37738905872665","0.743697038677984",
"1/3/1979","151.875","-32.9401016235352","-9999","21.416","20.147","1.8187524","5.90089373873263","0.784772634769111",
"1/4/1979","151.875","-32.9401016235352","-9999","21.968","20.796","0","6.31552229276083","0.720952395367514",
"1/5/1979","151.875","-32.9401016235352","-9999","25.243","18.145","0","7.06574943700723","0.738139081340253",
"1/6/1979","151.875","-32.9401016235352","-9999","28.276","21.193","0","6.30456737083603","0.695164529877872",
"1/7/1979","151.875","-32.9401016235352","-9999","27.723","22.902","0","5.197741997892","0.707525913435526",
"1/8/1979","151.875","-32.9401016235352","-9999","25.977","22.933","0","4.64467134667182","0.74720358734051",
"1/9/1979","151.875","-32.9401016235352","-9999","28.32","22.621","0","7.3438095077827","0.618952504044115",
"1/10/1979","151.875","-32.9401016235352","-9999","29.909","23.554","0","6.50123419858168","0.541579006973258",
"1/11/1979","151.875","-32.9401016235352","-9999","26.231","21.882","0.0248908824","5.20606157927103","0.755588384090163",
"1/12/1979","151.875","-32.9401016235352","-9999","21.76","20.188","1.4668464528","5.77699225653227","0.835391150232837",
"1/13/1979","151.875","-32.9401016235352","-9999","21.856","20.04","0.0514984464","4.9411425026589","0.721037915018247",
"1/14/1979","151.875","-32.9401016235352","-9999","26.302","18.473","0","5.47693612147446","0.706973960143719",
"1/15/1979","151.875","-32.9401016235352","-9999","26.539","20.172","0.2283097464","7.46661174534619","0.715345993875137",
"1/16/1979","151.875","-32.9401016235352","-9999","22.578","21.167","1.3320917424","6.33378007651865","0.793564976936378",
"1/17/1979","151.875","-32.9401016235352","-9999","27.618","21.441","9.4036133304","4.69534204294979","0.816847048450081",
"1/18/1979","151.875","-32.9401016235352","-9999","23.433","21.515","10.953712332","7.23915342728256","0.804481948649536",
"1/19/1979","151.875","-32.9401016235352","-9999","22.778","21.807","0.8857726992","5.24851158333747","0.745641377219836",
"1/20/1979","151.875","-32.9401016235352","-9999","24.047","21.798","0.127887732","4.48118651870179","0.765992330159438",
"1/21/1979","151.875","-32.9401016235352","-9999","24.259","19.635","1.1106491544","4.5977640239798","0.844353763395043",
"1/22/1979","151.875","-32.9401016235352","-9999","23.632","22.726","12.58707276","6.4090666541562","0.857343781365922",
"1/23/1979","151.875","-32.9401016235352","-9999","23.708","22.734","11.96479512","6.80509359110248","0.850386719004287",
"1/24/1979","151.875","-32.9401016235352","-9999","24.535","22.946","0.5167008","5.0415955250089","0.859092224430287",
"1/25/1979","151.875","-32.9401016235352","-9999","27.085","22.256","0.1802446128","5.85379607470145","0.785712263299438",
"1/26/1979","151.875","-32.9401016235352","-9999","25.02","21.805","3.7035933408","5.88788120805112","0.855752546996287",
"1/27/1979","151.875","-32.9401016235352","-9999","22.689","20.323","2.292537564","8.66143031457326","0.792053827793494",
"1/28/1979","151.875","-32.9401016235352","-9999","21.934","19.842","0.5836489704","6.47456493526427","0.692363157867519",
"1/29/1979","151.875","-32.9401016235352","-9999","22.6","20.547","0.9389874888","3.82047390290357","0.703750684072653",
"1/30/1979","151.875","-32.9401016235352","-9999","23.702","19.996","0.0034332264","5.21515651894504","0.709319024948429",
"1/31/1979","151.875","-32.9401016235352","-9999","24.751","21.641","0","3.92734842560427","0.827237783469945",
"2/1/1979","151.875","-32.9401016235352","-9999","24.876","22.24","0","6.31267153570118","0.75832251585166",
"2/2/1979","151.875","-32.9401016235352","-9999","24.209","20.157","0","5.55929872880468","0.770788196402825",
"2/3/1979","151.875","-32.9401016235352","-9999","24.732","20.434","0","6.90903028850068","0.738440255374206",
"2/4/1979","151.875","-32.9401016235352","-9999","25.341","19.959","0.21972654","7.10065409288081","0.74660604640874",
"2/5/1979","151.875","-32.9401016235352","-9999","22.467","21.255","2.184388992","7.07305833127358","0.724039161619776",
"2/6/1979","151.875","-32.9401016235352","-9999","21.778","20.564","3.14998596","6.10904313245997","0.786129343348151",
"2/7/1979","151.875","-32.9401016235352","-9999","22.636","21.45","1.93290714","5.06419779119919","0.829583085953312",
"2/8/1979","151.875","-32.9401016235352","-9999","23.342","21.336","1.819612152","3.26652137132602","0.849955018495036",
"2/9/1979","151.875","-32.9401016235352","-9999","23.967","22.233","0.121879476","3.54901270362547","0.804638737956699",
"2/10/1979","151.875","-32.9401016235352","-9999","25.199","19.643","0.017166132","4.53060988276743","0.78885779890398",
"2/11/1979","151.875","-32.9401016235352","-9999","27.968","21.37","0","5.12239443181621","0.685911657130304",
"2/12/1979","151.875","-32.9401016235352","-9999","27.699","22.166","0","3.35490365743889","0.695767221638172",
"2/13/1979","151.875","-32.9401016235352","-9999","29.812","22.552","0.339890112","5.72174450725479","0.717408339590507",
"2/14/1979","151.875","-32.9401016235352","-9999","25.743","21.877","0","5.24689493038937","0.794790449645762",
"2/15/1979","151.875","-32.9401016235352","-9999","27.247","22.722","0","3.6485909166962","0.690903543186113",
"2/16/1979","151.875","-32.9401016235352","-9999","26.088","19.784","0.11501316","7.72463577405638","0.556457247751673",
"2/17/1979","151.875","-32.9401016235352","-9999","20.5","18.752","2.153492172","5.47098782025651","0.692595823221436",
"2/18/1979","151.875","-32.9401016235352","-9999","22.668","19.187","0.0240326064","4.52434020328041","0.651125555355259",
"2/19/1979","151.875","-32.9401016235352","-9999","22.271","20.538","2.324297484","4.33185612567752","0.762767126403259",
"2/20/1979","151.875","-32.9401016235352","-9999","23.514","20.882","2.7105336","6.28018300000813","0.744935351594603",
"2/21/1979","151.875","-32.9401016235352","-9999","23.827","22.035","0.0068664528","6.29670387612775","0.713559898093865",
"2/22/1979","151.875","-32.9401016235352","-9999","23.766","21.633","0","5.4579694218727","0.698530953247723",
"2/23/1979","151.875","-32.9401016235352","-9999","25.073","19.28","0","6.01375879506557","0.73621873134965",
"2/24/1979","151.875","-32.9401016235352","-9999","24.406","21.122","0","7.24498427612046","0.771554439737988",
"2/25/1979","151.875","-32.9401016235352","-9999","25.073","20.716","0","6.66057448250615","0.730013727846358",
"2/26/1979","151.875","-32.9401016235352","-9999","27.888","20.589","0","5.51229208395577","0.676992652222499",
"2/27/1979","151.875","-32.9401016235352","-9999","25.302","22.167","0.0034332264","5.99773148520175","0.741960773020125",
"2/28/1979","151.875","-32.9401016235352","-9999","22.684","21.031","0.6935116464","5.82916847753045","0.755766117024337",
"3/1/1979","151.875","-32.9401016235352","-9999","23.339","20.887","1.4591213064","5.52103816353655","0.742889407530083",
"3/2/1979","151.875","-32.9401016235352","-9999","25.121","20.803","24.76901916","5.19864097807392","0.872028919273239",
"3/3/1979","151.875","-32.9401016235352","-9999","25.783","20.477","13.684844412","5.39517021845929","0.819725765092204",
"3/4/1979","151.875","-32.9401016235352","-9999","21.016","20.152","25.7629380264","4.46474320763582","0.882034809634852",
"3/5/1979","151.875","-32.9401016235352","-9999","21.805","18.914","17.221068","5.98990908186553","0.81714345313864",
"3/6/1979","151.875","-32.9401016235352","-9999","25.47","19.147","0.48065184","3.0376528387387","0.723187486758644",
"3/7/1979","151.875","-32.9401016235352","-9999","21.534","18.959","0.4772185344","8.33447074263812","0.715856821627336",
"3/8/1979","151.875","-32.9401016235352","-9999","22.004","19.074","0.1184464224","4.01698932944906","0.757374930736663",
"3/9/1979","151.875","-32.9401016235352","-9999","22.289","18.422","0.0446319648","3.05334224985957","0.7884362063024",
"3/10/1979","151.875","-32.9401016235352","-9999","21.671","20.088","0.0343322928","3.31658558318198","0.727863996806165",
"3/11/1979","151.875","-32.9401016235352","-9999","22.728","18.928","0.163078344","3.28988679863177","0.763613009594597",
"3/12/1979","151.875","-32.9401016235352","-9999","23.585","21.681","0.061798104","3.42223238411674","0.753504202788175",
"3/13/1979","151.875","-32.9401016235352","-9999","23.589","20.555","1.0677335904","3.09869237048456","0.821391902420548",
"3/14/1979","151.875","-32.9401016235352","-9999","22.173","20.501","3.156854508","4.40787225658649","0.771317713121347",
"3/15/1979","151.875","-32.9401016235352","-9999","22.733","19.847","9.77782914","3.2058464713455","0.79964149253593",
"3/16/1979","151.875","-32.9401016235352","-9999","24.055","20.291","1.2531286224","3.60264329857456","0.78924843424118",
"3/17/1979","151.875","-32.9401016235352","-9999","22.359","21.313","9.461981772","2.68080022499476","0.82411253837387",
"3/18/1979","151.875","-32.9401016235352","-9999","21.737","20.341","20.23887348","6.00420413503306","0.856137126650616",
"3/19/1979","151.875","-32.9401016235352","-9999","22.44","21.127","3.4778630376","6.76200316696181","0.766063903188036",
"3/20/1979","151.875","-32.9401016235352","-9999","22.33","20.263","0.312423768","4.16678488686822","0.713261649131018",
