"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","142.5","-37.3112983703613","516","34.01","14.318","0","4.29286707302395","0.360632826030352",
"1/2/1979","142.5","-37.3112983703613","516","24.323","10.13","0","3.56635611801938","0.58133628302787",
"1/3/1979","142.5","-37.3112983703613","516","31.997","8.31700000000001","0.0068664528","2.24535035034877","0.499996688602314",
"1/4/1979","142.5","-37.3112983703613","516","39.474","15.452","0","2.60211745108703","0.313873378239996",
"1/5/1979","142.5","-37.3112983703613","516","40.866","17.586","0","3.4019165740287","0.345473002619957",
"1/6/1979","142.5","-37.3112983703613","516","33.133","14.885","0","1.97584574566193","0.459060511253348",
"1/7/1979","142.5","-37.3112983703613","516","35.604","14.563","0.042915348","3.25163406189398","0.420761561788971",
"1/8/1979","142.5","-37.3112983703613","516","30.52","10.326","0.219726648","2.58307474152697","0.545910316732288",
"1/9/1979","142.5","-37.3112983703613","516","31.786","16.751","0.4583359224","2.5864566006827","0.453452270636967",
"1/10/1979","142.5","-37.3112983703613","516","27.058","8.74799999999999","0","2.10050910032002","0.513379916674177",
"1/11/1979","142.5","-37.3112983703613","516","28.498","9.97000000000003","0","2.5586043179359","0.523162844987592",
"1/12/1979","142.5","-37.3112983703613","516","28.095","8.21499999999998","0","2.61104911494676","0.559862811007737",
"1/13/1979","142.5","-37.3112983703613","516","33.766","8.24599999999998","0","1.46791006688448","0.505051850009164",
"1/14/1979","142.5","-37.3112983703613","516","36.045","16.388","0","3.81504442149238","0.261967706215864",
"1/15/1979","142.5","-37.3112983703613","516","31.617","14.36","0.048065184","2.32149263581436","0.481966446949759",
"1/16/1979","142.5","-37.3112983703613","516","37.945","14.781","0.405120672","3.06746535395597","0.38043992128293",
"1/17/1979","142.5","-37.3112983703613","516","23.805","12.742","1.275444072","2.68562619353342","0.63760590181765",
"1/18/1979","142.5","-37.3112983703613","516","34.766","7.63799999999998","0","1.39362186389987","0.449133203556226",
"1/19/1979","142.5","-37.3112983703613","516","35.873","16.529","0.0497818224","3.27475474275944","0.381645280780398",
"1/20/1979","142.5","-37.3112983703613","516","27.771","13.741","46.006946604","3.21548300436222","0.852472718351689",
"1/21/1979","142.5","-37.3112983703613","516","20.516","11.592","0.145912212","4.00577118809124","0.748155524651981",
"1/22/1979","142.5","-37.3112983703613","516","24.073","10.976","0.2815250904","3.39571022665178","0.742692800032553",
"1/23/1979","142.5","-37.3112983703613","516","31.183","10.74","0","1.49999575784528","0.616114644518556",
"1/24/1979","142.5","-37.3112983703613","516","33.345","17.651","0","3.02058053362915","0.43585112563298",
"1/25/1979","142.5","-37.3112983703613","516","26.19","14.239","0.021457656","4.17670933666167","0.449232657761482",
"1/26/1979","142.5","-37.3112983703613","516","21.618","10.423","0.1476287928","3.23858993503595","0.647680368759251",
"1/27/1979","142.5","-37.3112983703613","516","24.509","12.899","0.195694092","3.82306440691173","0.599528817157193",
"1/28/1979","142.5","-37.3112983703613","516","32.873","11.054","0.0034332264","1.96328418427848","0.523100564452551",
"1/29/1979","142.5","-37.3112983703613","516","34.462","18.13","0","2.87636063441494","0.320816688772282",
"1/30/1979","142.5","-37.3112983703613","516","30.077","14.393","0.0240325992","2.88261213159236","0.574918979692759",
"1/31/1979","142.5","-37.3112983703613","516","35.193","11.551","0","2.10731884051728","0.482876098000874",
"2/1/1979","142.5","-37.3112983703613","516","34.581","14.933","0","2.22124448096227","0.432712185753306",
"2/2/1979","142.5","-37.3112983703613","516","39.347","18.64","0","2.46563909346496","0.313588802799374",
"2/3/1979","142.5","-37.3112983703613","516","26.288","11.897","3.9894091848","4.02937601279648","0.444924561833949",
"2/4/1979","142.5","-37.3112983703613","516","17.664","12.421","0.5270008608","3.57994841709179","0.704562518205437",
"2/5/1979","142.5","-37.3112983703613","516","26.88","10.04","0.0102996792","2.61880652015004","0.615445131306054",
"2/6/1979","142.5","-37.3112983703613","516","29.988","10.509","0.0205993584","2.423210808366","0.566559969629288",
"2/7/1979","142.5","-37.3112983703613","516","31.202","10.83","0","2.87356260906712","0.556508372342179",
"2/8/1979","142.5","-37.3112983703613","516","30.559","12.119","0","3.05115977846422","0.530221517423385",
"2/9/1979","142.5","-37.3112983703613","516","33.506","11.884","0","1.93870608839139","0.472891672883428",
"2/10/1979","142.5","-37.3112983703613","516","32.972","11.026","0","2.29119212651684","0.424770206806302",
"2/11/1979","142.5","-37.3112983703613","516","34.2","9.50700000000001","0","2.49871451264594","0.442966290693696",
"2/12/1979","142.5","-37.3112983703613","516","31.681","13.676","0.0446319432","2.36891366330065","0.526937334001257",
"2/13/1979","142.5","-37.3112983703613","516","23.978","10.467","1.080608508","1.71621904010018","0.607713191973378",
"2/14/1979","142.5","-37.3112983703613","516","24.286","10.964","0","1.90790153406223","0.553049321361351",
"2/15/1979","142.5","-37.3112983703613","516","21.367","7.92000000000002","0.387954684","4.06648844712468","0.679739072437983",
"2/16/1979","142.5","-37.3112983703613","516","12.081","8.11200000000002","1.5638352192","2.95840427402522","0.70545977606194",
"2/17/1979","142.5","-37.3112983703613","516","23.388","3.94099999999997","0","2.17234198222477","0.614913552957399",
"2/18/1979","142.5","-37.3112983703613","516","21.963","9.00700000000001","0","3.37664864761532","0.636394699589069",
"2/19/1979","142.5","-37.3112983703613","516","31.27","9.50900000000001","0","2.20082521390459","0.537721142376677",
"2/20/1979","142.5","-37.3112983703613","516","33.12","16.359","0","2.41681399210288","0.388099693799062",
"2/21/1979","142.5","-37.3112983703613","516","29.864","16.89","0","1.85485722964055","0.414123069398806",
"2/22/1979","142.5","-37.3112983703613","516","31.389","17.256","0.38452176","2.62583412463754","0.385169946193185",
