"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","138.75","-33.8768005371094","332","39.516","21.41","0","5.13620064148607","0.16656704320437",
"1/2/1979","138.75","-33.8768005371094","332","35.127","15.628","0","3.51857063849031","0.349969143593592",
"1/3/1979","138.75","-33.8768005371094","332","38.444","16.142","0","2.9518182793002","0.227412654504727",
"1/4/1979","138.75","-33.8768005371094","332","45.394","23.282","0","2.99825004280328","0.123548002610405",
"1/5/1979","138.75","-33.8768005371094","332","42.116","20.643","0","4.16895800301611","0.235692493523144",
"1/6/1979","138.75","-33.8768005371094","332","43.552","17.702","0","2.64315114325835","0.304485521261674",
"1/7/1979","138.75","-33.8768005371094","332","39.488","21.473","0","3.69321664804953","0.251888942353034",
"1/8/1979","138.75","-33.8768005371094","332","42.573","19.784","0","2.27237356922773","0.274200778375038",
"1/9/1979","138.75","-33.8768005371094","332","37.151","19.485","0","3.25307987451498","0.395640637330991",
"1/10/1979","138.75","-33.8768005371094","332","34.845","16.226","0","2.74024608748857","0.41627808178027",
"1/11/1979","138.75","-33.8768005371094","332","37.902","12.632","0","2.63192653540946","0.370161933381982",
"1/12/1979","138.75","-33.8768005371094","332","36.448","16.742","0","2.781550620025","0.288934363105534",
"1/13/1979","138.75","-33.8768005371094","332","44.518","17.29","0","2.54572287979315","0.166452883047056",
"1/14/1979","138.75","-33.8768005371094","332","43","24.812","0","5.54618109140207","0.153925646920905",
"1/15/1979","138.75","-33.8768005371094","332","40.206","17.475","0","2.75204200688291","0.297846391987737",
"1/16/1979","138.75","-33.8768005371094","332","39.949","22.758","2.45304054","3.99715436166816","0.317810256935086",
"1/17/1979","138.75","-33.8768005371094","332","30.678","18.374","5.32751292","2.9498163219256","0.571417006783243",
"1/18/1979","138.75","-33.8768005371094","332","34.26","15.183","0","2.66072008681088","0.37301640479959",
"1/19/1979","138.75","-33.8768005371094","332","36.72","22.294","2.28137976","2.49451328136069","0.405447165713668",
"1/20/1979","138.75","-33.8768005371094","332","27.212","16.038","7.616620944","4.18942322178822","0.657298166326675",
"1/21/1979","138.75","-33.8768005371094","332","25.882","13.172","0","4.40019872881036","0.533954430971726",
"1/22/1979","138.75","-33.8768005371094","332","29.552","12.608","0","3.11215448051521","0.495793328658707",
"1/23/1979","138.75","-33.8768005371094","332","34.756","17.754","0","2.47021753210367","0.398071151091585",
"1/24/1979","138.75","-33.8768005371094","332","39.202","23.44","0","2.41765584330768","0.286806797769661",
"1/25/1979","138.75","-33.8768005371094","332","29.902","16.29","0","3.82356758943062","0.38365067428236",
"1/26/1979","138.75","-33.8768005371094","332","28.543","12.884","0","3.55859392750408","0.535593497891146",
"1/27/1979","138.75","-33.8768005371094","332","31.076","13.032","0","3.50051171756099","0.493724989321032",
"1/28/1979","138.75","-33.8768005371094","332","35.082","14.462","0","2.31265814000975","0.314576021784558",
"1/29/1979","138.75","-33.8768005371094","332","38.122","19.144","0","3.11986703684412","0.242811564041084",
"1/30/1979","138.75","-33.8768005371094","332","35.481","16.432","0","2.62423350612556","0.350129022038413",
"1/31/1979","138.75","-33.8768005371094","332","37.55","15.33","0","2.76176544112339","0.360728624026604",
"2/1/1979","138.75","-33.8768005371094","332","42.637","18.41","0","1.60227444985874","0.204750263760615",
"2/2/1979","138.75","-33.8768005371094","332","40.07","27.175","0","3.47489732231501","0.152908863666935",
"2/3/1979","138.75","-33.8768005371094","332","27.822","14.254","0.54759924","5.70254720716302","0.446608911783367",
"2/4/1979","138.75","-33.8768005371094","332","18.269","12.105","0.642013668","3.38766402463572","0.661271134545131",
"2/5/1979","138.75","-33.8768005371094","332","28.79","10.05","0","2.80730053027897","0.581547476757256",
"2/6/1979","138.75","-33.8768005371094","332","33.756","11.926","0","2.66880933581285","0.496674860264473",
"2/7/1979","138.75","-33.8768005371094","332","35.929","14.847","0","2.7822728311053","0.374308008633634",
"2/8/1979","138.75","-33.8768005371094","332","36.58","17.042","0","2.9320844861806","0.310299256949087",
"2/9/1979","138.75","-33.8768005371094","332","41.565","19.496","0","2.64493441651656","0.222568180405688",
"2/10/1979","138.75","-33.8768005371094","332","43.054","21.992","0","2.16111218012566","0.184929268664459",
"2/11/1979","138.75","-33.8768005371094","332","39.975","24.57","0","3.06729470313546","0.183567334431644",
"2/12/1979","138.75","-33.8768005371094","332","41.865","19.422","0","2.09679792443749","0.219388211732692",
"2/13/1979","138.75","-33.8768005371094","332","36.594","21.912","0","3.68202690167171","0.289822335702305",
"2/14/1979","138.75","-33.8768005371094","332","26.568","17.808","0.8625984264","3.1936692048674","0.56569984141642",
"2/15/1979","138.75","-33.8768005371094","332","28.236","10.221","0","3.15195707676111","0.543234735882308",
"2/16/1979","138.75","-33.8768005371094","332","23.581","10.147","0.0068664528","3.00528006253216","0.577839901197055",
"2/17/1979","138.75","-33.8768005371094","332","27.236","10.191","0","2.70151885038982","0.411654721441034",
"2/18/1979","138.75","-33.8768005371094","332","28.514","12.408","0","2.88502181065048","0.384609414267961",
"2/19/1979","138.75","-33.8768005371094","332","32.353","13.376","0","3.89144761535552","0.390383494029103",
"2/20/1979","138.75","-33.8768005371094","332","32.139","21.425","0.250625772","4.10406958095165","0.404144697654529",
"2/21/1979","138.75","-33.8768005371094","332","30.938","19.395","7.0964808552","3.43100650779137","0.584374570728963",
"2/22/1979","138.75","-33.8768005371094","332","31.886","20.099","1.13124888","2.8555205190151","0.551668246410399",
"2/23/1979","138.75","-33.8768005371094","332","23.743","16.297","16.68634056","3.39951781214455","0.674266505671635",
"2/24/1979","138.75","-33.8768005371094","332","18.762","13.301","15.9147292104","3.05200067384458","0.809296735750653",
"2/25/1979","138.75","-33.8768005371094","332","23.274","11.194","0","2.71268376185934","0.634559939092602",
"2/26/1979","138.75","-33.8768005371094","332","28.422","10.63","0","1.50941171534923","0.514688172861675",
"2/27/1979","138.75","-33.8768005371094","332","31.359","14.369","0","2.49138778482303","0.573722480447576",
"2/28/1979","138.75","-33.8768005371094","332","31.518","16.842","0","3.35256000266033","0.475917124915869",
"3/1/1979","138.75","-33.8768005371094","332","35.321","19.357","0.15792858","2.5027414954492","0.34297659402176",
"3/2/1979","138.75","-33.8768005371094","332","30.46","16.952","0.267791436","3.40677775651524","0.48187385571768",
"3/3/1979","138.75","-33.8768005371094","332","24.174","14.311","0.3433224816","3.90656395336755","0.607773294472363",
"3/4/1979","138.75","-33.8768005371094","332","26.968","10.563","0","3.17961473354215","0.524428669010781",
"3/5/1979","138.75","-33.8768005371094","332","26.031","10.452","0","2.85401317115033","0.616009680716658",
"3/6/1979","138.75","-33.8768005371094","332","18.407","9.79700000000003","0.192260808","2.67810015361987","0.713915686989814",
"3/7/1979","138.75","-33.8768005371094","332","26.039","9.09699999999998","0","2.62750084703466","0.488327463598585",
"3/8/1979","138.75","-33.8768005371094","332","33.066","14.164","0","2.06278595938827","0.288673172389458",
"3/9/1979","138.75","-33.8768005371094","332","33.064","13.45","0","2.22667249255692","0.307058329874309",
"3/10/1979","138.75","-33.8768005371094","332","33.69","12.4","0","2.05048974108713","0.468914906502869",
"3/11/1979","138.75","-33.8768005371094","332","36.415","16.682","0","2.19293749280846","0.309201385770473",
"3/12/1979","138.75","-33.8768005371094","332","37.022","16.192","0","2.29036601523257","0.376367492837711",
"3/13/1979","138.75","-33.8768005371094","332","29.427","14.579","0","2.19764581351795","0.459267259002784",
"3/14/1979","138.75","-33.8768005371094","332","27.525","14.29","0.161361576","2.30604823310053","0.604379280737287",
"3/15/1979","138.75","-33.8768005371094","332","24.71","11.578","0","3.24275428490291","0.663217955092796",
"3/16/1979","138.75","-33.8768005371094","332","28.865","11.941","0","2.09627099839711","0.597710748291569",
"3/17/1979","138.75","-33.8768005371094","332","24.692","14.735","0","2.86230974331617","0.572278428108688",
"3/18/1979","138.75","-33.8768005371094","332","25.157","12.873","0.0274658112","2.79531035576564","0.595655787978106",
"3/19/1979","138.75","-33.8768005371094","332","31.439","10.885","0","1.4968621980664","0.438855529474157",
"3/20/1979","138.75","-33.8768005371094","332","32.674","14.962","0","3.1634552133661","0.25508403948368",
"3/21/1979","138.75","-33.8768005371094","332","24.536","13.727","0.0514984104","3.1298377021494","0.522218258116157",
"3/22/1979","138.75","-33.8768005371094","332","24.549","7.80000000000001","0","2.87903910185839","0.54743479023314",
"3/23/1979","138.75","-33.8768005371094","332","21.922","9.82999999999998","0.233459424","3.62697057002019","0.655571378024876",
"3/24/1979","138.75","-33.8768005371094","332","24.945","4.61599999999999","0","1.40151166299421","0.5673618103468",
"3/25/1979","138.75","-33.8768005371094","332","30.094","10.927","0","2.25943884169583","0.339436481514553",
"3/26/1979","138.75","-33.8768005371094","332","34.008","17.294","0","3.37737700860377","0.202985536884576",
"3/27/1979","138.75","-33.8768005371094","332","26.865","15.819","0.0858307392","4.41092256243154","0.615160033525395",
"3/28/1979","138.75","-33.8768005371094","332","25.2","10.499","0.0068664528","2.30355382253996","0.521460772610787",
"3/29/1979","138.75","-33.8768005371094","332","31.102","9.95400000000001","0","1.49950323209889","0.343173417108255",
"3/30/1979","138.75","-33.8768005371094","332","34.585","13.729","0","1.45563122330059","0.276916720759945",
"3/31/1979","138.75","-33.8768005371094","332","26.695","17.744","2.468489148","3.218032051062","0.442663995811543",
"4/1/1979","138.75","-33.8768005371094","332","21.855","13.18","0.25405884","2.49617331722687","0.52894775204822",
"4/2/1979","138.75","-33.8768005371094","332","25.478","8.87299999999999","0","2.67465611009283","0.411310096652012",
"4/3/1979","138.75","-33.8768005371094","332","17.602","12.335","3.22380018","5.03861102639641","0.628791607009129",
"4/4/1979","138.75","-33.8768005371094","332","22.125","10.065","0","2.96456057456193","0.654226838745779",
"4/5/1979","138.75","-33.8768005371094","332","20.23","13.616","0.18882756","3.87847013286985","0.645435367875098",
"4/6/1979","138.75","-33.8768005371094","332","24.222","9.065","0","1.41584157585466","0.653823913139876",
"4/7/1979","138.75","-33.8768005371094","332","21.74","7.411","0","2.12779778505732","0.66093839650045",
"4/8/1979","138.75","-33.8768005371094","332","16.463","6.50400000000002","0.308990232","1.77614835478229","0.70022681661162",
