"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","138.125","-32.9401016235352","373","35.211","25.359","0","5.87610080733748","0.219342760035972",
"1/2/1979","138.125","-32.9401016235352","373","33.897","20.519","0","4.50852066638329","0.293179595401605",
"1/3/1979","138.125","-32.9401016235352","373","38.401","21.577","0","3.01775738884741","0.196160274075346",
"1/4/1979","138.125","-32.9401016235352","373","39.694","25.661","0","3.095794618107","0.174898770046346",
"1/5/1979","138.125","-32.9401016235352","373","37.702","23.74","0","3.41010031988311","0.282596589978586",
"1/6/1979","138.125","-32.9401016235352","373","37.099","22.49","0","3.33876383195015","0.320705812877918",
"1/7/1979","138.125","-32.9401016235352","373","35.595","24.434","0","4.08183811835038","0.289712269549806",
"1/8/1979","138.125","-32.9401016235352","373","38.187","23.378","0","2.65209410906341","0.300133188043194",
"1/9/1979","138.125","-32.9401016235352","373","32.778","19.975","0","3.65503604583035","0.461918648500997",
"1/10/1979","138.125","-32.9401016235352","373","32.353","19.261","0","4.66095066056377","0.416533951002194",
"1/11/1979","138.125","-32.9401016235352","373","34.81","18.391","0","3.83869868405303","0.333313534567067",
"1/12/1979","138.125","-32.9401016235352","373","34.851","21.817","0","3.83259233682718","0.284117128961845",
"1/13/1979","138.125","-32.9401016235352","373","40.913","23.372","0","2.52148384955941","0.192274428999045",
"1/14/1979","138.125","-32.9401016235352","373","39.643","26.271","0","4.81509901958764","0.216179590640439",
"1/15/1979","138.125","-32.9401016235352","373","37.786","22.313","0","3.42587917533616","0.27571070203103",
"1/16/1979","138.125","-32.9401016235352","373","34.448","22.501","3.996276048","3.9989725901762","0.429843355800685",
"1/17/1979","138.125","-32.9401016235352","373","28.865","21.363","0.024032592","3.98818810293158","0.60887999451742",
"1/18/1979","138.125","-32.9401016235352","373","32.76","19.644","0","3.01966032778209","0.377777960608947",
"1/19/1979","138.125","-32.9401016235352","373","33.22","24.747","1.210211676","2.9511448437694","0.459921295199053",
"1/20/1979","138.125","-32.9401016235352","373","25.157","17.858","5.542089984","4.77346888627124","0.653483112965135",
"1/21/1979","138.125","-32.9401016235352","373","25.728","14.859","0","6.00100683059144","0.525882689296016",
"1/22/1979","138.125","-32.9401016235352","373","28.665","14.967","0","4.00195099294329","0.490278210337751",
"1/23/1979","138.125","-32.9401016235352","373","33.849","20.422","0","2.60950724442074","0.408591453488957",
"1/24/1979","138.125","-32.9401016235352","373","34.983","24.874","0","2.70554606753011","0.326503197356164",
"1/25/1979","138.125","-32.9401016235352","373","28.837","19.046","0","4.58113806686365","0.47381788065832",
"1/26/1979","138.125","-32.9401016235352","373","27.996","15.134","0","5.26631434238541","0.487203296668183",
"1/27/1979","138.125","-32.9401016235352","373","30.043","15.964","0","4.49237796299411","0.449482203785088",
"1/28/1979","138.125","-32.9401016235352","373","32.621","17.687","0","3.19291989805105","0.316651096595645",
"1/29/1979","138.125","-32.9401016235352","373","34.598","21.899","0","3.60475158109182","0.2898927756143",
"1/30/1979","138.125","-32.9401016235352","373","32.569","20.717","0","3.74559176324745","0.318404446618127",
"1/31/1979","138.125","-32.9401016235352","373","33.868","20.139","0","3.51902636572617","0.327837273992731",
"2/1/1979","138.125","-32.9401016235352","373","36.667","22.949","0","2.02965411099498","0.218737373553756",
"2/2/1979","138.125","-32.9401016235352","373","36.424","26.203","0","3.35880410450224","0.227199720016444",
"2/3/1979","138.125","-32.9401016235352","373","25.488","14.836","0.49438476","6.73189078049712","0.564488389389524",
"2/4/1979","138.125","-32.9401016235352","373","20.197","14.415","0.0858306744","5.56388054113506","0.624851484475353",
"2/5/1979","138.125","-32.9401016235352","373","26.435","12.919","0","4.39402974298351","0.552680273988255",
"2/6/1979","138.125","-32.9401016235352","373","31.186","15.895","0","3.81832782915531","0.439212531178939",
"2/7/1979","138.125","-32.9401016235352","373","33.059","19.33","0","3.85236142680839","0.354230905095954",
"2/8/1979","138.125","-32.9401016235352","373","34.245","21.593","0","3.71423426276101","0.268456629174814",
"2/9/1979","138.125","-32.9401016235352","373","35.457","23.593","0","3.66315656076049","0.227647642712769",
"2/10/1979","138.125","-32.9401016235352","373","37.056","25.818","0","2.55538381824015","0.227059701603347",
"2/11/1979","138.125","-32.9401016235352","373","36.363","27.491","0","3.70740892413748","0.23050117191602",
"2/12/1979","138.125","-32.9401016235352","373","36.598","26.004","0","2.53649079213497","0.212130314467699",
"2/13/1979","138.125","-32.9401016235352","373","34.869","26.285","0","3.06042962895267","0.275454503778559",
"2/14/1979","138.125","-32.9401016235352","373","31.574","21.732","0.0935554104","3.38167303621669","0.452207540800421",
"2/15/1979","138.125","-32.9401016235352","373","26.546","17.542","0.0034332264","4.64492282433921","0.5367410495409",
"2/16/1979","138.125","-32.9401016235352","373","23.823","13.942","0","4.75079938910889","0.516743107539253",
"2/17/1979","138.125","-32.9401016235352","373","26.639","14.755","0","3.16524354031146","0.386352532645573",
"2/18/1979","138.125","-32.9401016235352","373","27.625","16.135","0","3.58811463079243","0.290415387296187",
"2/19/1979","138.125","-32.9401016235352","373","30.832","17.335","0","3.56907042693033","0.349506314350287",
"2/20/1979","138.125","-32.9401016235352","373","26.44","20.966","5.5601087544","3.85291989774809","0.584099187089037",
"2/21/1979","138.125","-32.9401016235352","373","28.525","20.271","3.644372664","4.22184849131","0.694770421917418",
"2/22/1979","138.125","-32.9401016235352","373","30.261","20.198","0","2.9858738570854","0.57461848688421",
"2/23/1979","138.125","-32.9401016235352","373","23.125","17.077","8.74615608","4.1479805033487","0.720679781064328",
"2/24/1979","138.125","-32.9401016235352","373","19.575","15.16","29.8399026384","3.30293554101607","0.790060163214403",
"2/25/1979","138.125","-32.9401016235352","373","22.942","12.399","0.0034332264","2.07406459226942","0.660599194660582",
"2/26/1979","138.125","-32.9401016235352","373","26.234","13.943","0","2.48383926826506","0.489236374495013",
"2/27/1979","138.125","-32.9401016235352","373","30.27","16.694","0","3.00543886257288","0.480399502578369",
"2/28/1979","138.125","-32.9401016235352","373","32.682","19.819","0","2.83559185539151","0.42280785893713",
"3/1/1979","138.125","-32.9401016235352","373","34.406","22.97","0","3.02082028832272","0.340236792476989",
"3/2/1979","138.125","-32.9401016235352","373","26.042","18.786","0.09956358","3.13507341576193","0.56832902881489",
"3/3/1979","138.125","-32.9401016235352","373","23.932","15.865","0","5.35700206176374","0.612568046155174",
"3/4/1979","138.125","-32.9401016235352","373","25.718","13.344","0","4.15903902500909","0.512268438038939",
"3/5/1979","138.125","-32.9401016235352","373","24.074","12.958","0","3.6730776018843","0.582123749252018",
"3/6/1979","138.125","-32.9401016235352","373","19.929","12.371","0","4.77879051992019","0.650731315354352",
"3/7/1979","138.125","-32.9401016235352","373","25.362","11.941","0","3.02358684856453","0.485648736128615",
"3/8/1979","138.125","-32.9401016235352","373","29.167","15.94","0","2.63277838040295","0.320253681473962",
"3/9/1979","138.125","-32.9401016235352","373","29.404","17.551","0","3.05646689125042","0.323264140568838",
"3/10/1979","138.125","-32.9401016235352","373","29.618","16.281","0","2.95624819370988","0.430568555826083",
"3/11/1979","138.125","-32.9401016235352","373","31.777","18.93","0","2.45746347195631","0.317142786914214",
"3/12/1979","138.125","-32.9401016235352","373","32.454","19.585","0","3.19707354933881","0.332079205576462",
"3/13/1979","138.125","-32.9401016235352","373","32.326","19.104","0","3.43723575388909","0.355831613469231",
"3/14/1979","138.125","-32.9401016235352","373","28.418","19.595","0.037765476","3.30410806612693","0.423798181473743",
