"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","150.938003540039","-33.2523994445801","126","32.939","21.195","0","2.20372349940113","0.402904473123441",
"1/2/1979","150.938003540039","-33.2523994445801","126","34.66","17.693","0.461768868","2.74850970925969","0.558528409890095",
"1/3/1979","150.938003540039","-33.2523994445801","126","18.546","16.36","1.4814380304","2.29966335771878","0.824180274768924",
"1/4/1979","150.938003540039","-33.2523994445801","126","24.614","16.265","0.259208712","2.10292016666446","0.745743894760908",
"1/5/1979","150.938003540039","-33.2523994445801","126","32.239","14.606","0.0480651624","2.13514334560637","0.645946235074979",
"1/6/1979","150.938003540039","-33.2523994445801","126","40.664","20.204","0","1.96628735118453","0.463764941022682",
"1/7/1979","150.938003540039","-33.2523994445801","126","37.144","19.553","0","1.53337230013763","0.534426233345451",
"1/8/1979","150.938003540039","-33.2523994445801","126","34.096","17.238","0","1.95727177334652","0.638672110264403",
"1/9/1979","150.938003540039","-33.2523994445801","126","38.941","17.548","0","2.15890368581254","0.462100600609627",
"1/10/1979","150.938003540039","-33.2523994445801","126","40.313","22.126","0","2.33760543667085","0.315690383472955",
"1/11/1979","150.938003540039","-33.2523994445801","126","38.046","18.359","0.4188543768","2.41801286144847","0.63070771452396",
"1/12/1979","150.938003540039","-33.2523994445801","126","26.394","17.215","1.2359626056","2.19389621564193","0.779804817698183",
"1/13/1979","150.938003540039","-33.2523994445801","126","21.597","10.681","0.992202804","1.85038446553886","0.821508900482806",
"1/14/1979","150.938003540039","-33.2523994445801","126","35.388","9.42200000000003","0.0308990592","2.063407899271","0.574039524608197",
"1/15/1979","150.938003540039","-33.2523994445801","126","32.664","18.516","0.3158570664","3.65084687138703","0.492303310131774",
"1/16/1979","150.938003540039","-33.2523994445801","126","21.609","17.852","1.8350600328","1.91229919150653","0.853512550561633",
"1/17/1979","150.938003540039","-33.2523994445801","126","35.786","18.723","3.981685284","1.30204675798533","0.764817188107598",
"1/18/1979","150.938003540039","-33.2523994445801","126","22.451","17.277","14.3714883312","2.58576348933248","0.812111529337369",
"1/19/1979","150.938003540039","-33.2523994445801","126","24.708","13.218","0.5458833576","2.26167682484755","0.774873258738419",
"1/20/1979","150.938003540039","-33.2523994445801","126","26.869","10.813","0.0274658328","1.68507813003422","0.76343009197519",
"1/21/1979","150.938003540039","-33.2523994445801","126","27.955","17.199","0.8291243808","2.40003170361328","0.779182107173252",
"1/22/1979","150.938003540039","-33.2523994445801","126","23.987","17.944","14.209272504","3.63382839393743","0.913922036142951",
"1/23/1979","150.938003540039","-33.2523994445801","126","19.775","17.89","15.04096776","3.0405062746714","0.973535236993254",
