"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","150.311996459961","-33.5646018981934","915","35.305","17.685","0","1.10255167880327","0.362255440634409",
"1/2/1979","150.311996459961","-33.5646018981934","915","38.839","15.185","0.0789642504","2.38584262783708","0.457028085864782",
"1/3/1979","150.311996459961","-33.5646018981934","915","17.84","12.375","0.7244118432","2.0227921819749","0.8374660361652",
"1/4/1979","150.311996459961","-33.5646018981934","915","25.908","13.507","0.295257564","1.9138620888553","0.761099655348177",
"1/5/1979","150.311996459961","-33.5646018981934","915","35.129","13.491","0.0652313448","1.3806298283881","0.626725549290037",
"1/6/1979","150.311996459961","-33.5646018981934","915","39.976","19.898","0","1.68852508549578","0.41492731050473",
"1/7/1979","150.311996459961","-33.5646018981934","915","40.8","18.31","0","0.660759412945219","0.47463494771844",
"1/8/1979","150.311996459961","-33.5646018981934","915","36.895","17.385","0","1.88161603252405","0.478307189836005",
"1/9/1979","150.311996459961","-33.5646018981934","915","38.687","20.325","0","2.31527353966852","0.39039415226206",
"1/10/1979","150.311996459961","-33.5646018981934","915","38.989","21.383","0","2.5462271448819","0.278460284419373",
"1/11/1979","150.311996459961","-33.5646018981934","915","39.584","16.855","0.1081466496","2.02432032265491","0.556367324933868",
"1/12/1979","150.311996459961","-33.5646018981934","915","31.286","15.79","0.199985472","1.91131169514578","0.647846336899222",
"1/13/1979","150.311996459961","-33.5646018981934","915","22.471","11.704","0.39396294","2.08980413850096","0.781800685986591",
"1/14/1979","150.311996459961","-33.5646018981934","915","36.952","12.574","0.0480651624","2.23735758948851","0.494745307208259",
"1/15/1979","150.311996459961","-33.5646018981934","915","35.908","15.702","0.42400386","3.14025122658652","0.423178800392912",
"1/16/1979","150.311996459961","-33.5646018981934","915","24.268","14.97","0.2660751144","2.14176979556316","0.779499512118455",
"1/17/1979","150.311996459961","-33.5646018981934","915","31.793","15.959","3.5894410272","1.54584715068667","0.786936081796688",
"1/18/1979","150.311996459961","-33.5646018981934","915","21.518","13.722","7.1754488784","2.08423599070463","0.839363837821077",
