"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","152.188003540039","-27.6322994232178","261","26.764","15.957","0","3.03695174345369","0.728244009097275",
"1/2/1979","152.188003540039","-27.6322994232178","261","26.588","15.115","0.1253128104","2.0473402050729","0.786207693404657",
"1/3/1979","152.188003540039","-27.6322994232178","261","27.457","12.995","0.0858306744","2.53345719230712","0.737821142741363",
"1/4/1979","152.188003540039","-27.6322994232178","261","28.093","15.671","0.0068664528","3.7763475157046","0.715666879206967",
"1/5/1979","152.188003540039","-27.6322994232178","261","21.808","15.467","0.5398750368","2.86284839455948","0.848286753509442",
"1/6/1979","152.188003540039","-27.6322994232178","261","28.132","14.344","0","2.62187906368468","0.75511267749417",
"1/7/1979","152.188003540039","-27.6322994232178","261","27.185","15.177","0.113296536","2.50461962854038","0.766752722094508",
"1/8/1979","152.188003540039","-27.6322994232178","261","27.342","14.772","0.058364856","2.85880897478244","0.781847837089289",
"1/9/1979","152.188003540039","-27.6322994232178","261","30.153","16.395","0.0858306528","2.78999412726038","0.730491263124463",
"1/10/1979","152.188003540039","-27.6322994232178","261","30.364","17.53","0.1098632664","4.01458488257726","0.72817602077095",
"1/11/1979","152.188003540039","-27.6322994232178","261","30.919","16.167","0.0102996792","3.5257147108012","0.729517384612221",
"1/12/1979","152.188003540039","-27.6322994232178","261","30.635","15.147","0.2712251304","2.00812220338716","0.706284383805322",
"1/13/1979","152.188003540039","-27.6322994232178","261","32.004","13.653","0.0137329056","2.56020785211737","0.679189773686452",
"1/14/1979","152.188003540039","-27.6322994232178","261","31.565","18.664","0.1562118552","2.4706834530952","0.724610458172947",
"1/15/1979","152.188003540039","-27.6322994232178","261","41.037","16.769","0","1.93594108563837","0.620131011054842",
"1/16/1979","152.188003540039","-27.6322994232178","261","31.473","20.829","0","3.40410733047793","0.729614967147576",
"1/17/1979","152.188003540039","-27.6322994232178","261","32.713","20.042","2.7877815648","2.15263133147111","0.783464599427724",
"1/18/1979","152.188003540039","-27.6322994232178","261","30.88","20.454","9.6456533184","1.74650691267025","0.818771779453728",
"1/19/1979","152.188003540039","-27.6322994232178","261","30.691","20.167","1.941489972","2.87203033410713","0.727333264843944",
"1/20/1979","152.188003540039","-27.6322994232178","261","28.326","16.438","0.405979344","3.32299826796317","0.668362408286847",
"1/21/1979","152.188003540039","-27.6322994232178","261","30.342","16.642","0","2.43253687953402","0.653109738513546",
"1/22/1979","152.188003540039","-27.6322994232178","261","27.139","15.763","6.5729148264","2.77502137977685","0.763811206688581",
"1/23/1979","152.188003540039","-27.6322994232178","261","27.848","19.517","25.5621122064","4.14160722495143","0.814775170502832",
"1/24/1979","152.188003540039","-27.6322994232178","261","24.927","19.033","14.1277347","4.06060595107766","0.886387533469591",
"1/25/1979","152.188003540039","-27.6322994232178","261","26.758","19.664","1.162147896","3.025568516688","0.85075576685038",
"1/26/1979","152.188003540039","-27.6322994232178","261","27.999","19.086","0.2059937208","2.39010831372328","0.791186745241266",
"1/27/1979","152.188003540039","-27.6322994232178","261","28.67","18.592","0.4162786344","3.78719108741914","0.755657509168124",
"1/28/1979","152.188003540039","-27.6322994232178","261","24.597","17.631","0.882339516","5.70407182668479","0.755333627903749",
"1/29/1979","152.188003540039","-27.6322994232178","261","24.309","16.92","0.147628764","4.66106014925881","0.745211685239321",
"1/30/1979","152.188003540039","-27.6322994232178","261","27.332","16.583","0.1493453448","4.01799505439852","0.757905733227893",
"1/31/1979","152.188003540039","-27.6322994232178","261","26.827","18.395","0.066089664","3.81583552267314","0.767058227790134",
"2/1/1979","152.188003540039","-27.6322994232178","261","23.05","16.439","0.0892639152","3.77135005601104","0.779467067555176",
"2/2/1979","152.188003540039","-27.6322994232178","261","26.698","16.083","0.3192906024","3.90485886891555","0.730187859193443",
"2/3/1979","152.188003540039","-27.6322994232178","261","27.392","15.117","0.0411987312","3.02908890749815","0.742903903877788",
"2/4/1979","152.188003540039","-27.6322994232178","261","33.44","16.315","0","1.63594436252871","0.588230374140308",
"2/5/1979","152.188003540039","-27.6322994232178","261","29.451","18.779","2.969741988","3.01692882171552","0.692181057146169",
"2/6/1979","152.188003540039","-27.6322994232178","261","24.196","18.015","2.9268277416","3.81340541425425","0.863693077477694",
"2/7/1979","152.188003540039","-27.6322994232178","261","22.439","17.561","6.338593764","3.26301466916837","0.845738436109011",
"2/8/1979","152.188003540039","-27.6322994232178","261","20.526","18.904","3.754236816","4.31771357727429","0.860376274998187",
"2/9/1979","152.188003540039","-27.6322994232178","261","21.728","17.601","18.4707605952","3.29286450157565","0.923585878735117",
"2/10/1979","152.188003540039","-27.6322994232178","261","26.404","17.234","1.15528104","3.6276767748167","0.814946613790551",
"2/11/1979","152.188003540039","-27.6322994232178","261","27.54","15.751","0.2162933568","2.33628037133072","0.778343203228614",
"2/12/1979","152.188003540039","-27.6322994232178","261","28.569","14.371","0.0789642648","1.96018952654527","0.729431729014528",
"2/13/1979","152.188003540039","-27.6322994232178","261","28.464","14.109","0.300407832","1.75313648163974","0.747063059291149",
"2/14/1979","152.188003540039","-27.6322994232178","261","33.281","13.09","0","1.65607503915092","0.70477547346373",
"2/15/1979","152.188003540039","-27.6322994232178","261","34.623","17.596","0","2.23388551357876","0.656514479821421",
"2/16/1979","152.188003540039","-27.6322994232178","261","29.155","19.499","3.992843808","2.79127257922492","0.802707935049448",
"2/17/1979","152.188003540039","-27.6322994232178","261","22.732","16.75","1.227378888","3.42188607878128","0.848903131568047",
"2/18/1979","152.188003540039","-27.6322994232178","261","24.704","14.99","0","3.77743320113601","0.737530400325692",
"2/19/1979","152.188003540039","-27.6322994232178","261","26.449","15.71","0.41027058","4.32733947063251","0.722761640086049",
"2/20/1979","152.188003540039","-27.6322994232178","261","24.305","16.541","1.0505679624","5.78751668278385","0.747621872553503",
"2/21/1979","152.188003540039","-27.6322994232178","261","26.356","17.284","0","5.64447203778296","0.668917089272912",
