"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","150.625","-27.3199996948242","390","33.088","21.373","0","2.69332378453655","0.417989560346662",
"1/2/1979","150.625","-27.3199996948242","390","32.817","17.753","0","2.79898992075654","0.528324191125724",
"1/3/1979","150.625","-27.3199996948242","390","33.401","16.498","0","3.59595868116151","0.510436900423183",
"1/4/1979","150.625","-27.3199996948242","390","33.259","17.573","0","4.1773959469409","0.514295502480339",
"1/5/1979","150.625","-27.3199996948242","390","30.395","18.378","0","4.30289718821557","0.615185785997859",
"1/6/1979","150.625","-27.3199996948242","390","35.285","16.233","0","2.52094039541073","0.534293996484701",
"1/7/1979","150.625","-27.3199996948242","390","34.046","16.384","0","3.00834324220979","0.546741525148565",
"1/8/1979","150.625","-27.3199996948242","390","33.37","16.496","0","3.30107981882532","0.571900617958662",
"1/9/1979","150.625","-27.3199996948242","390","35.326","17.527","0.214576884","2.83800448880192","0.540385579843585",
"1/10/1979","150.625","-27.3199996948242","390","36.435","16.664","0","4.06423012226629","0.513307651594193",
"1/11/1979","150.625","-27.3199996948242","390","35.525","19.267","0","4.10421809436335","0.487116103050396",
"1/12/1979","150.625","-27.3199996948242","390","35.98","16.525","0","2.67777856559729","0.509188986639704",
"1/13/1979","150.625","-27.3199996948242","390","38.635","19.386","0","3.51133470653389","0.513810788102816",
"1/14/1979","150.625","-27.3199996948242","390","36.224","19.509","0","3.03124984479389","0.448300682450588",
"1/15/1979","150.625","-27.3199996948242","390","45.043","21.437","0","2.3531946091583","0.439460898714054",
"1/16/1979","150.625","-27.3199996948242","390","41.294","24.824","0","3.78929227735479","0.409489883093284",
"1/17/1979","150.625","-27.3199996948242","390","36.952","24.51","0.0308990304","3.56665706416931","0.552927204493263",
"1/18/1979","150.625","-27.3199996948242","390","36.924","23.759","0.3244401288","2.78719552244819","0.648397924345821",
"1/19/1979","150.625","-27.3199996948242","390","35.068","22.247","1.7895697992","2.35999516077546","0.607493608769146",
"1/20/1979","150.625","-27.3199996948242","390","32.591","19.44","0.0102996792","2.86173095536271","0.53432459160734",
"1/21/1979","150.625","-27.3199996948242","390","32.882","19.768","0","2.34220149915047","0.493174020677508",
"1/22/1979","150.625","-27.3199996948242","390","32.907","19.653","3.403188576","3.11544979127747","0.602616969171666",
"1/23/1979","150.625","-27.3199996948242","390","30.358","19.941","10.028458656","3.39480053543062","0.711018376697627",
"1/24/1979","150.625","-27.3199996948242","390","30.011","20.414","21.3271925472","4.59311583858951","0.717890131910311",
"1/25/1979","150.625","-27.3199996948242","390","31.275","21.702","0.2849579856","3.10873134703032","0.669589853969484",
"1/26/1979","150.625","-27.3199996948242","390","31.301","20.159","0","2.23938827352329","0.603670345868216",
"1/27/1979","150.625","-27.3199996948242","390","32.4","21.228","0","3.69609897638468","0.557829149331067",
"1/28/1979","150.625","-27.3199996948242","390","30.049","18.931","0.017166132","5.36016561863872","0.580644436744758",
"1/29/1979","150.625","-27.3199996948242","390","30.43","18.265","0","4.45198199042531","0.58844154820826",
"1/30/1979","150.625","-27.3199996948242","390","32.455","16.925","0","3.63616142316127","0.576860798137651",
"1/31/1979","150.625","-27.3199996948242","390","28.657","19.797","0.0034332264","3.82004527765574","0.617094637706614",
"2/1/1979","150.625","-27.3199996948242","390","30.258","19.32","0","4.12592731984068","0.547602843641628",
"2/2/1979","150.625","-27.3199996948242","390","30.879","16.746","0.0308990304","2.93539014805996","0.598838958223263",
"2/3/1979","150.625","-27.3199996948242","390","36.189","14.902","0.0240325992","2.04420404261433","0.551759339540204",
"2/4/1979","150.625","-27.3199996948242","390","34.764","18.805","0","2.64990547235106","0.478724848993105",
"2/5/1979","150.625","-27.3199996948242","390","32.108","21.327","0.461769084","2.78990705663385","0.490628901551331",
"2/6/1979","150.625","-27.3199996948242","390","28.806","19.173","0.75530898","3.86854987759864","0.600190248554373",
"2/7/1979","150.625","-27.3199996948242","390","26.565","18.177","2.6641865304","3.30625832299975","0.637102782336047",
"2/8/1979","150.625","-27.3199996948242","390","20.931","18.619","7.3453906944","2.98658345371069","0.796229628538451",
"2/9/1979","150.625","-27.3199996948242","390","29.221","17.684","3.7954306656","3.54682961969409","0.792643485747377",
"2/10/1979","150.625","-27.3199996948242","390","30.823","17.975","1.3861660608","3.28821111071614","0.659325173794798",
