"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","151.875","-27.6322994232178","604","27.194","16.599","0","3.52098531127615","0.691436410741213",
"1/2/1979","151.875","-27.6322994232178","604","27.297","15.556","0.1304626464","2.64584409221883","0.74483458877866",
"1/3/1979","151.875","-27.6322994232178","604","27.873","14.221","0.0583648488","3.32233245973062","0.698418635427229",
"1/4/1979","151.875","-27.6322994232178","604","28.423","15.858","0.0102996792","4.66185959554224","0.685561894582276",
"1/5/1979","151.875","-27.6322994232178","604","22.303","15.645","0.3776551704","3.663036850202","0.82852709248823",
"1/6/1979","151.875","-27.6322994232178","604","28.831","14.045","0","3.20451520328188","0.719746244245332",
"1/7/1979","151.875","-27.6322994232178","604","27.953","15.318","0.14076234","3.02730269054424","0.737008562598404",
"1/8/1979","151.875","-27.6322994232178","604","27.778","14.805","0.084114072","3.5399678366562","0.755203583943552",
"1/9/1979","151.875","-27.6322994232178","604","30.664","16.268","0.0755310168","3.49957416974031","0.688995446042968",
"1/10/1979","151.875","-27.6322994232178","604","30.956","17.05","0.07209774","4.75979611636974","0.684832062601446",
"1/11/1979","151.875","-27.6322994232178","604","31.306","17.312","0.0102996792","4.43185409913598","0.681064831127902",
"1/12/1979","151.875","-27.6322994232178","604","31.25","16.278","0.2360343744","2.67014148590917","0.661194488209694",
"1/13/1979","151.875","-27.6322994232178","604","32.872","14.714","0","3.07516212678096","0.651200083896126",
"1/14/1979","151.875","-27.6322994232178","604","32.724","18.85","0.1132965504","2.89146110172195","0.668178673032819",
"1/15/1979","151.875","-27.6322994232178","604","41.266","17.726","0","2.0391545876925","0.571529023739891",
"1/16/1979","151.875","-27.6322994232178","604","32.93","21.36","0","4.02521012946746","0.669579309715554",
"1/17/1979","151.875","-27.6322994232178","604","33.084","20.657","7.2904619664","2.72434345641715","0.769305005576625",
"1/18/1979","151.875","-27.6322994232178","604","30.34","21.048","10.9640109096","2.0259038774087","0.811271345191997",
"1/19/1979","151.875","-27.6322994232178","604","30.382","19.806","1.621341936","3.21971748079166","0.711678347501784",
"1/20/1979","151.875","-27.6322994232178","604","27.919","16.329","0.507259656","3.48033956932325","0.657072402634904",
"1/21/1979","151.875","-27.6322994232178","604","30.332","15.718","0","2.27613250656324","0.646780788509891",
"1/22/1979","151.875","-27.6322994232178","604","27.325","15.466","6.806373552","2.75429603687816","0.75475415946697",
"1/23/1979","151.875","-27.6322994232178","604","28.131","19.228","21.1623935688","4.26231696686898","0.795945303646428",
"1/24/1979","151.875","-27.6322994232178","604","25.646","18.678","16.285522032","4.96012621116551","0.84704890881093",
"1/25/1979","151.875","-27.6322994232178","604","27.471","19.395","0.2901076632","3.77322634651742","0.807750891261328",
"1/26/1979","151.875","-27.6322994232178","604","28.282","19.364","0.1862526024","2.86624487006134","0.748334921411449",
"1/27/1979","151.875","-27.6322994232178","604","28.875","18.644","0.3089905344","4.41555120077722","0.720696621791821",
"1/28/1979","151.875","-27.6322994232178","604","24.708","16.949","0.5235673104","6.43641933025416","0.729174316284047",
"1/29/1979","151.875","-27.6322994232178","604","25.049","16.406","0.1201629528","5.48186473594286","0.725837703629712",
"1/30/1979","151.875","-27.6322994232178","604","27.99","15.669","0.00686646","4.78142284594482","0.720284269851523",
"1/31/1979","151.875","-27.6322994232178","604","26.96","18.461","0.093555432","4.62525888279503","0.731629013853071",
"2/1/1979","151.875","-27.6322994232178","604","23.809","16.416","0.017166132","4.69396269523563","0.733803769843257",
"2/2/1979","151.875","-27.6322994232178","604","27.114","15.759","0.1630783728","4.51236498152806","0.704568404214904",
"2/3/1979","151.875","-27.6322994232178","604","28.277","15.175","0.0068664528","3.5289893162065","0.701993541409436",
"2/4/1979","151.875","-27.6322994232178","604","32.614","15.378","0","1.92185902485338","0.55013220610779",
"2/5/1979","151.875","-27.6322994232178","604","29.931","18.764","1.938055428","3.45692745318938","0.629035798315644",
"2/6/1979","151.875","-27.6322994232178","604","24.921","17.618","2.5217032536","4.5576937890945","0.803574834094162",
"2/7/1979","151.875","-27.6322994232178","604","23.95","17.149","7.2209347704","3.98876690653974","0.803312295126606",
"2/8/1979","151.875","-27.6322994232178","604","20.325","18.552","2.746580184","4.60298740587851","0.834738605913774",
"2/9/1979","151.875","-27.6322994232178","604","22.005","17.112","17.1223618968","3.70260894122051","0.899472728431931",
"2/10/1979","151.875","-27.6322994232178","604","26.548","16.978","0.9441374256","4.25344348916056","0.787596415848604",
"2/11/1979","151.875","-27.6322994232178","604","28.062","16.603","0.1579284504","2.87271427367915","0.735469467160649",
"2/12/1979","151.875","-27.6322994232178","604","29.35","15.471","0.0789642504","2.55542194778618","0.683302827618939",
"2/13/1979","151.875","-27.6322994232178","604","28.917","15.119","0.312424092","2.40746778479502","0.703950375359146",
"2/14/1979","151.875","-27.6322994232178","604","35.267","13.932","0","1.81919244012862","0.646239236156386",
"2/15/1979","151.875","-27.6322994232178","604","35.138","18.422","0","2.406139566219","0.607186676938558",
"2/16/1979","151.875","-27.6322994232178","604","28.977","19.255","5.620196664","3.05302189540339","0.802724027399095",
"2/17/1979","151.875","-27.6322994232178","604","23.367","16.505","0.7141120056","4.09792868157701","0.836138283335077",
"2/18/1979","151.875","-27.6322994232178","604","25.081","14.902","0","4.70948661246011","0.722280489777182",
"2/19/1979","151.875","-27.6322994232178","604","26.596","15.236","0.00686646","5.24188626674045","0.69946733878024",
"2/20/1979","151.875","-27.6322994232178","604","24.914","16.918","0.0858306888","7.04139240276548","0.717466304202254",
"2/21/1979","151.875","-27.6322994232178","604","26.583","16.68","0","6.58686083207839","0.648586552214412",
"2/22/1979","151.875","-27.6322994232178","604","26.97","15.345","0","4.99604257848709","0.647028533790462",
"2/23/1979","151.875","-27.6322994232178","604","25.821","13.781","0.025749216","3.36761333763802","0.762999869967164",
"2/24/1979","151.875","-27.6322994232178","604","23.356","15.744","1.1535642","3.01428944056654","0.841380645735902",
"2/25/1979","151.875","-27.6322994232178","604","25.288","15.154","0.0480651624","4.03608604989476","0.756499697586683",
"2/26/1979","151.875","-27.6322994232178","604","26.34","15.476","0.0171661392","2.97591406118992","0.713972700174091",
"2/27/1979","151.875","-27.6322994232178","604","31.607","10.951","0","1.89000223773987","0.641520177578585",
"2/28/1979","151.875","-27.6322994232178","604","30.073","16.644","0.2265934104","3.87419811039922","0.705240415716345",
"3/1/1979","151.875","-27.6322994232178","604","22.262","18.124","1.3398166584","4.34247722757689","0.84925550633259",
"3/2/1979","151.875","-27.6322994232178","604","28.808","16.348","0.1956938904","3.10672393228814","0.743477136489491",
"3/3/1979","151.875","-27.6322994232178","604","32.117","17.284","0.1922607288","2.13068443075671","0.639415960116193",
"3/4/1979","151.875","-27.6322994232178","604","25.506","18.229","53.98410132","2.6035181233913","0.858877455981368",
"3/5/1979","151.875","-27.6322994232178","604","24.944","16.333","35.2111729464","1.57839533107967","0.873236224799929",
"3/6/1979","151.875","-27.6322994232178","604","29.719","16.293","0.0308990664","1.72244319681576","0.679703447242931",
"3/7/1979","151.875","-27.6322994232178","604","31.149","13.108","0.00686646","1.65199928426978","0.573071406604252",
"3/8/1979","151.875","-27.6322994232178","604","26.847","16.706","0.2265931008","3.01574028974758","0.764949290973181",
"3/9/1979","151.875","-27.6322994232178","604","30.129","16.944","0.0789642504","2.15634383625999","0.75896110085887",
"3/10/1979","151.875","-27.6322994232178","604","25.429","15.196","0.1098632952","3.02542080902962","0.735735198885885",
"3/11/1979","151.875","-27.6322994232178","604","24.257","12.336","0","3.69119256831625","0.747259443399803",
"3/12/1979","151.875","-27.6322994232178","604","27.355","13.306","0","3.47730173750302","0.733565184691802",
"3/13/1979","151.875","-27.6322994232178","604","26.378","16.191","0.0686645784","2.32049759634464","0.745058435413133",
