"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","150.938003540039","-33.5646018981934","98","32.644","22.013","0","2.6127716974762","0.41669985333419",
"1/2/1979","150.938003540039","-33.5646018981934","98","32.316","18.14","0.24375942","2.88084163012318","0.557387370331694",
"1/3/1979","150.938003540039","-33.5646018981934","98","18.767","16.806","1.4694210864","2.21831284550495","0.810223938744626",
"1/4/1979","150.938003540039","-33.5646018981934","98","24.855","16.442","0.1235961648","2.2125013711716","0.717398016900548",
"1/5/1979","150.938003540039","-33.5646018981934","98","31.716","16","0.0102996792","2.64954370163083","0.633354391430091",
"1/6/1979","150.938003540039","-33.5646018981934","98","40.254","20.91","0","2.13009864666079","0.474177684185892",
"1/7/1979","150.938003540039","-33.5646018981934","98","36.343","21.052","0.017166132","1.88771930609226","0.566512354860306",
"1/8/1979","150.938003540039","-33.5646018981934","98","33.707","20.775","0.0514984104","2.02177687336743","0.652223011521854",
"1/9/1979","150.938003540039","-33.5646018981934","98","38.816","19.963","0","2.45943488066218","0.479198604660793",
"1/10/1979","150.938003540039","-33.5646018981934","98","40.772","22.765","0","2.81137165527164","0.336813057237684",
"1/11/1979","150.938003540039","-33.5646018981934","98","37.18","19.265","0.922680252","2.63900734287537","0.66519151429977",
"1/12/1979","150.938003540039","-33.5646018981934","98","26.39","18","0.7862090904","2.20722086686203","0.741897262856037",
"1/13/1979","150.938003540039","-33.5646018981934","98","20.92","12.107","0.6754878","1.61729328426592","0.792438282653912",
"1/14/1979","150.938003540039","-33.5646018981934","98","35.082","13.325","0","2.44913194673522","0.567314923898821",
"1/15/1979","150.938003540039","-33.5646018981934","98","30.793","19.003","0.365638608","3.6955639615452","0.486954713670502",
"1/16/1979","150.938003540039","-33.5646018981934","98","22.537","18.469","1.3732920792","2.08453429590887","0.800930587009479",
"1/17/1979","150.938003540039","-33.5646018981934","98","34.09","19.293","3.2958967608","1.42765326481433","0.76061374413955",
"1/18/1979","150.938003540039","-33.5646018981934","98","23.341","17.672","10.9485691992","2.61027305422425","0.782157680796621",
