"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","150.625","-33.5646018981934","1","35.291","20.713","0","1.17689875519861","0.368669892986102",
"1/2/1979","150.625","-33.5646018981934","1","36.096","16.765","0.183677652","2.18127149851433","0.497449400718481",
"1/3/1979","150.625","-33.5646018981934","1","17.832","14.826","0.705528288","1.6632775896459","0.822995254231708",
"1/4/1979","150.625","-33.5646018981934","1","25.683","13.265","0.09956358","1.71392004386353","0.750033294366615",
"1/5/1979","150.625","-33.5646018981934","1","34.134","14.154","0.0308990592","1.66023125109936","0.631982634171308",
"1/6/1979","150.625","-33.5646018981934","1","41.914","19.542","0","1.47787089143996","0.439838320058682",
"1/7/1979","150.625","-33.5646018981934","1","39.642","19.768","0","1.1959482042061","0.507834728035349",
"1/8/1979","150.625","-33.5646018981934","1","36.564","19.02","0","1.75920696157799","0.578872248903183",
"1/9/1979","150.625","-33.5646018981934","1","40.197","19.245","0","1.85513281444873","0.446847966345752",
"1/10/1979","150.625","-33.5646018981934","1","41.394","20.717","0","2.23175462395329","0.302701895641188",
"1/11/1979","150.625","-33.5646018981934","1","40.374","18.316","0.6471635544","1.84823434697662","0.606657779012592",
"1/12/1979","150.625","-33.5646018981934","1","29.126","17.098","0.43086996","1.97680813049432","0.695770205670489",
"1/13/1979","150.625","-33.5646018981934","1","21.561","11.269","0.4145622624","1.54509883745188","0.794088218091084",
"1/14/1979","150.625","-33.5646018981934","1","37.613","12.718","0.0137329056","1.85748490725942","0.524483447985315",
"1/15/1979","150.625","-33.5646018981934","1","33.166","17.493","0.3673556424","3.07815366479302","0.447191512556127",
"1/16/1979","150.625","-33.5646018981934","1","23.557","16.18","0.3519060624","1.73365562394536","0.795388050465138",
"1/17/1979","150.625","-33.5646018981934","1","34.182","16.828","3.2306690448","1.10305130527746","0.770442135621597",
"1/18/1979","150.625","-33.5646018981934","1","22.968","14.849","8.62599132","1.89364537612895","0.812942885757477",
"1/19/1979","150.625","-33.5646018981934","1","25.782","11.606","0.0274658112","1.89620533140108","0.747230389599578",
"1/20/1979","150.625","-33.5646018981934","1","27.797","12.331","0","1.72266253532517","0.746502562563308",
"1/21/1979","150.625","-33.5646018981934","1","29.351","16.628","1.1312482824","2.30145005408147","0.74002932101214",
"1/22/1979","150.625","-33.5646018981934","1","24.438","17.061","8.837990784","3.01435408197465","0.871164288000788",
"1/23/1979","150.625","-33.5646018981934","1","18.277","16.832","9.82761372","2.56706299992472","0.971807811224039",
"1/24/1979","150.625","-33.5646018981934","1","27.484","17.745","1.2136465008","1.66116294805517","0.829146665560955",
"1/25/1979","150.625","-33.5646018981934","1","32.875","19.974","0.303841188","1.04821614962946","0.714527683825599",
"1/26/1979","150.625","-33.5646018981934","1","32.714","18.397","2.101995","1.87862902496179","0.701390010897573",
"1/27/1979","150.625","-33.5646018981934","1","19.436","14.278","1.206778644","1.76196511102823","0.847321488048733",
"1/28/1979","150.625","-33.5646018981934","1","18.635","12.873","2.7791979624","1.64831544644531","0.888565091000264",
"1/29/1979","150.625","-33.5646018981934","1","23.679","13.381","0.0446319576","1.58152851643328","0.783722449112594",
"1/30/1979","150.625","-33.5646018981934","1","28.02","12.552","0","1.67906584046391","0.711449010143401",
"1/31/1979","150.625","-33.5646018981934","1","29.507","11.631","0.0205993584","1.43350249822258","0.761555427510295",
"2/1/1979","150.625","-33.5646018981934","1","29.501","13.064","0","1.51767841130465","0.730802268739447",
"2/2/1979","150.625","-33.5646018981934","1","28.401","10.84","0","1.61899763313436","0.716129299951448",
"2/3/1979","150.625","-33.5646018981934","1","29.4","12.66","0.0034332264","1.85762840497666","0.66294930272703",
"2/4/1979","150.625","-33.5646018981934","1","24.284","17.667","1.733779656","1.66801466018848","0.662097716300185",
"2/5/1979","150.625","-33.5646018981934","1","23.324","12.342","0.818825112","1.90450499477841","0.776549498998434",
"2/6/1979","150.625","-33.5646018981934","1","23.736","12.228","0.024032592","1.69687273769238","0.765588676715844",
"2/7/1979","150.625","-33.5646018981934","1","26.544","12.448","0.0343322856","1.71012349281261","0.739448133863585",
"2/8/1979","150.625","-33.5646018981934","1","27.773","11.991","0.127029384","1.64758619225255","0.775642758581322",
"2/9/1979","150.625","-33.5646018981934","1","27.638","11.957","0.1733779728","1.70363532581508","0.769030996163656",
"2/10/1979","150.625","-33.5646018981934","1","32.564","15.114","0","1.78949887409719","0.60458989317812",
"2/11/1979","150.625","-33.5646018981934","1","38.774","18.99","0","1.52356102211535","0.405988386001442",
"2/12/1979","150.625","-33.5646018981934","1","38.828","14.715","0.108146592","1.53354618273622","0.587052997013988",
"2/13/1979","150.625","-33.5646018981934","1","39.715","18.854","0.3398898528","2.08283902235123","0.499975000178376",
"2/14/1979","150.625","-33.5646018981934","1","32.412","16.374","0","1.60219123480496","0.58491409941153",
"2/15/1979","150.625","-33.5646018981934","1","34.416","20.623","0.0205993584","2.92770353478958","0.374650559670481",
"2/16/1979","150.625","-33.5646018981934","1","26.975","8.92899999999997","0","1.84536834574179","0.365586469458065",
"2/17/1979","150.625","-33.5646018981934","1","23.212","6.81599999999997","0","1.69925331570888","0.683964679204997",
"2/18/1979","150.625","-33.5646018981934","1","23.059","6.75","0","1.57382439562145","0.758087670834166",
"2/19/1979","150.625","-33.5646018981934","1","22.808","7.56900000000002","0.684929484","1.71934934568289","0.815350805206343",
"2/20/1979","150.625","-33.5646018981934","1","24.651","14.341","4.0529227248","1.87580268603133","0.834100388247076",
"2/21/1979","150.625","-33.5646018981934","1","25.957","12.111","0.8213996664","1.65889917440721","0.758387376127247",
"2/22/1979","150.625","-33.5646018981934","1","27.82","13.006","0.0343322784","1.57187538812336","0.72806179445436",
"2/23/1979","150.625","-33.5646018981934","1","31.244","13.539","0","1.45133082530396","0.690509728507623",
"2/24/1979","150.625","-33.5646018981934","1","28.996","12.431","0","1.59393751288984","0.764914824861768",
"2/25/1979","150.625","-33.5646018981934","1","30.96","13.398","0.0892639512","1.24582539548827","0.691231237740961",
"2/26/1979","150.625","-33.5646018981934","1","37.557","18.091","0","1.19020579336348","0.472660404216942",
"2/27/1979","150.625","-33.5646018981934","1","31.255","14.611","0.338173308","1.68638343796595","0.602918921252417",
"2/28/1979","150.625","-33.5646018981934","1","19.999","15.937","2.5131225744","1.39639337717828","0.885699137033021",
"3/1/1979","150.625","-33.5646018981934","1","23.011","14.388","1.45568682","1.2769583212291","0.836936496216216",
"3/2/1979","150.625","-33.5646018981934","1","30.089","17.914","6.1386092784","1.48262594023426","0.843670844282895",
"3/3/1979","150.625","-33.5646018981934","1","30.672","16.017","21.457672308","1.69882544233337","0.858531425265338",
"3/4/1979","150.625","-33.5646018981934","1","16.802","14.641","6.718823064","2.35109151511478","0.957298983115081",
"3/5/1979","150.625","-33.5646018981934","1","25.664","12.87","0.511550784","1.2011310870806","0.797383264168735",
"3/6/1979","150.625","-33.5646018981934","1","28.555","11.361","0.017166132","1.65273049435417","0.555334656632055",
"3/7/1979","150.625","-33.5646018981934","1","21.683","11.244","0.168228144","1.8153236698298","0.666758468310088",
"3/8/1979","150.625","-33.5646018981934","1","23.697","11.507","0.0068664528","1.5855627983683","0.751527001721367",
"3/9/1979","150.625","-33.5646018981934","1","27.446","11.784","0","1.40588782330804","0.736372666503164",
"3/10/1979","150.625","-33.5646018981934","1","24.263","10.026","0","1.47664519252029","0.769394796143696",
"3/11/1979","150.625","-33.5646018981934","1","25.088","9.51900000000001","0","1.51027640572579","0.775913068200006",
"3/12/1979","150.625","-33.5646018981934","1","23.878","10.437","0.1167297408","1.33081621087367","0.828998001981087",
"3/13/1979","150.625","-33.5646018981934","1","26.129","12.888","0.034332264","1.44846456984189","0.793929449022536",
"3/14/1979","150.625","-33.5646018981934","1","20.945","16.974","2.853015192","1.34546935192791","0.9017566987495",
"3/15/1979","150.625","-33.5646018981934","1","22.532","15.513","9.2731510224","1.13313364019123","0.926857170049509",
"3/16/1979","150.625","-33.5646018981934","1","24.425","15.676","6.4767874464","1.44904913823624","0.884016727153618",
"3/17/1979","150.625","-33.5646018981934","1","21.713","14.196","10.8661644792","1.19351873246439","0.932048091352273",
"3/18/1979","150.625","-33.5646018981934","1","17.907","15.336","4.6588940424","2.19037958717138","0.95753523510655",
"3/19/1979","150.625","-33.5646018981934","1","19.987","15.508","2.030753844","1.86986256359567","0.919099785582233",
"3/20/1979","150.625","-33.5646018981934","1","25.373","13.974","0.157928544","1.21740330129692","0.795562691279395",
"3/21/1979","150.625","-33.5646018981934","1","31.418","14.582","0","1.70856940716883","0.629127432718449",
"3/22/1979","150.625","-33.5646018981934","1","26.303","14.416","0.52185042","1.64825986503301","0.761266684033466",
"3/23/1979","150.625","-33.5646018981934","1","30.702","18.93","0.50811732","2.68589864106311","0.563959582659753",
"3/24/1979","150.625","-33.5646018981934","1","23.365","11.539","0","2.34093981194761","0.455374424239703",
"3/25/1979","150.625","-33.5646018981934","1","19.928","9.286","0","2.23075124878617","0.658355977301701",
"3/26/1979","150.625","-33.5646018981934","1","23.721","10.686","0.024032592","1.53777974878258","0.742472869123894",
"3/27/1979","150.625","-33.5646018981934","1","29.051","11.975","0","1.92958852083076","0.551423941842666",
"3/28/1979","150.625","-33.5646018981934","1","19.8","14.6","2.2762296","2.42777234663042","0.688356321348532",
"3/29/1979","150.625","-33.5646018981934","1","16.2","7.47699999999998","2.5062556392","1.62122101032015","0.919977344275465",
"3/30/1979","150.625","-33.5646018981934","1","21.497","9.34100000000001","1.4831542296","1.03355543867238","0.829546099052165",
"3/31/1979","150.625","-33.5646018981934","1","24.193","6.93900000000002","0","1.23662549096586","0.741571784986915",
"4/1/1979","150.625","-33.5646018981934","1","21.802","13.558","0.9887693184","1.61458046365424","0.756796794499559",
"4/2/1979","150.625","-33.5646018981934","1","27.819","13.184","0.267791832","1.79214681584323","0.630893081360948",
"4/3/1979","150.625","-33.5646018981934","1","30.709","13.167","0","2.57267555311581","0.472895793103325",
"4/4/1979","150.625","-33.5646018981934","1","25.896","8.14800000000002","0","0.9142102215775","0.570079528006972",
"4/5/1979","150.625","-33.5646018981934","1","28.334","7.15899999999999","0","1.61520088457101","0.491037070370519",
"4/6/1979","150.625","-33.5646018981934","1","23.913","11.851","0","2.0479152470971","0.466837027017194",
"4/7/1979","150.625","-33.5646018981934","1","23.23","9.83199999999999","0","1.58205704054743","0.633090868918297",
"4/8/1979","150.625","-33.5646018981934","1","25.056","8.27499999999998","0","1.23692161143036","0.618925141032554",
"4/9/1979","150.625","-33.5646018981934","1","16.586","10.471","2.015304984","1.51996488129506","0.83288143781128",
"4/10/1979","150.625","-33.5646018981934","1","20.525","8.09199999999998","0.0755310384","1.93891740433257","0.683943181645866",
"4/11/1979","150.625","-33.5646018981934","1","19.848","4.31999999999999","0","1.44745569237096","0.605788476352496",
"4/12/1979","150.625","-33.5646018981934","1","19.549","4.88900000000001","0","1.17460505778497","0.755272684397318",
"4/13/1979","150.625","-33.5646018981934","1","20.924","4.74000000000001","0","1.31485405706228","0.761951846174044",
"4/14/1979","150.625","-33.5646018981934","1","25.13","9.36099999999999","0","1.41413654234715","0.725037011263301",
"4/15/1979","150.625","-33.5646018981934","1","25.912","9.01999999999998","0.1373291064","0.928273058165827","0.683293406647852",
"4/16/1979","150.625","-33.5646018981934","1","22.843","5.03199999999998","0","1.10428216280647","0.786126037366536",
"4/17/1979","150.625","-33.5646018981934","1","22.182","5.84500000000003","0.02746584","1.30993013669342","0.759458488492787",
"4/18/1979","150.625","-33.5646018981934","1","19.151","11","2.60925552","1.53599233643249","0.725754551811295",
"4/19/1979","150.625","-33.5646018981934","1","16.76","10.016","0","2.70584299035239","0.609125061855283",
"4/20/1979","150.625","-33.5646018981934","1","19.712","9.11200000000002","0","2.37043156857796","0.594157220853126",
"4/21/1979","150.625","-33.5646018981934","1","26.881","12.534","0","2.29045751637081","0.431028450101512",
"4/22/1979","150.625","-33.5646018981934","1","26.087","17.603","0","2.16404714246045","0.434550662007977",
"4/23/1979","150.625","-33.5646018981934","1","17.025","11.274","3.3954672024","1.53048681818868","0.806473097264324",
"4/24/1979","150.625","-33.5646018981934","1","20.253","4.76600000000002","0","1.47131474809036","0.68069200142477",
"4/25/1979","150.625","-33.5646018981934","1","21.755","4.09199999999998","1.084901112","1.17531577515136","0.785170167752293",
"4/26/1979","150.625","-33.5646018981934","1","20.822","13.349","6.959151036","1.57993021143935","0.863634035534238",
"4/27/1979","150.625","-33.5646018981934","1","19.663","11.378","0.55274976","1.61437104639532","0.840287218009709",
"4/28/1979","150.625","-33.5646018981934","1","17.401","8.846","0.326156256","1.31475859377047","0.862898867852213",
"4/29/1979","150.625","-33.5646018981934","1","17.907","7.18000000000001","0.024032592","1.49006108513938","0.787679892321418",
"4/30/1979","150.625","-33.5646018981934","1","17.569","10.015","0.2574921744","1.89940369550633","0.834510291949113",
"5/1/1979","150.625","-33.5646018981934","1","14.893","11.25","11.614606848","1.72829237657363","0.951468068652515",
"5/2/1979","150.625","-33.5646018981934","1","21.851","10.684","0.02746584","1.50268307842837","0.863544573211907",
"5/3/1979","150.625","-33.5646018981934","1","25.23","11.229","1.19819772","1.96810546397376","0.681652322565103",
"5/4/1979","150.625","-33.5646018981934","1","15.827","9.435","20.51010486","1.75872898601022","0.960904105675022",
"5/5/1979","150.625","-33.5646018981934","1","13.157","9.82100000000003","4.734421416","2.53717904732316","0.955192310570938",
"5/6/1979","150.625","-33.5646018981934","1","12.01","10.882","2.9233926","2.00139403478901","0.943514536202974",
"5/7/1979","150.625","-33.5646018981934","1","11.565","10.47","27.65121516","2.60817559748588","0.97741356690479",
"5/8/1979","150.625","-33.5646018981934","1","12.3","10.163","0.5905152072","2.59206604774241","0.853480499121587",
"5/9/1979","150.625","-33.5646018981934","1","16.882","8.60500000000002","0.1905441624","2.14739560002745","0.764007512269882",
"5/10/1979","150.625","-33.5646018981934","1","18.345","7.19","0.33988914","1.66037526203269","0.708887621302444",
"5/11/1979","150.625","-33.5646018981934","1","11.24","6.79700000000003","0.0274658184","3.33164931536435","0.60634157427574",
"5/12/1979","150.625","-33.5646018981934","1","16.611","5.416","0","1.99713465659844","0.672552387486209",
"5/13/1979","150.625","-33.5646018981934","1","16.242","4.88","0","1.70413009022758","0.721325641332437",
"5/14/1979","150.625","-33.5646018981934","1","14.11","5.85399999999999","0.0514984464","1.1543888726831","0.743893261627847",
"5/15/1979","150.625","-33.5646018981934","1","14.396","5.81599999999997","0","1.73825597774965","0.787431341526034",
"5/16/1979","150.625","-33.5646018981934","1","15.988","1.72899999999998","0.0514984464","1.25604245842286","0.802915715025184",
"5/17/1979","150.625","-33.5646018981934","1","16.643","2.67200000000003","0","1.38275737023983","0.809135003144339",
"5/18/1979","150.625","-33.5646018981934","1","15.003","4.08800000000002","0","1.56164822107937","0.734696656851434",
"5/19/1979","150.625","-33.5646018981934","1","16.804","5.39800000000002","0.017166132","1.35778456595963","0.833022150497676",
"5/20/1979","150.625","-33.5646018981934","1","13.63","8.89999999999998","0.683212464","1.62836367955307","0.858170235438814",
"5/21/1979","150.625","-33.5646018981934","1","14.696","8.82400000000001","1.8470770992","1.79950899549616","0.877541894402257",
