Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,041341,1972,01,01,,,
IDCJAC0010,041341,1972,01,02,,,
IDCJAC0010,041341,1972,01,03,,,
IDCJAC0010,041341,1972,01,04,,,
IDCJAC0010,041341,1972,01,05,,,
IDCJAC0010,041341,1972,01,06,,,
IDCJAC0010,041341,1972,01,07,,,
IDCJAC0010,041341,1972,01,08,,,
IDCJAC0010,041341,1972,01,09,,,
IDCJAC0010,041341,1972,01,10,,,
IDCJAC0010,041341,1972,01,11,,,
IDCJAC0010,041341,1972,01,12,,,
IDCJAC0010,041341,1972,01,13,,,
IDCJAC0010,041341,1972,01,14,,,
IDCJAC0010,041341,1972,01,15,,,
IDCJAC0010,041341,1972,01,16,,,
IDCJAC0010,041341,1972,01,17,,,
IDCJAC0010,041341,1972,01,18,,,
IDCJAC0010,041341,1972,01,19,,,
IDCJAC0010,041341,1972,01,20,,,
IDCJAC0010,041341,1972,01,21,,,
IDCJAC0010,041341,1972,01,22,,,
IDCJAC0010,041341,1972,01,23,,,
IDCJAC0010,041341,1972,01,24,,,
IDCJAC0010,041341,1972,01,25,,,
IDCJAC0010,041341,1972,01,26,,,
IDCJAC0010,041341,1972,01,27,,,
IDCJAC0010,041341,1972,01,28,,,
IDCJAC0010,041341,1972,01,29,,,
IDCJAC0010,041341,1972,01,30,,,
IDCJAC0010,041341,1972,01,31,,,
IDCJAC0010,041341,1972,02,01,,,
IDCJAC0010,041341,1972,02,02,,,
IDCJAC0010,041341,1972,02,03,,,
IDCJAC0010,041341,1972,02,04,,,
IDCJAC0010,041341,1972,02,05,,,
IDCJAC0010,041341,1972,02,06,,,
IDCJAC0010,041341,1972,02,07,,,
IDCJAC0010,041341,1972,02,08,,,
IDCJAC0010,041341,1972,02,09,,,
IDCJAC0010,041341,1972,02,10,,,
IDCJAC0010,041341,1972,02,11,,,
IDCJAC0010,041341,1972,02,12,,,
IDCJAC0010,041341,1972,02,13,,,
IDCJAC0010,041341,1972,02,14,,,
IDCJAC0010,041341,1972,02,15,,,
IDCJAC0010,041341,1972,02,16,,,
IDCJAC0010,041341,1972,02,17,,,
IDCJAC0010,041341,1972,02,18,,,
IDCJAC0010,041341,1972,02,19,,,
IDCJAC0010,041341,1972,02,20,,,
IDCJAC0010,041341,1972,02,21,,,
IDCJAC0010,041341,1972,02,22,,,
IDCJAC0010,041341,1972,02,23,,,
IDCJAC0010,041341,1972,02,24,,,
IDCJAC0010,041341,1972,02,25,,,
IDCJAC0010,041341,1972,02,26,,,
IDCJAC0010,041341,1972,02,27,,,
IDCJAC0010,041341,1972,02,28,,,
IDCJAC0010,041341,1972,02,29,,,
IDCJAC0010,041341,1972,03,01,,,
IDCJAC0010,041341,1972,03,02,,,
IDCJAC0010,041341,1972,03,03,,,
IDCJAC0010,041341,1972,03,04,,,
IDCJAC0010,041341,1972,03,05,,,
IDCJAC0010,041341,1972,03,06,,,
IDCJAC0010,041341,1972,03,07,,,
IDCJAC0010,041341,1972,03,08,,,
IDCJAC0010,041341,1972,03,09,,,
IDCJAC0010,041341,1972,03,10,,,
IDCJAC0010,041341,1972,03,11,,,
IDCJAC0010,041341,1972,03,12,,,
IDCJAC0010,041341,1972,03,13,,,
IDCJAC0010,041341,1972,03,14,,,
IDCJAC0010,041341,1972,03,15,,,
IDCJAC0010,041341,1972,03,16,,,
IDCJAC0010,041341,1972,03,17,,,
IDCJAC0010,041341,1972,03,18,,,
IDCJAC0010,041341,1972,03,19,,,
IDCJAC0010,041341,1972,03,20,,,
IDCJAC0010,041341,1972,03,21,,,
IDCJAC0010,041341,1972,03,22,,,
IDCJAC0010,041341,1972,03,23,,,
IDCJAC0010,041341,1972,03,24,,,
IDCJAC0010,041341,1972,03,25,,,
IDCJAC0010,041341,1972,03,26,,,
IDCJAC0010,041341,1972,03,27,,,
IDCJAC0010,041341,1972,03,28,,,
IDCJAC0010,041341,1972,03,29,,,
IDCJAC0010,041341,1972,03,30,,,
IDCJAC0010,041341,1972,03,31,,,
IDCJAC0010,041341,1972,04,01,,,
IDCJAC0010,041341,1972,04,02,,,
IDCJAC0010,041341,1972,04,03,,,
IDCJAC0010,041341,1972,04,04,,,
IDCJAC0010,041341,1972,04,05,,,
IDCJAC0010,041341,1972,04,06,,,
IDCJAC0010,041341,1972,04,07,,,
IDCJAC0010,041341,1972,04,08,,,
IDCJAC0010,041341,1972,04,09,,,
IDCJAC0010,041341,1972,04,10,,,
IDCJAC0010,041341,1972,04,11,,,
IDCJAC0010,041341,1972,04,12,,,
IDCJAC0010,041341,1972,04,13,,,
IDCJAC0010,041341,1972,04,14,,,
IDCJAC0010,041341,1972,04,15,,,
IDCJAC0010,041341,1972,04,16,,,
IDCJAC0010,041341,1972,04,17,,,
IDCJAC0010,041341,1972,04,18,,,
IDCJAC0010,041341,1972,04,19,,,
