Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,029025,1965,01,01,37.4,,Y
IDCJAC0010,029025,1965,01,02,39.0,1,Y
IDCJAC0010,029025,1965,01,03,39.2,1,Y
IDCJAC0010,029025,1965,01,04,38.4,1,Y
IDCJAC0010,029025,1965,01,05,38.3,1,Y
IDCJAC0010,029025,1965,01,06,38.8,1,Y
IDCJAC0010,029025,1965,01,07,39.5,1,Y
IDCJAC0010,029025,1965,01,08,35.9,1,Y
IDCJAC0010,029025,1965,01,09,36.6,1,Y
IDCJAC0010,029025,1965,01,10,38.4,1,Y
IDCJAC0010,029025,1965,01,11,40.8,1,Y
IDCJAC0010,029025,1965,01,12,42.7,1,Y
IDCJAC0010,029025,1965,01,13,39.4,1,Y
IDCJAC0010,029025,1965,01,14,41.6,1,Y
IDCJAC0010,029025,1965,01,15,40.1,1,Y
IDCJAC0010,029025,1965,01,16,39.1,1,Y
IDCJAC0010,029025,1965,01,17,39.1,1,Y
IDCJAC0010,029025,1965,01,18,40.9,1,Y
IDCJAC0010,029025,1965,01,19,41.6,1,Y
IDCJAC0010,029025,1965,01,20,43.5,1,Y
IDCJAC0010,029025,1965,01,21,41.9,1,Y
IDCJAC0010,029025,1965,01,22,41.7,1,Y
IDCJAC0010,029025,1965,01,23,42.2,1,Y
IDCJAC0010,029025,1965,01,24,40.6,1,Y
IDCJAC0010,029025,1965,01,25,37.2,1,Y
IDCJAC0010,029025,1965,01,26,37.2,1,Y
IDCJAC0010,029025,1965,01,27,37.9,1,Y
IDCJAC0010,029025,1965,01,28,38.0,1,Y
IDCJAC0010,029025,1965,01,29,38.3,1,Y
IDCJAC0010,029025,1965,01,30,42.1,1,Y
IDCJAC0010,029025,1965,01,31,43.2,1,Y
IDCJAC0010,029025,1965,02,01,43.3,1,Y
IDCJAC0010,029025,1965,02,02,40.1,1,Y
IDCJAC0010,029025,1965,02,03,36.7,1,Y
IDCJAC0010,029025,1965,02,04,39.4,1,Y
IDCJAC0010,029025,1965,02,05,40.1,1,Y
IDCJAC0010,029025,1965,02,06,39.4,1,Y
IDCJAC0010,029025,1965,02,07,39.4,1,Y
IDCJAC0010,029025,1965,02,08,41.2,1,Y
IDCJAC0010,029025,1965,02,09,43.9,1,Y
IDCJAC0010,029025,1965,02,10,42.8,1,Y
IDCJAC0010,029025,1965,02,11,41.7,1,Y
IDCJAC0010,029025,1965,02,12,41.6,1,Y
IDCJAC0010,029025,1965,02,13,40.3,1,Y
IDCJAC0010,029025,1965,02,14,38.9,1,Y
IDCJAC0010,029025,1965,02,15,38.4,1,Y
IDCJAC0010,029025,1965,02,16,38.4,1,Y
IDCJAC0010,029025,1965,02,17,38.9,1,Y
IDCJAC0010,029025,1965,02,18,38.3,1,Y
IDCJAC0010,029025,1965,02,19,38.9,1,Y
IDCJAC0010,029025,1965,02,20,38.9,1,Y
IDCJAC0010,029025,1965,02,21,39.0,1,Y
IDCJAC0010,029025,1965,02,22,40.0,1,Y
IDCJAC0010,029025,1965,02,23,41.1,1,Y
IDCJAC0010,029025,1965,02,24,41.7,1,Y
IDCJAC0010,029025,1965,02,25,41.7,1,Y
IDCJAC0010,029025,1965,02,26,41.1,1,Y
IDCJAC0010,029025,1965,02,27,38.8,1,Y
IDCJAC0010,029025,1965,02,28,38.1,1,Y
IDCJAC0010,029025,1965,03,01,37.1,1,Y
IDCJAC0010,029025,1965,03,02,36.2,1,Y
IDCJAC0010,029025,1965,03,03,32.0,1,Y
IDCJAC0010,029025,1965,03,04,35.0,1,Y
IDCJAC0010,029025,1965,03,05,33.3,1,Y
IDCJAC0010,029025,1965,03,06,36.1,1,Y
IDCJAC0010,029025,1965,03,07,35.7,1,Y
IDCJAC0010,029025,1965,03,08,27.8,1,Y
IDCJAC0010,029025,1965,03,09,26.9,1,Y
IDCJAC0010,029025,1965,03,10,30.6,1,Y
IDCJAC0010,029025,1965,03,11,32.3,1,Y
IDCJAC0010,029025,1965,03,12,33.9,1,Y
IDCJAC0010,029025,1965,03,13,34.6,1,Y
IDCJAC0010,029025,1965,03,14,37.2,1,Y
IDCJAC0010,029025,1965,03,15,36.6,1,Y
IDCJAC0010,029025,1965,03,16,26.0,1,Y
IDCJAC0010,029025,1965,03,17,33.2,1,Y
IDCJAC0010,029025,1965,03,18,35.0,1,Y
IDCJAC0010,029025,1965,03,19,34.4,1,Y
IDCJAC0010,029025,1965,03,20,34.0,1,Y
IDCJAC0010,029025,1965,03,21,34.6,1,Y
IDCJAC0010,029025,1965,03,22,35.1,1,Y
IDCJAC0010,029025,1965,03,23,34.6,1,Y
IDCJAC0010,029025,1965,03,24,34.6,1,Y
IDCJAC0010,029025,1965,03,25,30.7,1,Y
IDCJAC0010,029025,1965,03,26,34.0,1,Y
IDCJAC0010,029025,1965,03,27,33.6,1,Y
IDCJAC0010,029025,1965,03,28,33.4,1,Y
IDCJAC0010,029025,1965,03,29,35.7,1,Y
IDCJAC0010,029025,1965,03,30,37.9,1,Y
IDCJAC0010,029025,1965,03,31,37.7,1,Y
IDCJAC0010,029025,1965,04,01,36.7,1,Y
IDCJAC0010,029025,1965,04,02,35.6,1,Y
IDCJAC0010,029025,1965,04,03,35.2,1,Y
IDCJAC0010,029025,1965,04,04,35.6,1,Y
IDCJAC0010,029025,1965,04,05,36.7,1,Y
IDCJAC0010,029025,1965,04,06,36.0,1,Y
IDCJAC0010,029025,1965,04,07,34.3,1,Y
IDCJAC0010,029025,1965,04,08,34.1,1,Y
IDCJAC0010,029025,1965,04,09,34.1,1,Y
IDCJAC0010,029025,1965,04,10,34.1,1,Y
IDCJAC0010,029025,1965,04,11,34.6,1,Y
IDCJAC0010,029025,1965,04,12,34.6,1,Y
IDCJAC0010,029025,1965,04,13,35.3,1,Y
IDCJAC0010,029025,1965,04,14,34.2,1,Y
IDCJAC0010,029025,1965,04,15,34.6,1,Y
IDCJAC0010,029025,1965,04,16,35.6,1,Y
IDCJAC0010,029025,1965,04,17,34.9,1,Y
IDCJAC0010,029025,1965,04,18,35.6,1,Y
IDCJAC0010,029025,1965,04,19,34.4,1,Y
IDCJAC0010,029025,1965,04,20,34.2,1,Y
IDCJAC0010,029025,1965,04,21,34.4,1,Y
IDCJAC0010,029025,1965,04,22,34.3,1,Y
IDCJAC0010,029025,1965,04,23,32.4,1,Y
IDCJAC0010,029025,1965,04,24,30.1,1,Y
IDCJAC0010,029025,1965,04,25,29.4,1,Y
IDCJAC0010,029025,1965,04,26,29.9,1,Y
IDCJAC0010,029025,1965,04,27,28.1,1,Y
IDCJAC0010,029025,1965,04,28,29.1,1,Y
IDCJAC0010,029025,1965,04,29,31.6,1,Y
IDCJAC0010,029025,1965,04,30,31.7,1,Y
IDCJAC0010,029025,1965,05,01,32.2,1,Y
IDCJAC0010,029025,1965,05,02,32.1,1,Y
IDCJAC0010,029025,1965,05,03,31.8,1,Y
IDCJAC0010,029025,1965,05,04,32.2,1,Y
IDCJAC0010,029025,1965,05,05,30.6,1,Y
IDCJAC0010,029025,1965,05,06,31.9,1,Y
IDCJAC0010,029025,1965,05,07,31.7,1,Y
IDCJAC0010,029025,1965,05,08,32.8,1,Y
IDCJAC0010,029025,1965,05,09,32.3,1,Y
IDCJAC0010,029025,1965,05,10,31.6,1,Y
IDCJAC0010,029025,1965,05,11,31.3,1,Y
