Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,89049,1859,1,1,0,,Y
IDCJAC0009,89049,1859,1,2,0,,Y
IDCJAC0009,89049,1859,1,3,0,,Y
IDCJAC0009,89049,1859,1,4,0,,Y
IDCJAC0009,89049,1859,1,5,0,,Y
IDCJAC0009,89049,1859,1,6,0,,Y
IDCJAC0009,89049,1859,1,7,0,,Y
IDCJAC0009,89049,1859,1,8,0,,Y
IDCJAC0009,89049,1859,1,9,0,,Y
IDCJAC0009,89049,1859,1,10,8.4,1,Y
IDCJAC0009,89049,1859,1,11,7.4,1,Y
IDCJAC0009,89049,1859,1,12,0,,Y
IDCJAC0009,89049,1859,1,13,0,,Y
IDCJAC0009,89049,1859,1,14,0,,Y
IDCJAC0009,89049,1859,1,15,0,,Y
IDCJAC0009,89049,1859,1,16,0.8,1,Y
IDCJAC0009,89049,1859,1,17,1.8,1,Y
IDCJAC0009,89049,1859,1,18,0,,Y
IDCJAC0009,89049,1859,1,19,0,,Y
IDCJAC0009,89049,1859,1,20,0,,Y
IDCJAC0009,89049,1859,1,21,0,,Y
IDCJAC0009,89049,1859,1,22,0,,Y
IDCJAC0009,89049,1859,1,23,0,,Y
IDCJAC0009,89049,1859,1,24,7.4,1,Y
IDCJAC0009,89049,1859,1,25,0.3,1,Y
IDCJAC0009,89049,1859,1,26,0,,Y
IDCJAC0009,89049,1859,1,27,29.5,1,Y
IDCJAC0009,89049,1859,1,28,0,,Y
IDCJAC0009,89049,1859,1,29,0,,Y
IDCJAC0009,89049,1859,1,30,3,1,Y
IDCJAC0009,89049,1859,1,31,0,,Y
IDCJAC0009,89049,1859,2,1,0,,Y
IDCJAC0009,89049,1859,2,2,0,,Y
IDCJAC0009,89049,1859,2,3,0,,Y
IDCJAC0009,89049,1859,2,4,0,,Y
IDCJAC0009,89049,1859,2,5,0,,Y
IDCJAC0009,89049,1859,2,6,0,,Y
IDCJAC0009,89049,1859,2,7,0,,Y
IDCJAC0009,89049,1859,2,8,0,,Y
IDCJAC0009,89049,1859,2,9,0,,Y
IDCJAC0009,89049,1859,2,10,1,1,Y
IDCJAC0009,89049,1859,2,11,0,,Y
IDCJAC0009,89049,1859,2,12,10.2,1,Y
IDCJAC0009,89049,1859,2,13,2.3,1,Y
IDCJAC0009,89049,1859,2,14,0,,Y
IDCJAC0009,89049,1859,2,15,0,,Y
IDCJAC0009,89049,1859,2,16,0,,Y
IDCJAC0009,89049,1859,2,17,0,,Y
IDCJAC0009,89049,1859,2,18,0,,Y
IDCJAC0009,89049,1859,2,19,0,,Y
IDCJAC0009,89049,1859,2,20,0,,Y
IDCJAC0009,89049,1859,2,21,0,,Y
IDCJAC0009,89049,1859,2,22,0,,Y
IDCJAC0009,89049,1859,2,23,3.6,1,Y
IDCJAC0009,89049,1859,2,24,1.3,1,Y
IDCJAC0009,89049,1859,2,25,0,,Y
IDCJAC0009,89049,1859,2,26,0.5,1,Y
IDCJAC0009,89049,1859,2,27,0,,Y
IDCJAC0009,89049,1859,2,28,0,,Y
IDCJAC0009,89049,1859,3,1,0,,Y
IDCJAC0009,89049,1859,3,2,0.3,1,Y
IDCJAC0009,89049,1859,3,3,0,,Y
IDCJAC0009,89049,1859,3,4,0,,Y
IDCJAC0009,89049,1859,3,5,0,,Y
IDCJAC0009,89049,1859,3,6,0,,Y
IDCJAC0009,89049,1859,3,7,0.8,1,Y
IDCJAC0009,89049,1859,3,8,0,,Y
IDCJAC0009,89049,1859,3,9,0,,Y
