"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","120.311996459961","-31.378999710083","366","34.307","21.014","0","4.74980294703737","0.384483795024546",
"1/2/1979","120.311996459961","-31.378999710083","366","41.03","17.306","1.09519992","4.48655953938517","0.364580803856007",
"1/3/1979","120.311996459961","-31.378999710083","366","38.661","22.848","0","5.14748824563965","0.230434415449803",
"1/4/1979","120.311996459961","-31.378999710083","366","32.08","17.258","0.0205993656","4.35081205254364","0.454107607126773",
"1/5/1979","120.311996459961","-31.378999710083","366","30.84","15.857","0.0549316368","5.0783855074439","0.501575453168946",
"1/6/1979","120.311996459961","-31.378999710083","366","37.323","16.194","0","3.75560362364739","0.385207558190508",
"1/7/1979","120.311996459961","-31.378999710083","366","31.442","15.296","0.0068664528","4.35673751463229","0.48981513719912",
"1/8/1979","120.311996459961","-31.378999710083","366","31.877","12.86","0","3.64376087995549","0.397351236079968",
"1/9/1979","120.311996459961","-31.378999710083","366","29.947","13.499","0.0240326064","4.03746468621954","0.48281364807914",
"1/10/1979","120.311996459961","-31.378999710083","366","33.313","13.201","0.0034332264","5.12489403879236","0.477445422152244",
"1/11/1979","120.311996459961","-31.378999710083","366","37.292","17.978","0","6.42485883035161","0.373089340265363",
"1/12/1979","120.311996459961","-31.378999710083","366","36.199","20.536","0.4411698264","3.05749538335596","0.358195157607075",
"1/13/1979","120.311996459961","-31.378999710083","366","37.642","22.573","0","3.61172884736357","0.308181867423698",
"1/14/1979","120.311996459961","-31.378999710083","366","37.625","18.238","0.0102996792","3.99885248657091","0.471029423938196",
"1/15/1979","120.311996459961","-31.378999710083","366","40.118","21.961","0","5.94330025207814","0.292136399465076",
"1/16/1979","120.311996459961","-31.378999710083","366","28.695","15.347","0.2059938864","4.65764426669696","0.477437633201998",
"1/17/1979","120.311996459961","-31.378999710083","366","33.379","13.146","0","3.32675073713188","0.446929191390197",
"1/18/1979","120.311996459961","-31.378999710083","366","35.826","16.803","0","4.67715597021401","0.241046695005338",
"1/19/1979","120.311996459961","-31.378999710083","366","28.602","14.35","0","5.00620546282584","0.471340681999825",
"1/20/1979","120.311996459961","-31.378999710083","366","29.505","14.646","0","3.9055061951746","0.479708361734493",
"1/21/1979","120.311996459961","-31.378999710083","366","32.252","14.014","0","4.25209087388189","0.392046974862384",
"1/22/1979","120.311996459961","-31.378999710083","366","37.497","16.479","0","3.95902224613215","0.309192323688113",
"1/23/1979","120.311996459961","-31.378999710083","366","41.216","20.399","0","4.78629387705577","0.174153238519302",
"1/24/1979","120.311996459961","-31.378999710083","366","33.085","15.84","0.024032592","4.34858605742133","0.455147388087721",
"1/25/1979","120.311996459961","-31.378999710083","366","31.735","11.21","0","3.959469951244","0.419568673591363",
"1/26/1979","120.311996459961","-31.378999710083","366","33.543","14.364","0","4.97172028295166","0.407577191457365",
"1/27/1979","120.311996459961","-31.378999710083","366","37.6","15.175","0","4.3902251544682","0.35278634342232",
"1/28/1979","120.311996459961","-31.378999710083","366","42.391","17.366","0","3.34488783791387","0.248325338765874",
"1/29/1979","120.311996459961","-31.378999710083","366","33.556","17.982","0.051498396","5.16885502172159","0.545316002579309",
"1/30/1979","120.311996459961","-31.378999710083","366","39.279","15.012","0","3.58524087567236","0.364454243507229",
"1/31/1979","120.311996459961","-31.378999710083","366","42.447","21.522","0","4.56860723098214","0.172380052466028",
"2/1/1979","120.311996459961","-31.378999710083","366","26.238","13.29","0.0274658256","5.40999086597739","0.608405544247937",
"2/2/1979","120.311996459961","-31.378999710083","366","23.347","11.35","0.0961303464","4.89764076106761","0.526630304533414",
"2/3/1979","120.311996459961","-31.378999710083","366","26.847","6.93099999999998","0","4.41603095132112","0.467545219578734",
"2/4/1979","120.311996459961","-31.378999710083","366","29.676","11.296","0","3.995508945037","0.469867294385482",
"2/5/1979","120.311996459961","-31.378999710083","366","32.223","12.587","0","3.37618856920813","0.426486019621654",
"2/6/1979","120.311996459961","-31.378999710083","366","34.929","16.533","0","3.60904068897634","0.33141519859415",
"2/7/1979","120.311996459961","-31.378999710083","366","38.89","18.726","0","3.72537681983452","0.260449852430673",
"2/8/1979","120.311996459961","-31.378999710083","366","41.815","21.013","0","3.39330885280938","0.185556167555753",
"2/9/1979","120.311996459961","-31.378999710083","366","39.148","15.734","0","4.31450987085416","0.45948988363759",
"2/10/1979","120.311996459961","-31.378999710083","366","41.838","15.735","0.0102996792","3.48312772354059","0.45762976386842",
"2/11/1979","120.311996459961","-31.378999710083","366","38.885","16.512","0","4.86788205272852","0.464008848629802",
"2/12/1979","120.311996459961","-31.378999710083","366","25.336","19.169","4.2469027704","4.47176600591272","0.680180268991494",
"2/13/1979","120.311996459961","-31.378999710083","366","18.969","18.065","12.919239036","6.09842014822631","0.848771072883362",
"2/14/1979","120.311996459961","-31.378999710083","366","21.791","17.805","4.32415746","4.69041723156406","0.840814493033388",
"2/15/1979","120.311996459961","-31.378999710083","366","27.968","18.923","0.714111552","4.14956569368912","0.750648629046513",
"2/16/1979","120.311996459961","-31.378999710083","366","32.131","19.371","1.6170500664","3.02618556813101","0.676806181350192",
"2/17/1979","120.311996459961","-31.378999710083","366","35.508","19.9","0.075530988","2.49019230480888","0.509923812410663",
"2/18/1979","120.311996459961","-31.378999710083","366","39.437","20.953","0","2.48697831745782","0.360968494142771",
"2/19/1979","120.311996459961","-31.378999710083","366","38.487","24.498","0","3.56448086324308","0.345525350324693",
"2/20/1979","120.311996459961","-31.378999710083","366","36.098","22.255","0.01373292","3.79699999370156","0.394643474169307",
"2/21/1979","120.311996459961","-31.378999710083","366","33.801","21.481","0.8514405","3.4122593211777","0.461303361135178",
"2/22/1979","120.311996459961","-31.378999710083","366","23.531","16.517","0.6917952528","5.50053357142178","0.685720420418317",
"2/23/1979","120.311996459961","-31.378999710083","366","25.553","14.742","0.60596514","4.54437763085679","0.575196222372621",
"2/24/1979","120.311996459961","-31.378999710083","366","29.914","13.614","0","3.98914164100137","0.478726121142098",
"2/25/1979","120.311996459961","-31.378999710083","366","36.409","19.253","0","5.99803866549107","0.274436461367158",
"2/26/1979","120.311996459961","-31.378999710083","366","26.392","14.296","0.0034332264","5.41136860269629","0.483206403309234",
"2/27/1979","120.311996459961","-31.378999710083","366","23.68","16.008","0.5167010088","4.92757488630296","0.643165384713826",
"2/28/1979","120.311996459961","-31.378999710083","366","25.74","16.117","0.7278450408","3.39693865163907","0.628343759593435",
"3/1/1979","120.311996459961","-31.378999710083","366","27.867","15.098","0.0480651912","3.07560451659757","0.609660583601035",
"3/2/1979","120.311996459961","-31.378999710083","366","29.757","15.383","0.1012801896","3.65477004099984","0.573022385349022",
"3/3/1979","120.311996459961","-31.378999710083","366","29.203","14.364","0","4.31184118136386","0.55605424764101",
"3/4/1979","120.311996459961","-31.378999710083","366","33.091","15.834","0","3.4804327825155","0.534946582623091",
"3/5/1979","120.311996459961","-31.378999710083","366","31.988","15.672","0","3.8834546243727","0.456401788812578",
"3/6/1979","120.311996459961","-31.378999710083","366","32.716","15.035","0","3.94950212395846","0.422822681154341",
"3/7/1979","120.311996459961","-31.378999710083","366","38.693","18.175","0","3.63993157821792","0.237527454744548",
"3/8/1979","120.311996459961","-31.378999710083","366","30.037","19.221","0.1167297192","4.66295246781371","0.572830209707121",
"3/9/1979","120.311996459961","-31.378999710083","366","31.77","16.074","0","3.5279700651198","0.504987458899033",
"3/10/1979","120.311996459961","-31.378999710083","366","37.65","22.117","0","3.25500104677695","0.35489294879858",
"3/11/1979","120.311996459961","-31.378999710083","366","31.874","18.318","0.0205993728","4.78853436910594","0.619956682892199",
"3/12/1979","120.311996459961","-31.378999710083","366","30.001","18.78","0.0308990592","4.58690966244611","0.643165925829209",
"3/13/1979","120.311996459961","-31.378999710083","366","31.408","17.881","3.210064992","3.69624386520709","0.66470857848736",
"3/14/1979","120.311996459961","-31.378999710083","366","35.52","21.286","1.18446354","5.80979505010443","0.473534902359892",
"3/15/1979","120.311996459961","-31.378999710083","366","32.553","19.773","0","3.40910888636817","0.556476126302866",
"3/16/1979","120.311996459961","-31.378999710083","366","27.827","15.19","0","3.83297949478267","0.582222072923547",
"3/17/1979","120.311996459961","-31.378999710083","366","28.27","12.838","0","3.37844324947341","0.545240006279017",
"3/18/1979","120.311996459961","-31.378999710083","366","28.536","14.156","0","3.18019596257647","0.521470543212591",
"3/19/1979","120.311996459961","-31.378999710083","366","31.671","16.28","0","3.52363728118661","0.524464388963828",
"3/20/1979","120.311996459961","-31.378999710083","366","21.133","12.338","0.123596208","2.90992130853811","0.621836428566102",
"3/21/1979","120.311996459961","-31.378999710083","366","28.205","9.368","0","2.58141168944249","0.556272413089333",
"3/22/1979","120.311996459961","-31.378999710083","366","24.78","10.388","0","3.46827552622234","0.553414307967503",
"3/23/1979","120.311996459961","-31.378999710083","366","29.151","9.72500000000002","0","1.95508852239368","0.56223620628766",
"3/24/1979","120.311996459961","-31.378999710083","366","33.321","13.338","0","2.80233892288165","0.367275930925378",
"3/25/1979","120.311996459961","-31.378999710083","366","32.251","14.936","0","3.75276442787751","0.285388552371183",
"3/26/1979","120.311996459961","-31.378999710083","366","28.244","12.989","0","3.30688606964908","0.457758807539886",
"3/27/1979","120.311996459961","-31.378999710083","366","24.324","16.64","2.3483313648","4.31711170220859","0.641448774599734",
"3/28/1979","120.311996459961","-31.378999710083","366","31.986","15.333","0.0034332264","3.21979996153211","0.441898144701145",
"3/29/1979","120.311996459961","-31.378999710083","366","29.971","14.807","0","3.83452599886974","0.335478882660782",
"3/30/1979","120.311996459961","-31.378999710083","366","26.455","12.516","0","3.29090735039217","0.513225794940354",
"3/31/1979","120.311996459961","-31.378999710083","366","23.143","13.256","0","3.93400747729658","0.66605216633405",
"4/1/1979","120.311996459961","-31.378999710083","366","29.081","11.292","0","2.90805746577588","0.599127470130899",
"4/2/1979","120.311996459961","-31.378999710083","366","22.148","9.79700000000003","0","3.81624387225839","0.504021940792477",
"4/3/1979","120.311996459961","-31.378999710083","366","24.379","7.20999999999998","0","2.20510612198267","0.534132184836131",
"4/4/1979","120.311996459961","-31.378999710083","366","24.536","9.69499999999999","0","2.73589685678625","0.591332329455778",
"4/5/1979","120.311996459961","-31.378999710083","366","27.484","10.576","0.1098632952","3.11317646921315","0.595722062923305",
"4/6/1979","120.311996459961","-31.378999710083","366","31.249","13.787","0","2.87128698472602","0.377486615211294",
"4/7/1979","120.311996459961","-31.378999710083","366","28.958","13.788","0","5.23469132204474","0.419778457631928",
"4/8/1979","120.311996459961","-31.378999710083","366","27.061","14.191","0","5.91392906908343","0.489637548280758",
"4/9/1979","120.311996459961","-31.378999710083","366","18.929","15.234","1.2256623792","6.43166128963419","0.641280186900407",
"4/10/1979","120.311996459961","-31.378999710083","366","27.556","13.972","0","3.88751968265803","0.425824421648162",
"4/11/1979","120.311996459961","-31.378999710083","366","24.154","13.773","0.1853941464","3.03081310299119","0.54244242577097",
"4/12/1979","120.311996459961","-31.378999710083","366","25.252","10.591","0","1.61921738299803","0.627468963184161",
