"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","146.875","-37.6236000061035","154","33.594","15.91","0.00686646","2.42732539416391","0.375733360072193",
"1/2/1979","146.875","-37.6236000061035","154","21.723","4.63","0.0308990448","2.16456529614853","0.671428134412819",
"1/3/1979","146.875","-37.6236000061035","154","23.262","3.26600000000002","0.0343322712","1.99098290465957","0.678156174189654",
"1/4/1979","146.875","-37.6236000061035","154","34.587","11.018","0.061798104","1.41906386975412","0.514768030978643",
"1/5/1979","146.875","-37.6236000061035","154","38.169","17.125","0.187111008","2.59488410760267","0.350793261217178",
"1/6/1979","146.875","-37.6236000061035","154","32.627","13.381","0.3879549792","1.83947093647818","0.580297022745482",
"1/7/1979","146.875","-37.6236000061035","154","37.42","14.576","0.2815244784","2.65672576497522","0.481582056063901",
"1/8/1979","146.875","-37.6236000061035","154","34.996","12.416","0.133895952","1.3830498423342","0.556966346689938",
"1/9/1979","146.875","-37.6236000061035","154","39.211","16.636","0","3.8361166305749","0.381270993099744",
"1/10/1979","146.875","-37.6236000061035","154","28.206","11.852","0.0137328984","1.86100458243232","0.589445861239249",
"1/11/1979","146.875","-37.6236000061035","154","27.15","5.13400000000001","0.0205993656","1.81812946428141","0.615281644244794",
"1/12/1979","146.875","-37.6236000061035","154","24.693","4.26400000000001","0","2.02615278171905","0.63131591886973",
"1/13/1979","146.875","-37.6236000061035","154","25.973","2.13200000000001","0","1.86740303727317","0.644957087752563",
"1/14/1979","146.875","-37.6236000061035","154","36.727","13.331","0","3.5743168999006","0.336196016111069",
"1/15/1979","146.875","-37.6236000061035","154","24.662","12.04","0.0274658184","2.69792580792257","0.639491918232945",
"1/16/1979","146.875","-37.6236000061035","154","35.399","12.562","0.173377944","1.4306158473361","0.562325866458952",
"1/17/1979","146.875","-37.6236000061035","154","23.217","2.78100000000001","0.379371456","3.08242114224279","0.635972286651654",
"1/18/1979","146.875","-37.6236000061035","154","26.713","0.01400000000001","0","1.91721556937865","0.619491011277942",
"1/19/1979","146.875","-37.6236000061035","154","32.355","10.617","0","1.59945822733972","0.602840107759338",
"1/20/1979","146.875","-37.6236000061035","154","31.993","17.985","2.0616525","3.33401485877657","0.526733351159176",
"1/21/1979","146.875","-37.6236000061035","154","20.465","11.541","7.499887164","2.7627128745524","0.858322642879982",
"1/22/1979","146.875","-37.6236000061035","154","21.501","11.61","0.7733351664","2.814914216671","0.817923226295533",
"1/23/1979","146.875","-37.6236000061035","154","26.63","10.267","0.0446319792","1.88028449368959","0.715452806308156",
"1/24/1979","146.875","-37.6236000061035","154","34.933","13.898","0","1.75804326679332","0.506257760575423",
"1/25/1979","146.875","-37.6236000061035","154","32.012","13.866","0.49953492","4.24700936611141","0.467918689903843",
"1/26/1979","146.875","-37.6236000061035","154","23.257","3.98500000000001","0.0034332264","1.84748841184705","0.677713129598963",
"1/27/1979","146.875","-37.6236000061035","154","21.482","9.20699999999999","0.1768112424","2.29836510171619","0.686654547495519",
"1/28/1979","146.875","-37.6236000061035","154","25.53","8.041","0.0034332264","2.16414337329489","0.693236401779692",
"1/29/1979","146.875","-37.6236000061035","154","31.95","12.798","0.044631936","1.94251159336364","0.522708477764518",
