"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","147.188003540039","-36.6869010925293","619","31.803","13.148","0","3.14793496967708","0.291656630632062",
"1/2/1979","147.188003540039","-36.6869010925293","619","29.27","12.757","0","2.61993135103043","0.499342631219534",
"1/3/1979","147.188003540039","-36.6869010925293","619","29.345","8.25200000000001","0","2.74351680813406","0.501574534386083",
"1/4/1979","147.188003540039","-36.6869010925293","619","30.361","10.093","0","2.10747190736713","0.493157895337209",
"1/5/1979","147.188003540039","-36.6869010925293","619","34.853","13.062","0","2.27291468939507","0.355647294019787",
"1/6/1979","147.188003540039","-36.6869010925293","619","36.478","19.081","0","3.26330796364003","0.298266992370201",
"1/7/1979","147.188003540039","-36.6869010925293","619","35.729","13.31","0","2.85192094493179","0.326809882801894",
"1/8/1979","147.188003540039","-36.6869010925293","619","34.831","15.299","0","2.97527525020451","0.385408941536476",
"1/9/1979","147.188003540039","-36.6869010925293","619","37.962","17.444","0","3.4826072531323","0.26612487674834",
"1/10/1979","147.188003540039","-36.6869010925293","619","31.045","14.681","0.068664528","2.24066987850231","0.398232925615747",
"1/11/1979","147.188003540039","-36.6869010925293","619","30.183","12.083","0","2.58639347620554","0.445400780339805",
"1/12/1979","147.188003540039","-36.6869010925293","619","28.279","11.188","0.0429153408","2.6714857494743","0.474463623411645",
"1/13/1979","147.188003540039","-36.6869010925293","619","29.881","8.351","0.0274658256","1.88657749680478","0.48323134500088",
"1/14/1979","147.188003540039","-36.6869010925293","619","34.094","12.504","0","2.97403808550759","0.31198739626756",
"1/15/1979","147.188003540039","-36.6869010925293","619","29.805","12.655","0","2.36186318373894","0.443344453420605",
"1/16/1979","147.188003540039","-36.6869010925293","619","32.861","10.589","0.25577532","2.61428271049675","0.461235733825207",
"1/17/1979","147.188003540039","-36.6869010925293","619","22.615","13.072","9.650804796","2.16759893686809","0.806967695638649",
"1/18/1979","147.188003540039","-36.6869010925293","619","30.717","9.31799999999998","0","1.83350057390372","0.575812816233531",
"1/19/1979","147.188003540039","-36.6869010925293","619","29.502","10.964","0","1.696646867176","0.63638822765898",
"1/20/1979","147.188003540039","-36.6869010925293","619","27.167","14.13","0.0858307464","2.53530948172974","0.533940517437048",
"1/21/1979","147.188003540039","-36.6869010925293","619","24.703","13.172","3.44009214","3.23790730648009","0.733110227897987",
"1/22/1979","147.188003540039","-36.6869010925293","619","23.849","13.182","0.4042628136","2.89045650050867","0.723943844011205",
"1/23/1979","147.188003540039","-36.6869010925293","619","29.755","10.33","0","1.48246182483079","0.626668103601374",
"1/24/1979","147.188003540039","-36.6869010925293","619","30.478","7.37900000000002","0","1.60871091771299","0.563541565477516",
"1/25/1979","147.188003540039","-36.6869010925293","619","26.578","13.659","1.464272352","2.98640762436665","0.672787923381137",
"1/26/1979","147.188003540039","-36.6869010925293","619","27.962","13.064","0.0635147064","2.38783203783367","0.554244402723641",
"1/27/1979","147.188003540039","-36.6869010925293","619","25.527","10.534","0","3.55017565558733","0.545023036733644",
"1/28/1979","147.188003540039","-36.6869010925293","619","29.764","8.74900000000002","0","1.97606532311051","0.504752603246767",
"1/29/1979","147.188003540039","-36.6869010925293","619","27.977","7.67899999999997","0","1.79267699506077","0.549865695710801",
"1/30/1979","147.188003540039","-36.6869010925293","619","31.045","8.01499999999999","0","1.49220579725134","0.48190168233824",
"1/31/1979","147.188003540039","-36.6869010925293","619","31.938","11.232","0","1.99854169102913","0.469224333238703",
"2/1/1979","147.188003540039","-36.6869010925293","619","32.698","11.494","0","2.19497380601983","0.357683552939975",
"2/2/1979","147.188003540039","-36.6869010925293","619","33.457","16.97","0","2.1086555106477","0.321991221666828",
"2/3/1979","147.188003540039","-36.6869010925293","619","30.015","18.271","0.0034332264","2.94661539575612","0.33256622569387",
"2/4/1979","147.188003540039","-36.6869010925293","619","20.508","9.43200000000002","0","2.79561488423768","0.53419246198461",
"2/5/1979","147.188003540039","-36.6869010925293","619","29.559","7.57400000000001","0","2.12344690124199","0.508508800289954",
"2/6/1979","147.188003540039","-36.6869010925293","619","29.869","10.083","0","2.05111803557859","0.555604830839716",
"2/7/1979","147.188003540039","-36.6869010925293","619","31.484","10.268","0","1.79540523052356","0.541005464787496",
"2/8/1979","147.188003540039","-36.6869010925293","619","30.983","12.796","0","2.39180689683141","0.535764634531507",
"2/9/1979","147.188003540039","-36.6869010925293","619","30.32","11.273","0.0102996792","2.07861890967859","0.575357019124569",
"2/10/1979","147.188003540039","-36.6869010925293","619","30.912","16.3","0","2.45051417474344","0.439151422205338",
"2/11/1979","147.188003540039","-36.6869010925293","619","32.131","6.45800000000003","0","2.22604792080207","0.436476810133361",
"2/12/1979","147.188003540039","-36.6869010925293","619","33.677","13.375","0","2.52759626952708","0.303835895713128",
"2/13/1979","147.188003540039","-36.6869010925293","619","32.043","10.299","0.699520032","3.02539624995932","0.520868613250957",
