"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/1/1979","145.311996459961","-37.3112983703613","283","35.358","15.027","0","3.68100902366366","0.374723077773892",
"1/2/1979","145.311996459961","-37.3112983703613","283","21.713","10.044","0","4.04497272077366","0.617125767104187",
"1/3/1979","145.311996459961","-37.3112983703613","283","27.919","9.21899999999999","0.0480651768","2.83838589424673","0.570523787152074",
"1/4/1979","145.311996459961","-37.3112983703613","283","33.581","12.825","0","2.50781985734214","0.412985922333122",
"1/5/1979","145.311996459961","-37.3112983703613","283","40.525","16.976","0.029182428","3.24657320361546","0.321097391699713",
"1/6/1979","145.311996459961","-37.3112983703613","283","34.978","17.351","0.048065184","2.13800307986016","0.500357280891146",
"1/7/1979","145.311996459961","-37.3112983703613","283","36.388","14.964","0.1493455104","2.97467387186688","0.522901632941837",
"1/8/1979","145.311996459961","-37.3112983703613","283","35.116","11.83","0.9338382","1.86233891858723","0.479028559653669",
"1/9/1979","145.311996459961","-37.3112983703613","283","38.425","17.389","0","3.83391876484661","0.317356996631322",
"1/10/1979","145.311996459961","-37.3112983703613","283","27.518","13.574","0.305557596","2.73976182668626","0.533209483345781",
"1/11/1979","145.311996459961","-37.3112983703613","283","28.291","10.656","0","2.73097585287777","0.523127361149432",
"1/12/1979","145.311996459961","-37.3112983703613","283","24.799","9.58499999999998","0","2.96782521643742","0.569866446324385",
"1/13/1979","145.311996459961","-37.3112983703613","283","29.336","9.30599999999998","0.017166132","1.99654071677869","0.581479426963358",
"1/14/1979","145.311996459961","-37.3112983703613","283","38.05","10.653","0","3.37817650546213","0.378455439700761",
"1/15/1979","145.311996459961","-37.3112983703613","283","26.745","14.159","0.0240326064","3.5065644399754","0.550993154646621",
"1/16/1979","145.311996459961","-37.3112983703613","283","34.206","11.081","0","2.57429215755338","0.483334299529352",
"1/17/1979","145.311996459961","-37.3112983703613","283","21.97","11.896","2.065942836","2.38491191834782","0.714238451969916",
"1/18/1979","145.311996459961","-37.3112983703613","283","33.045","8.90800000000002","0","1.72344545382886","0.462989072272692",
"1/19/1979","145.311996459961","-37.3112983703613","283","32.588","15.252","0","2.70409868354984","0.482660629911372",
"1/20/1979","145.311996459961","-37.3112983703613","283","27.727","16.778","12.0111471504","3.75824105033532","0.636753861033375",
"1/21/1979","145.311996459961","-37.3112983703613","283","21.856","12.774","2.0994157296","4.73236440974422","0.724834665389209",
"1/22/1979","145.311996459961","-37.3112983703613","283","26.634","13.285","0.1201629384","2.59093129753402","0.663417050963327",
"1/23/1979","145.311996459961","-37.3112983703613","283","31.543","11.883","0","1.34742172251691","0.659091886956861",
"1/24/1979","145.311996459961","-37.3112983703613","283","31.952","16.897","0","2.73678759857558","0.464140406684806",
"1/25/1979","145.311996459961","-37.3112983703613","283","33.581","14.415","0","4.60745405693867","0.381497080339661",
"1/26/1979","145.311996459961","-37.3112983703613","283","22.873","12.547","0.0205993584","3.32452978171841","0.610421968172702",
"1/27/1979","145.311996459961","-37.3112983703613","283","22.939","13.014","0.1699447608","4.35423557004315","0.608316461209355",
"1/28/1979","145.311996459961","-37.3112983703613","283","32.436","9.762","0.0034332264","1.28219342947074","0.497098247105615",
"1/29/1979","145.311996459961","-37.3112983703613","283","30.719","15.331","0","2.6117620549167","0.411598898312703",
"1/30/1979","145.311996459961","-37.3112983703613","283","32.392","11.185","0","1.81542798039764","0.448059776822609",
"1/31/1979","145.311996459961","-37.3112983703613","283","35.935","13.936","0.0446319576","1.57056235455856","0.518140169659003",
"2/1/1979","145.311996459961","-37.3112983703613","283","37.58","15.499","0","2.89152296548971","0.315620182116793",
"2/2/1979","145.311996459961","-37.3112983703613","283","37.818","15.379","0","2.38036667499161","0.330299516657002",
"2/3/1979","145.311996459961","-37.3112983703613","283","31.034","15.099","0.3278730528","3.85060852973505","0.308926371035734",
"2/4/1979","145.311996459961","-37.3112983703613","283","14.883","10.975","0.9218217528","2.87598735301433","0.708490942075456",
"2/5/1979","145.311996459961","-37.3112983703613","283","25.296","12.079","0.0858306528","3.06330626718256","0.592915910858799",
"2/6/1979","145.311996459961","-37.3112983703613","283","30.773","10.05","0.0454902624","1.78938971512437","0.597888147996699",
"2/7/1979","145.311996459961","-37.3112983703613","283","28.923","13.184","0.0068664528","2.66502093119607","0.601442921880602",
"2/8/1979","145.311996459961","-37.3112983703613","283","29.28","13.88","0.1115798832","2.76050583565382","0.637647849319986",
"2/9/1979","145.311996459961","-37.3112983703613","283","33.16","14.482","0.239467572","1.56886774882193","0.564388213153448",
"2/10/1979","145.311996459961","-37.3112983703613","283","33.199","13.759","0","2.07476370337914","0.445644581302433",
"2/11/1979","145.311996459961","-37.3112983703613","283","34.004","9.971","0","1.83717605009889","0.461687592994957",
"2/12/1979","145.311996459961","-37.3112983703613","283","29.47","12.727","0","2.60549275967756","0.532499403975426",
"2/13/1979","145.311996459961","-37.3112983703613","283","23.853","10.324","3.969668988","0.891838376799096","0.691805461731767",
"2/14/1979","145.311996459961","-37.3112983703613","283","22.27","7.75200000000001","0","1.33683047766534","0.705618813422007",
"2/15/1979","145.311996459961","-37.3112983703613","283","24.208","4.58600000000001","0.293541012","3.10136390514509","0.559508541921807",
"2/16/1979","145.311996459961","-37.3112983703613","283","11.493","8.90899999999999","3.79543392","2.99259453945999","0.814793320610753",
"2/17/1979","145.311996459961","-37.3112983703613","283","20.064","8.13799999999998","0.2008440936","2.72028217957258","0.667024373076564",
"2/18/1979","145.311996459961","-37.3112983703613","283","22.424","8.27499999999998","0","2.55447672634236","0.649365321378142",
"2/19/1979","145.311996459961","-37.3112983703613","283","29.219","9.50700000000001","0","1.98114129526165","0.582919904637904",
"2/20/1979","145.311996459961","-37.3112983703613","283","32.481","14.478","0","1.92761801365368","0.51083230267334",
"2/21/1979","145.311996459961","-37.3112983703613","283","31.085","14.252","0","1.98980492557297","0.456242209830594",
"2/22/1979","145.311996459961","-37.3112983703613","283","30.929","17.851","0","2.40728462439613","0.389697742427984",
"2/23/1979","145.311996459961","-37.3112983703613","283","24.975","15.537","0.515842596","1.62082405786398","0.626171122429104",
"2/24/1979","145.311996459961","-37.3112983703613","283","34.219","17.457","0","2.40552378907571","0.488896856928103",
"2/25/1979","145.311996459961","-37.3112983703613","283","28.88","16.026","0.0034332264","2.77048945352979","0.435182242219681",
"2/26/1979","145.311996459961","-37.3112983703613","283","25.737","8.63","0","1.74859523970888","0.566399321100319",
"2/27/1979","145.311996459961","-37.3112983703613","283","19.036","10.219","0.1579284072","3.0216838565905","0.762764862879985",
"2/28/1979","145.311996459961","-37.3112983703613","283","28.083","8.85000000000002","0.0034332264","1.8743272783839","0.648984692804672",
"3/1/1979","145.311996459961","-37.3112983703613","283","31.367","13.783","0","2.33159345423178","0.548407591500194",
"3/2/1979","145.311996459961","-37.3112983703613","283","26.899","16.202","2.840996916","2.66511832187422","0.647582968387276",
"3/3/1979","145.311996459961","-37.3112983703613","283","15.806","12.61","2.214432288","3.84637481663989","0.856814094136046",
"3/4/1979","145.311996459961","-37.3112983703613","283","21.365","11.019","0.137329128","3.72261952856277","0.662280590377991",
"3/5/1979","145.311996459961","-37.3112983703613","283","21.045","8.07999999999998","0.07553106","2.1691916368008","0.679532008844435",
"3/6/1979","145.311996459961","-37.3112983703613","283","15.647","8.70699999999999","1.1913294744","2.8741077572929","0.794447349928887",
"3/7/1979","145.311996459961","-37.3112983703613","283","23.121","10.498","0.1029968568","2.16191315516435","0.603188183757477",
"3/8/1979","145.311996459961","-37.3112983703613","283","26.567","7.02800000000002","0","1.86449122044377","0.601304681425459",
"3/9/1979","145.311996459961","-37.3112983703613","283","28.891","5.53699999999998","0.00686646","2.12320500628097","0.547140671759599",
"3/10/1979","145.311996459961","-37.3112983703613","283","26.764","11.715","0.0308990664","2.22211876975635","0.59690568706675",
"3/11/1979","145.311996459961","-37.3112983703613","283","30.182","10.309","0","2.01990771755815","0.476971816101229",
"3/12/1979","145.311996459961","-37.3112983703613","283","30.522","18.849","0.2918243448","2.35900219673293","0.387558049414628",
"3/13/1979","145.311996459961","-37.3112983703613","283","25.515","15.24","2.798081064","1.53428263843038","0.774870925544796",
"3/14/1979","145.311996459961","-37.3112983703613","283","19.951","12.579","3.4023271824","1.24680696446416","0.886200810457885",
