Date,Nickname,State,Location,Max.Temperature..C.,Average.Temperature.in.the.Previous.7.Days..Inclusive..C.,Rainfall..mm.,Sum.of.Rainfall.in.the.Previous.7.Days..Inclusive..mm.,Wind.Speed..m.s.,Relative.Humidity,isBushfire
22/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,41.75,30.81,0,2.63,5.701052639,0.193204943,FALSE
23/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,32.08,32.5,0,1.4,3.856637447,0.349155403,FALSE
24/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,39.02,35.32,0,0,2.786881324,0.242554911,FALSE
25/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,37.45,37.14,0,0,3.543370455,0.206557843,FALSE
26/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,36.11,37.74,0,0,2.910110203,0.324834816,FALSE
27/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,41.73,38.37,0,0,2.237707188,0.215715973,FALSE
28/12/1980,1980 Victoria bushfire,Victoria,Sunset Country,35.91,37.72,1.46,1.46,3.892296954,0.282480756,TRUE
22/12/1980,1980 Victoria bushfire,Victoria,Big Desert,39.70,29.89,0.07,3.82,5.748781309,0.256511906,FALSE
23/12/1980,1980 Victoria bushfire,Victoria,Big Desert,29.30,31.14,0,2.84,4.182578365,0.398776413,FALSE
24/12/1980,1980 Victoria bushfire,Victoria,Big Desert,36.99,33.76,0,0.01,3.273348461,0.309549917,FALSE
25/12/1980,1980 Victoria bushfire,Victoria,Big Desert,34.53,35.35,0,0.01,3.941762378,0.303557122,FALSE
26/12/1980,1980 Victoria bushfire,Victoria,Big Desert,34.00,35.88,0,0.07,3.029406721,0.43605933,FALSE
27/12/1980,1980 Victoria bushfire,Victoria,Big Desert,40.34,36.4,0.09,0.16,2.833463805,0.289345738,FALSE
28/12/1980,1980 Victoria bushfire,Victoria,Big Desert,31.68,35.22,0.96,1.12,4.236286675,0.31141171,TRUE
28/10/1980,1980 Waterfall bushfire,New South Wales,Waterfall,20.7,22.41,0.5,12,3.597557457,0.478914186,FALSE
29/10/1980,1980 Waterfall bushfire,New South Wales,Waterfall,22.2,22.34,0,12,2.101235323,0.622325264,FALSE
30/10/1980,1980 Waterfall bushfire,New South Wales,Waterfall,24.8,22.31,0,12,3.053017129,0.38688763,FALSE
31/10/1980,1980 Waterfall bushfire,New South Wales,Waterfall,23.7,23.34,0,7.5,2.555949528,0.460230102,FALSE
01/11/1980,1980 Waterfall bushfire,New South Wales,Waterfall,25.3,24.46,0,0.5,3.398080589,0.450562612,FALSE
02/11/1980,1980 Waterfall bushfire,New South Wales,Waterfall,25.2,24.7,0,0.5,2.1803639,0.455110237,FALSE
03/11/1980,1980 Waterfall bushfire,New South Wales,Waterfall,18.5,22.91,0,0.5,5.057607922,0.419658164,TRUE
03/01/1983,Grays Point bushfire,New South Wales,Grays Point,23,26.36,17.2,19.6,2.817384358,0.838853263,FALSE
04/01/1983,Grays Point bushfire,New South Wales,Grays Point,24.6,26.27,0,19.6,2.444175083,0.758696049,FALSE
05/01/1983,Grays Point bushfire,New South Wales,Grays Point,32.9,27.47,0,19.6,2.81390809,0.601711697,FALSE
06/01/1983,Grays Point bushfire,New South Wales,Grays Point,24.9,26.66,0,19.6,2.249479315,0.660445776,FALSE
07/01/1983,Grays Point bushfire,New South Wales,Grays Point,26.3,26.67,0,18.8,2.603649855,0.810155691,FALSE
08/01/1983,Grays Point bushfire,New South Wales,Grays Point,42.2,28.64,0,17.2,3.030529473,0.50056685,FALSE
09/01/1983,Grays Point bushfire,New South Wales,Grays Point,41.4,30.76,0,17.2,4.881634886,0.226394994,TRUE
25/01/1983,1983 Cann River bushfire,Victoria,Cann River,24.1,22.19,0,0,3.842102735,0.780214693,FALSE
26/01/1983,1983 Cann River bushfire,Victoria,Cann River,27.8,23.41,0,0,4.159270827,0.720082704,FALSE
27/01/1983,1983 Cann River bushfire,Victoria,Cann River,19,22.57,6.2,6.2,3.050344792,0.682931384,FALSE
28/01/1983,1983 Cann River bushfire,Victoria,Cann River,21.3,22.47,0,6.2,2.031965532,0.745936684,FALSE
29/01/1983,1983 Cann River bushfire,Victoria,Cann River,23.8,22.73,0,6.2,1.581445595,0.756253853,FALSE
30/01/1983,1983 Cann River bushfire,Victoria,Cann River,21.7,22.53,0,6.2,1.850374811,0.744578949,FALSE
31/01/1983,1983 Cann River bushfire,Victoria,Cann River,32.6,24.33,0,6.2,2.178905204,0.561087913,TRUE
26/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,21.43,28.18,0,1.5,2.595723262,0.672173283,FALSE
27/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,24.30,26.8,3,4.5,1.81842618,0.570389791,FALSE
28/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,26.24,26,0,4.5,1.800573521,0.612239576,FALSE
29/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,33.53,25.82,0,4.5,1.494169976,0.516315767,FALSE
30/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,36.39,27.77,0,4.5,1.737801362,0.426545727,FALSE
31/01/1983,1983 Victoria bushfire,Victoria,Mt Macedon,37.31,30.14,0,3,2.013468864,0.337848775,FALSE
01/02/1983,1983 Victoria bushfire,Victoria,Mt Macedon,39.01,31.17,0,3,3.904278216,0.301834964,TRUE
10/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,26.82,31.9,0,0.84,2.048856897,0.668001091,FALSE
11/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,21.50,31.54,0.7,1.56,2.811325337,0.601700664,FALSE
12/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,21.05,29.86,0,1.56,2.086725389,0.627724874,FALSE
13/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,24.96,28.43,0,1.56,1.922246013,0.64391425,FALSE
14/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,32.06,27.24,0,1.56,1.413752032,0.544536128,FALSE
15/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,30.96,26.33,0,0.72,2.02969187,0.361518941,FALSE
16/02/1983,Ash Wednesday bushfires,Victoria,Branxholme,44.04,28.77,0.19,0.91,4.736372051,0.294787635,TRUE
10/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,32.04,34.06,0,0,1.852333329,0.512651371,FALSE
11/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,24.51,33.83,0,0,1.952904834,0.61485575,FALSE
12/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,25.59,32.89,0,0,1.825211204,0.570869717,FALSE
13/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,30.67,31.69,0,0,1.832831397,0.572215721,FALSE
14/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,32.87,30.73,0,0,1.313034714,0.493716266,FALSE
15/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,35.20,30.26,0,0,2.25356139,0.353951964,FALSE
16/02/1983,Ash Wednesday bushfires,Victoria,East Trentham,36.68,31.51,0,0,3.258443166,0.307661468,TRUE
10/02/1983,Ash Wednesday bushfires,Victoria,Mt Macedon,32.70,34.13,0,0,1.81226358,0.496152756,FALSE
